DE_BE,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,F_source_embedded,F_target_embedded,F_target_embedded,BE_DE,F_source_embedded,F_source_embedded,F_target_embedded,F_target_embedded
39,-80.42969513,-20.82736969,74.48207855,-26.68286896,1.868424416,73.36470795,62.30301285,8.057411194,39,4.485986233,52.13182831,59.3155632,15.93370628
40,-78.99385071,-19.44989204,77.40425873,-27.69030952,-0.536192894,68.57970428,64.31044769,0.937354207,40,4.43827343,51.94813538,63.87093353,13.18060017
41,-78.35379028,-18.11915016,76.94572449,-25.15304947,-2.082469463,62.35378265,66.20169067,0.092612818,41,-5.802401543,56.20875549,63.9974823,13.33111668
42,-80.0263443,-21.09355545,79.00066376,-26.751091,10.35231495,72.60343933,65.70630646,0.306418329,42,8.436625481,52.51863861,63.47514725,14.21273518
43,-77.53605652,-24.18933105,79.00068665,-26.75111198,28.05465317,62.5826683,64.86342621,0.939078569,43,27.82009697,49.39699554,61.46637726,16.24217224
44,-76.16181946,-19.63177872,82.91429901,-26.52415085,10.78749275,63.84223557,65.42445374,0.428085655,44,4.896025658,42.71472549,61.50588608,16.41776085
45,-68.86265564,-11.73633575,83.89500427,-26.59520531,-1.751725197,59.64402771,71.14489746,4.353289127,45,-15.90709972,43.5499382,61.65131378,16.99580765
46,-68.74719238,-11.48357773,82.76506805,-22.83374023,-1.602681041,59.72761154,57.65358353,16.31197739,46,-16.17890167,43.46701813,51.21557236,20.74896812
47,-68.74719238,-11.48357773,82.51797485,-22.78627586,-1.602681041,59.72761154,50.2832222,2.057083845,47,-16.13262558,43.50212479,40.57092667,15.47647667
48,-76.28140259,-19.50666809,81.63472748,-23.70458794,10.51761627,63.91765594,58.51896667,-31.43209076,48,4.910349369,42.90472794,49.2134819,-8.257754326
49,-76.24124908,-18.9726963,78.93868256,-21.73103142,-0.413608015,61.84188461,58.61243439,-31.4050808,49,3.55386281,43.5046196,49.18164063,-8.276000023
50,-75.89787292,-18.65283585,81.01216888,-20.3347187,-0.80755645,61.35390854,58.6479454,-31.69360924,50,4.912953377,43.15500259,49.16516113,-8.252604485
51,-67.62705231,-9.977890968,81.38283539,-22.00989723,-2.185948133,57.93770218,-45.2205162,60.96665192,51,-18.82776833,42.45398712,15.09994125,86.40997314
52,-68.90647888,-11.50499439,75.07853699,-25.19744492,-1.364473224,60.12947083,-21.90548134,51.45337677,52,-16.01035881,43.72326279,15.85505581,85.98221588
53,-76.96286011,-17.79858589,78.1963501,-27.03832245,0.886183798,63.28172684,57.06329346,15.24282169,53,6.062841415,44.58201981,75.40843201,36.1721077
54,-77.40683746,-19.51318169,82.57398224,-26.77775955,9.267507553,64.74242401,67.65542603,1.787100315,54,6.702142239,44.51317215,75.49123383,36.07436371
55,-77.43841553,-18.61893463,77.98509979,-26.45041084,0.842625022,66.44529724,67.710289,1.745729804,55,6.099984646,44.86727142,75.48252869,36.06091309
56,-78.77494049,-24.14722252,77.98509979,-26.45041084,40.97049332,56.77751923,67.68077087,1.762179732,56,20.51961327,46.42892838,75.46099854,36.0735817
57,-80.21143341,-27.1305027,85.07778931,-26.94659042,59.4559288,37.24935532,63.98441696,8.94230175,57,32.33353424,51.26305389,78.94274139,35.34774017
58,-80.21139526,-27.13047981,86.34243011,-27.93242264,59.4559288,37.24935532,72.04782104,5.857611656,58,31.57055855,51.68247986,78.93960571,35.03223038
59,-80.14157104,-27.18820572,78.35609436,-24.76186371,60.40421677,36.84357452,72.0477829,5.857376099,59,31.70919609,51.26774216,78.93960571,35.03223038
60,-77.91590881,-21.38350296,78.06649017,-24.66036987,22.96114349,61.27828217,62.2647438,-44.5428772,60,8.391975403,42.65600204,79.10723114,33.3315239
61,-69.95396423,-11.24709606,83.4296875,-22.03449631,1.490359187,62.81350327,61.77060318,-46.32728958,61,-17.10724258,44.43764114,78.83087921,32.74747086
62,-79.03994751,-20.47412491,80.98355865,-19.81097603,4.973670959,69.52163696,61.9872818,-46.81087112,62,8.692515373,47.14210129,78.98104858,32.48735046
63,-79.702034,-23.39023972,81.63117981,-21.47814941,27.40869522,67.22237396,61.93455505,-46.84801102,63,20.17470741,48.88773727,78.92050171,32.49749374
64,-79.2233963,-23.70634079,81.62399292,-19.77197075,42.59609604,56.32909775,62.06386185,-47.0929718,64,21.45196724,47.59700012,78.91698456,32.36673355
65,-79.24112701,-23.84927368,81.2942276,-20.45513725,40.07567978,56.51305389,62.19735718,-46.93692017,65,21.64011955,47.50035095,79.10057068,32.30156708
66,-84.71725464,-24.16608047,81.8792038,-20.68018532,-29.54616165,76.78994751,62.39257431,-46.32315063,66,12.27665138,83.86405945,79.26589966,32.2791481
67,-84.77297211,-24.22289085,79.98934174,-18.14632034,-29.64657593,76.72074127,62.35058975,-45.85445404,67,12.71790218,83.95417023,79.29816437,32.38401031
68,-84.7791214,-24.03437424,79.64561462,-21.59451866,-29.14360237,76.94363403,62.06232834,-46.70525742,68,12.64704323,83.31111908,78.97161102,32.51135635
69,-84.81481934,-23.64193535,79.64562225,-21.59449577,-25.20890045,79.27448273,61.95732117,-46.69628906,69,10.56297112,84.54302216,78.79449463,32.6595726
70,-84.70606995,-23.67637444,83.29065704,-20.06532288,-24.49093819,79.24839783,61.95810699,-46.69565582,70,10.81570053,84.0716629,78.79449463,32.6595726
71,-84.70600128,-23.6763134,83.96450806,-19.13150787,-24.49125862,79.24835968,61.79990768,-45.53250122,71,10.69937325,84.09547424,78.87502289,32.9405365
72,-84.55519867,-23.99713898,83.54148102,-15.08237171,-23.87578201,79.46853638,62.05752563,-45.23555756,72,11.70403957,83.57492065,79.07822418,32.88130951
73,-84.64645386,-23.90407372,83.61598206,-15.53139591,-24.31912804,79.44245911,62.02999496,-45.25814438,73,11.61312103,83.64622498,78.90442657,33.02331924
74,-84.58987427,-23.78064728,84.47624969,-18.83698082,-13.77151871,82.62137604,62.14727402,-45.13369751,74,11.63561249,84.27084351,79.07581329,32.95937347
75,-84.34197235,-24.25592804,83.22548676,-14.10486412,-13.66631031,82.53213501,61.66914368,-46.91493607,75,14.21402454,81.16567993,78.43287659,32.85595322
76,-84.01586151,-24.91713524,80.73401642,-11.47885609,11.30426121,88.35080719,61.55127716,-46.04578018,76,16.53217697,81.05257416,78.48186493,33.28687286
77,-83.93401337,-25.00081635,84.28759003,-12.85463333,11.42583942,88.21063232,72.98095703,6.1577878,77,16.30327988,81.19898224,78.4623642,34.50936127
78,-83.84679413,-25.10883331,83.18839264,-13.05863476,11.87325764,88.2161026,72.89202881,6.081690311,78,16.8071003,81.02944946,78.51413727,34.53885651
79,-83.87304688,-25.09355927,82.44490814,-13.79621029,11.87353897,88.20600891,61.10791016,-44.69965744,79,16.79294014,81.02516174,78.35603333,34.01177979
80,-83.67353058,-25.1640625,83.08023834,-12.89873409,11.3314724,86.40484619,72.80281067,6.096104622,80,16.69573975,81.16322327,78.37728119,34.55083084
81,-83.67353058,-25.1640625,83.08030701,-12.89872169,11.33146763,86.4048233,72.80281067,6.096104622,81,16.75861359,80.97760773,78.37729645,34.55080795
82,-83.41766357,-25.3570137,82.71839142,-13.04543686,13.63066292,85.42828369,73.36679077,6.202305794,82,23.94314384,69.24948883,78.32453918,34.41292572
83,-83.30619049,-25.40637016,80.72064209,-12.98703861,13.74878693,85.57437134,73.08995819,6.147606373,83,26.84428215,65.64820099,78.38339996,34.48821259
84,-83.20316315,-25.06691933,80.88471985,-13.08257866,11.19950294,85.90055847,62.57175064,-44.30335617,84,17.43514442,76.4492569,77.48189545,34.05817795
85,-82.7525177,-22.33501244,79.92249298,-12.31997299,3.795969486,86.58100891,62.44729614,-44.59488297,85,8.989824295,70.71143341,77.47292328,33.97170258
86,-82.90736389,-21.73823547,80.50154877,-12.90006065,-1.007159591,86.75670624,72.76741028,6.357103825,86,7.45522213,67.48217773,77.78071594,34.44900131
87,-82.96656036,-21.86198807,79.74342346,-11.99855328,3.459690332,86.39842987,72.34811401,6.137404442,87,8.543908119,70.35179901,77.89240265,34.66962433
88,-82.94984436,-21.53125954,76.47136688,-10.37939262,0.035221137,87.49220276,64.51306915,35.2314949,88,6.272938251,73.22842407,15.92581558,85.90344238
89,-82.7747345,-21.62366676,76.68791199,-10.13639259,0.657747686,85.03029633,64.3615799,35.20758438,89,6.868733406,70.78225708,15.86725998,85.88214111
90,-82.76023102,-21.25270653,76.46148682,-10.4444418,-1.467723608,82.94759369,72.71273041,5.426241875,90,6.862790108,68.08048248,68.15033722,13.6026783
91,-82.52677155,-21.44166374,76.69798279,-10.47869587,-0.667147398,83.03920746,72.22580719,5.433983803,91,7.580627441,67.02110291,68.04743195,13.48167706
92,-82.38886261,-21.09598351,71.70252228,-25.4676857,0.623720825,77.47199249,73.63297272,7.276553631,92,7.187044621,66.60665894,67.92919922,13.26150227
93,-82.3994751,-21.05558014,75.62705231,-10.85420799,0.28370294,77.20919037,73.61069489,7.265687466,93,6.644073486,67.43974304,67.89839935,13.25992107
94,-82.30266571,-21.1091938,75.62705231,-10.85420799,0.918555737,77.401474,61.20830154,-45.01865768,94,7.110845089,66.43157196,67.99051666,13.0558033
95,-80.72231293,-21.12677002,80.1605835,-12.87800598,10.81161118,73.86233521,71.37000275,4.604424,95,7.397779465,54.4789238,67.17700195,13.39115334
96,-80.99293518,-21.10937119,80.59644318,-22.55427361,2.210139513,76.43847656,57.78497314,-43.09299469,96,13.44787502,61.98721313,64.76369476,-2.11574316
97,-82.10251617,-20.85796356,71.80940247,-25.60999489,0.150983512,74.15080261,57.78497314,-43.09299469,97,1.421335578,61.95845413,64.76357269,-2.115784168
98,-82.28522491,-20.30553436,71.79242706,-25.60216141,-3.966223955,73.80493164,63.6586113,-22.7271595,98,1.10291481,62.38848114,64.90333557,-1.690909743
99,-82.0680542,-20.18839455,74.70378876,-25.16630554,-2.543397427,73.20819855,57.48438644,-43.23071289,99,2.878580332,60.91698837,64.06223297,-2.244402647
100,-82.28765869,-20.17891693,70.90047455,-27.98763275,-4.021568298,73.37152863,63.48093033,-22.32117653,100,0.927863419,62.26346207,64.63909912,-1.22405684
101,-71.24905396,-23.834095,69.87817383,-27.71369743,-20.4114151,61.32516861,63.45347214,-20.98781395,101,-0.232458606,35.5970192,64.71361542,-0.659035921
102,-70.88869476,-24.37108612,70.80565643,-28.29780006,-19.70931435,60.95129395,63.27014542,-22.16679001,102,0.318706959,34.89043427,64.18389893,-0.924037039
103,-70.88873291,-24.3709259,73.32478333,-27.39608383,-19.7093277,60.94979858,63.0538826,-23.10334396,103,0.498903453,34.85107803,60.95996094,-1.382450938
104,-70.75792694,-24.49817657,71.60792542,-29.17727661,-19.50371552,60.27945328,62.62067032,-22.68055534,104,0.571956694,34.54150772,60.05234909,-1.355255008
105,-70.71056366,-24.50878334,71.44161987,-28.17899895,-19.45908356,60.25009918,57.35532379,-42.52423096,105,0.545344889,34.63815689,61.51214218,-1.958071947
106,-70.90914917,-24.16300392,74.48406982,-25.41155243,-19.85492897,61.10269928,63.43072128,-19.36536217,106,0.119376905,34.98110962,62.6280365,0.586578608
107,-70.88499451,-24.13670731,81.7302475,-24.51841736,-18.59495544,61.06431961,62.61632156,-21.55505753,107,0.124073155,35.04723358,61.85774231,-0.181427449
108,-72.11717987,-15.50388336,76.76016235,-32.38871002,-48.75024796,57.36709976,62.61631775,-21.55503845,108,-12.85929585,39.18939972,61.85774994,-0.18139945
109,-72.07424164,-14.66245079,78.36328125,-35.66976166,-34.85209656,52.54724121,57.65934753,-41.36263657,109,-13.38262653,39.30826187,61.00593567,-1.506343246
110,-72.09892273,-14.69454098,77.38201904,-32.89412308,-34.75829697,52.54960251,57.38414383,-40.98787689,110,-13.28423405,39.30208588,58.30410767,-1.578001022
111,-72.09828186,-14.63356876,82.23992157,-34.17793655,-34.80887222,52.5539093,61.36196899,-16.88041115,111,-13.37804127,39.31389999,55.49437332,1.482530355
112,-57.5437088,3.926969051,78.618927,-33.89143753,-18.73661232,46.36022949,61.55288315,-22.50551224,112,-29.60951614,47.93131638,58.48351288,-1.249371409
113,-57.5437088,3.926969051,76.06604767,-32.61999893,-18.7360096,46.36108398,56.67267227,-42.20172501,113,-29.74751282,47.93789673,58.83153534,-1.907574296
114,-48.39315796,15.92535686,74.66201019,-31.92281342,-22.03124619,43.98441696,61.42579269,-22.33343887,114,-33.4899826,47.39286423,58.07265472,-0.997564614
115,-47.440979,16.2560997,74.93218994,-33.25347137,-22.56422234,43.73119354,56.76318741,-42.56324005,115,-33.89218903,47.4863739,58.77474213,-2.05236578
116,-50.13757706,14.17425346,78.52373505,-34.08123016,-21.21470451,44.46690369,56.7899704,-41.87275696,116,-32.996521,47.19015884,58.48126984,-2.10588479
117,-50.3611908,14.12514973,81.91530609,-34.19491959,-20.96664238,44.62417984,61.28632736,-21.86514091,117,-32.86140823,47.19932556,57.95017624,-0.869324625
118,-51.19473267,12.7940836,75.68174744,-33.78284836,-19.57778549,45.42816162,61.42971802,-21.79830933,118,-32.47387314,47.25647354,58.16568756,-0.779996872
119,-57.48833084,3.825654745,75.68177795,-33.78284836,-18.56488419,45.67716217,61.42930984,-21.7983017,119,-29.95538139,47.61418152,58.16558456,-0.779999375
120,-57.34327698,2.883044958,76.67784119,-31.41833305,-19.16936684,46.68177032,61.30830002,-11.92733765,120,-28.94487381,47.95972824,58.22961044,5.025080204
121,-58.75839615,-2.567285538,73.758255,-26.44282722,-13.99884224,46.38066483,61.13434219,-17.74139404,121,-27.72630882,47.67708969,54.77528381,0.748404205
122,-58.64453125,-2.034995317,71.90624237,-28.33122826,-16.91975403,44.68932724,54.76128387,-4.965760708,122,-28.13547134,47.74226761,51.99199295,3.20924449
123,-57.67152786,1.585027337,75.0725174,-31.10149384,-14.53421593,45.91689301,56.88660431,-0.001175085,123,-29.47109604,46.81204987,53.81222534,4.989350796
124,-57.67111969,1.584984779,76.00236511,-32.07116699,-14.53425694,45.91686249,56.99784088,-0.312547088,124,-29.40724754,46.78853226,53.90283966,4.817774296
125,-58.54681015,2.057899237,76.35240936,-30.54486656,-17.51473045,44.74166107,56.65709305,-6.672212124,125,-30.22610474,46.98791504,54.15820694,3.341375113
126,-50.87692642,14.84556389,77.14609528,-32.83358383,-21.48634148,44.12432861,54.11770248,7.920749187,126,-32.92263031,46.67499924,53.40010071,5.97776413
127,-50.72489166,14.82564735,76.2620697,-30.64649582,-21.83244514,43.90127182,56.24274063,-3.731882811,127,-33.19298553,46.6173439,53.29425812,4.049586296
128,-61.6934433,0.117653698,76.17006683,-31.50662994,-13.1605978,45.51348877,55.33312607,2.184269428,128,-30.03735352,43.98586655,53.64612961,5.415302277
129,-70.39173126,-17.15046501,79.01578522,-36.0308609,5.279292107,53.47466278,57.40121841,-6.845348358,129,-7.887134552,38.07787704,54.475811,4.3052001
130,-69.34220886,-25.18354797,76.8236084,-31.33790207,22.18371201,44.87892532,56.99477005,-4.918287277,130,-1.353205919,32.79039764,54.26318741,4.386445045
131,-70.28265381,-17.44927025,78.74726105,-33.7569809,4.814700603,54.25255203,56.99481964,-4.918195724,131,-7.276638508,38.00372314,54.26318741,4.386445045
132,-68.23418427,-10.98357487,75.32723999,-33.1568222,-3.475987196,57.66486359,57.06217957,0.27415356,132,-16.56609917,42.1770401,53.45310211,4.89730835
133,-71.0745163,-17.5669117,78.44746399,-32.05794907,-18.68276024,62.97579575,56.50603104,-6.921683788,133,-1.401476979,35.45220947,53.48988342,3.571224451
134,-70.66675568,-22.80862999,76.71501923,-25.48782921,-17.24088097,60.9295845,55.49645233,2.164163589,134,-1.380633235,35.09748077,53.71989059,5.38988018
135,-70.66664124,-22.8086319,74.40350342,-26.75816345,-17.24088097,60.9295845,56.99401855,-4.24242878,135,-0.859671414,35.07768631,54.17108154,4.594576836
136,-69.48648834,-25.74064255,75.43054962,-31.02651405,22.18264389,44.89391708,55.6242981,-11.76176167,136,0.67922008,33.11075592,57.23913193,-14.66230679
137,-69.16765594,-25.86649895,79.99377441,-31.93649483,22.18031502,44.92797852,55.94968033,-11.9875536,137,0.626816392,32.93097305,59.39290237,-14.1770401
138,-70.77742004,-17.96673012,79.63941956,-32.59114456,-16.94057274,60.87707138,55.7855072,-11.31625271,138,-1.528903246,35.28480911,59.37072372,-14.08248138
139,-66.77654266,-8.002875328,74.42650604,-26.62615776,-3.641179323,53.67985153,55.42847824,-8.071661949,139,-21.91089058,43.43932343,50.60320282,1.838990331
140,-59.90924454,-4.230167866,74.60032654,-31.39142799,-3.615732431,52.79560089,35.49112701,16.19247055,140,-23.22540665,44.0868988,-26.74157715,-18.34216881
141,-59.77325058,-5.603219509,77.2926712,-31.33527374,-3.97015667,54.61680222,30.66132355,13.50359154,141,-22.45049286,44.44526672,-25.8355751,14.08279419
142,-59.82312775,-5.582952976,79.60332489,-34.30719757,-3.900684595,54.62654877,30.66132355,13.50359154,142,-22.53222084,44.35431671,-25.8350544,14.08258247
143,-67.8739624,-10.6690855,78.92478943,-27.5246048,-2.415449858,57.62267303,34.95647049,15.78444386,143,-17.05869484,42.38668442,-26.9926281,-18.27355385
144,-70.09810638,-19.39271545,78.92630768,-27.52556038,11.7345295,52.04883194,35.22449112,15.88980293,144,-5.401334763,37.54555893,-26.96824646,-18.33240891
145,-67.27307892,-27.56260109,80.30189514,-34.74010086,33.95857239,34.14592361,39.23195648,15.50665283,145,40.29269791,19.64674568,-17.6659584,-21.59438515
146,-65.88385773,-28.92301178,77.06841278,-30.3740921,48.15066147,7.691342831,46.05525589,-18.59571457,146,39.56152344,18.09120941,46.42793274,-19.52733231
147,-65.88489532,-28.92281342,76.72103882,-33.62446594,48.1515007,7.691344738,45.6697197,-18.20213318,147,39.81049347,18.84033394,46.1419754,-19.49321747
148,-65.65865326,-30.03186989,77.49530792,-30.68426132,50.77424622,1.751706839,52.80825424,-26.2297554,148,39.79063034,18.29986,57.95767593,-15.56504917
149,-65.86185455,-30.13517761,77.18080902,-33.61247253,50.98661423,1.872667909,53.30872726,-26.51020622,149,41.03943253,18.21603394,61.93367386,-17.5077858
150,-68.99950409,-30.5287056,79.22814178,-35.81373978,54.53957367,11.11112785,52.78669357,-29.40325928,150,44.99492645,21.74194336,61.67319107,-17.91539383
151,-69.4294281,-28.58903503,77.83648682,-27.06367302,36.62860107,38.9002037,52.25476837,-30.81116295,151,29.3404541,30.16540718,61.54785156,-18.44613457
152,-66.61159515,-30.16654396,77.384758,-30.87294197,49.01137924,8.279133797,52.85074997,-26.95538712,152,42.34048843,19.9489975,61.30294418,-17.05136108
153,-66.57398224,-30.16993332,77.9789505,-30.7245121,48.98811722,9.69627285,52.85075378,-26.95538902,153,40.42233658,19.66182327,61.30294418,-17.05135536
154,-67.61021423,-30.26499939,76.52892303,-27.78099251,54.70050812,25.83395004,56.06581497,-7.771082401,154,43.94928741,21.25960159,52.63164902,3.33605051
155,-69.13417053,-30.91114235,76.0074234,-28.0091629,58.36295319,5.802476406,54.64938736,-5.116800785,155,44.95532227,21.78799057,50.95407104,2.831035137
156,-69.26784515,-30.5866909,75.94172668,-26.69229698,53.81346512,23.86353874,56.401474,-7.306164742,156,45.03312302,22.45683289,53.02504349,3.63621068
157,-75.02268219,-19.90568542,75.94171143,-26.69229507,18.52810478,56.83021164,52.33576202,-29.90858269,157,4.677145004,41.30733871,62.1161232,-18.12688828
158,-75.02224731,-19.9058342,79.15921021,-34.71694183,18.52810097,56.83049011,52.19637299,-30.08403587,158,4.727020264,41.42285538,61.83486557,-18.18781281
159,-68.4691925,-12.2105608,79.72983551,-35.72865295,-1.308663607,59.55823517,52.940979,-28.54856873,159,-16.01771164,43.33871078,62.03880692,-17.88619423
160,-68.36360931,-12.00727844,76.95259857,-27.73028374,-1.359140158,59.57366562,57.8491745,-17.6574688,160,-16.22520638,43.12185287,61.78643799,-16.32605171
161,-67.06864929,-9.493656158,77.19725037,-29.35396576,-1.789376855,57.95219421,57.89719009,-16.63409233,161,-19.54518509,42.26164246,61.66580963,-15.95394421
162,-74.79957581,-19.56049538,77.30465698,-29.15198326,17.86535645,57.63935089,46.26906204,-18.5997715,162,4.634420872,41.47431183,47.17287064,-19.1284523
163,-67.4091568,-33.76888275,85.13809967,-27.02613449,52.1382637,2.787293911,43.03684998,-9.769339561,163,44.48918915,21.20713615,-19.75572395,-23.62759018
164,-66.41671753,-34.35516739,88.11135101,-27.50322723,58.08165741,-2.878003836,32.69224548,11.46174717,164,43.86347961,15.91376686,-28.12386703,-18.04872513
165,-66.96003723,-34.039711,85.73924255,-26.84757423,57.29921341,-2.776960611,32.69224548,11.46174717,165,44.8947525,16.40637016,-28.12386894,-18.04876328
166,-69.15145111,-33.18867874,78.21079254,-29.72315788,54.8553009,10.84609222,34.96759033,15.747612,166,45.70588684,20.88245773,-27.09602165,-18.35425568
167,-57.80263519,-58.71747971,83.83761597,-29.16121864,35.71477127,18.36353302,38.972332,15.038517,167,-14.28563499,-15.32678699,-17.94784737,-22.08174133
168,-57.80217743,-58.71747971,87.33179474,-26.26489639,35.71474457,18.3635006,38.02327347,13.86984825,168,-14.42097092,-15.34297466,-18.6981411,-22.28989601
169,-70.34689331,-19.49051476,83.07386017,-28.84535027,13.64509964,54.65132904,38.38649368,14.61686611,169,-5.759424686,37.8586731,-18.21499443,-22.14778709
