GE_BE,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,,F_target_embedded,,BE_GE,F_source_embedded,,F_target_embedded,
37,-81.0838623,-17.24503136,-33.49503326,-87.03604126,38.29219818,-8.430051804,-46.98998642,-55.59685516,37,-75.44728088,-38.81139755,1.39637208,-80.98623657
38,-81.27566528,-18.20205879,-34.70349503,-88.16386414,38.80001068,-7.672058582,1.355826735,-42.10272598,38,-76.3649826,-38.3579483,3.093363285,-52.14173508
39,-81.7253418,-17.88182259,-35.85669327,-89.50453949,39.87758255,-5.809366226,-73.19249725,33.19959641,39,-77.18169403,-38.73939896,-18.73201752,18.81604576
40,-81.77632904,-18.45744514,-32.98965454,-86.55361176,37.59888077,-9.210609436,84.34340668,9.568119049,40,-75.95114136,-41.51106262,-0.854497254,-64.60546112
41,-82.1328125,-18.79183769,-35.25166702,-88.92696381,39.27342224,-6.525414944,-30.68417549,-37.7423439,41,-78.33876038,-35.98246384,-1.232821465,-64.95156097
42,-81.41483307,-23.77879143,-35.41181564,-89.13323975,40.03033447,-6.779036045,-31.36063766,8.759363174,42,-78.1131134,-40.46974182,-22.4469223,25.35147858
43,-81.22060394,-23.47917175,-36.02871704,-90.48717499,40.74458313,-5.639846802,-11.09824944,-52.87602234,43,-79.39413452,-39.91460037,-4.57683754,-71.47425842
44,-81.2204895,-23.47923088,-35.95581055,-90.47824097,40.76296234,-5.771932125,-35.44101334,-10.77135563,44,-79.39425659,-39.91459274,-3.829960585,-79.26213837
45,-81.5185318,-23.17886925,-4.904736519,-80.77495575,11.45699692,-15.37875843,-85.73118591,27.38980675,45,-75.15576935,-44.66000366,-18.72940254,18.81550598
46,-81.77811432,-20.41631889,-32.80445862,-86.38505554,38.09243393,-9.100277901,-84.66144562,19.20372581,46,-73.51754761,-45.22472382,-7.218349457,-73.49967957
47,-81.78599548,-20.45161819,-29.92266655,-82.52796936,32.72050858,-13.8070612,-76.26245117,35.03444672,47,-75.37391663,-42.1652565,-3.094177485,-74.21860504
48,-79.03911591,-12.13157082,-35.38204193,-89.45341492,39.96380615,-6.518647194,-6.353821754,28.4558773,48,-74.19307709,-33.25255966,-27.41286659,30.05199814
49,-49.67657852,-8.190359116,-34.21978378,-87.72519684,38.87509155,-7.74932003,-64.64514923,-22.87659073,49,-72.12580109,0.723720908,-7.407739162,-80.04356384
50,-40.53905869,-9.859449387,-35.79755783,-89.47203827,40.374897,-6.348182201,33.6573143,-62.99325562,50,-72.27349854,9.471957207,-21.84681892,21.77458191
51,-7.970890522,-9.810566902,-34.67476273,-88.23143768,39.15893173,-7.402222157,30.28865433,-68.71714783,51,-69.15648651,21.34269714,-28.21841621,25.54207039
52,-14.82757282,-3.608579874,-33.89703369,-87.38919067,38.62136841,-8.237613678,34.7567749,-65.99134064,52,-62.11280823,9.047348022,-4.848469734,-52.42559052
53,-21.70674896,-1.070772529,-36.02349472,-89.85760498,40.27278137,-5.942303658,45.00718689,-66.77193451,53,-63.18903351,7.321156025,-4.70111084,-74.80583954
54,-21.36421967,-1.057243824,-34.57463455,-87.9490509,38.70269012,-7.529854774,30.41102982,-70.48921204,54,-60.64491272,4.542726517,1.807690501,-49.47687531
55,-21.72620201,-0.157560423,-34.38930893,-65.15367889,20.03179169,-32.32371902,21.79970169,-81.1493988,55,-61.68069839,8.474699974,-26.12825012,25.2923336
56,-21.75354004,-0.019343246,-35.9426651,-64.04058075,18.67406082,-31.14917374,39.98298645,-63.95770264,56,-67.55307007,16.417593,-0.715817988,-55.48484421
57,-29.32298279,-2.408813,-4.955110073,-81.81781769,19.9034996,-21.44616508,59.22771072,-48.84009933,57,-69.46413422,14.72037029,14.3758049,-72.32113647
58,-32.09717178,-0.731783569,-36.08089066,-74.71936798,28.07245827,-27.99376106,55.78824615,-51.64678192,58,-71.29691315,15.3488245,-3.705581665,-72.7767868
59,-33.24499893,-2.961259127,-5.682525158,-82.12300873,18.7575798,-19.15222931,40.86704636,-59.06079483,59,-73.85106659,16.61734772,-28.35461426,25.53049088
60,-31.60586166,-3.10251379,-35.90532303,-64.16075897,19.12759972,-31.34287834,37.92583466,-60.1195488,60,-63.41630936,22.85365677,0.699743271,-76.11834717
61,-32.49971771,-2.575400591,-12.20641899,-77.10795593,13.83200645,-23.35777855,57.15721893,-47.32809448,61,-70.52198029,16.81857872,-0.416281193,-56.14429092
62,-32.47260666,-2.515780926,-5.273024082,-80.36218262,18.51318169,-21.14114189,30.85274506,-59.04619217,62,-67.94465637,13.17492199,-22.99626923,28.74676895
63,-20.2251091,-9.259884834,-20.59555817,-74.12449646,20.65313339,-32.33797455,42.93504333,-55.90177155,63,-65.19546509,27.65420723,0.978843391,-56.32522202
64,-20.19202614,-9.262147903,-23.64032936,-76.38136292,26.77150726,-22.17053795,25.90644646,-73.46379852,64,-66.55847168,26.19429779,-26.24523544,25.08969307
65,-20.19939423,-9.259748459,2.399400711,-67.77736664,7.849284172,-23.79143906,36.57344818,-66.51686859,65,-67.02837372,22.87990189,-0.563434958,-52.41097641
66,-19.21417046,-9.52828598,-11.63693714,-77.6778183,19.79481316,-22.23894119,32.34026337,-67.92360687,66,-65.06144714,29.67174721,-23.38567352,29.38338089
67,-6.593098164,-2.985186815,-33.58737564,-65.18315887,17.79078865,-30.62133789,25.66352272,-78.32191467,67,-61.48819351,35.26163483,-7.709997654,-79.7483902
68,-0.762559354,-2.863318682,-4.985770226,-80.69197083,11.55154037,-15.53856945,22.63414001,-79.14369965,68,-57.58498383,39.21776962,-8.138326645,-79.85133362
69,4.507751465,-3.415122032,-6.95457077,-81.07189941,17.90187263,-20.64262009,29.88499641,-74.59861755,69,-51.01252747,45.88530731,-20.94782639,22.90246964
70,4.790157318,-3.42430234,-37.68634033,-75.46546936,36.20973969,-11.812356,21.79821777,-80.43543243,70,-51.0178833,46.19725037,-1.048263907,-57.98690414
71,5.416457653,-1.821614146,-35.91819763,-71.67493439,28.83968163,-27.44940758,21.79821777,-80.43543243,71,-56.49157333,43.79918289,-23.44142151,24.66091156
72,5.815755367,-0.979894221,-40.98200989,-63.29272842,17.1561985,-39.34086609,25.06681824,-71.4353714,72,-61.86108017,40.69221115,-21.3117733,16.82202339
73,5.270861149,-1.24359858,-26.61539078,-74.76967621,36.2706337,-21.73909378,24.79867172,-75.66429901,73,-59.26686478,42.37380981,-17.68592834,21.07926941
74,5.015111923,-0.914272368,-65.66059113,56.69347382,-13.88077831,-82.98935699,21.08471107,-83.17433167,74,-61.78362274,40.34568024,-5.346794605,-52.39975357
75,4.932570457,-1.133873105,-28.08677292,-79.69525146,34.61087799,-17.13272285,21.4813633,-81.50770569,75,-61.53203201,40.42854309,-0.073119953,-76.11986542
76,4.085349083,-1.807653069,-27.47772217,-73.4144516,30.7616291,-26.33998108,25.10619354,-76.79885101,76,-59.32483673,41.46691895,-7.374204159,-79.70502472
77,3.105218649,-1.923049927,-34.96086502,-65.40037537,19.48119736,-33.30833435,21.06654739,-85.60340118,77,-64.01615143,36.08785248,1.64088285,-49.96257401
78,1.764629841,-2.030595303,-5.144235611,-80.65668488,11.91142368,-14.69759846,20.8156662,-86.09933472,78,-60.53491974,39.27046204,-1.551754832,-54.37199783
79,2.206117392,-2.046553135,-30.02723503,-81.94290161,33.27973557,-14.77059269,20.74097824,-84.80628204,79,-61.79310608,38.96324158,2.530693293,-77.61785126
80,5.894711494,-2.837893724,-33.98825836,-70.56737518,26.77423477,-22.61362267,24.91353607,-75.22522736,80,-59.48064423,41.88655472,-27.01181602,22.25379181
81,5.314945698,-2.069608212,-19.46569633,-75.65763855,31.86874199,-25.9908371,26.48200417,-72.21453857,81,-57.85990524,42.72608185,-2.620414734,-71.96659851
82,7.166071415,-3.434571266,-34.95967865,-70.94016266,27.96761513,-29.08230019,25.17065811,-70.93512726,82,-53.71567154,44.76805878,-26.40698814,24.72402191
83,4.553966045,-2.350602865,-66.53657532,56.23733521,-13.67060089,-83.48805237,22.79299164,-75.56043243,83,-58.26271439,41.37604141,-29.57048225,30.32665062
84,0.384441674,-4.750538349,-65.68487549,56.16283417,-14.55356026,-84.2010498,24.74552345,-76.27985382,84,-52.54294586,41.98617935,1.789522886,-49.16835785
85,-1.669074059,-12.91683769,-30.02806473,-80.9595871,33.54648209,-16.09306908,26.01716423,-78.43119049,85,-65.2848053,38.3260231,12.09104061,-75.75857544
86,-8.168030739,-10.33602715,-3.763455153,-82.42521667,18.43718529,-25.31321907,23.59098625,-78.52996063,86,-62.62092209,31.73529816,-44.49303055,71.72744751
87,-9.201243401,-11.01571369,-29.92307281,-81.75978088,33.13232422,-14.45604706,23.34740257,-80.263237,87,-55.22197723,32.75583649,1.460432529,-81.46090698
88,-31.01295471,-12.56306553,-33.31452942,-65.26359558,19.15182114,-30.49009514,24.6606884,-78.09881592,88,-61.44026566,22.2073288,3.062352419,-52.04024506
89,-8.548705101,-10.49721146,-23.3141346,-78.56666565,27.94322777,-21.11302948,22.34342194,-81.75428772,89,-60.71015549,30.00268173,-1.461466908,-67.20769501
90,-8.446185112,-10.22428036,-21.29174614,-78.03023529,28.03016281,-21.96571541,25.15784836,-78.99691772,90,-62.59132004,32.26639175,-28.23134995,26.14853859
91,-8.528643608,-10.46476841,-35.28187943,-64.92971802,19.28409576,-31.13366508,22.10041618,-83.81253815,91,-56.4363327,32.58549118,0.189911246,-81.87434387
92,-8.771490097,-7.936789513,-15.89574718,-75.45604706,12.90162945,-23.54141045,23.07587242,-82.88817596,92,-61.16957092,34.81817627,-22.66292572,21.8926754
93,-8.860826492,-7.778548717,-11.63693714,-77.6778183,19.79509354,-22.23862076,23.07587242,-82.88817596,93,-63.03213501,32.64744186,2.812354803,-76.93154144
94,-8.782931328,-7.782903671,-33.31441879,-65.26361847,19.15181541,-30.49015999,21.05573273,-86.35938263,94,-63.18166733,32.60490799,-27.83281898,26.71412659
95,-8.434855461,-8.3614254,-15.77726936,-75.51244354,13.33169174,-22.64363098,20.84870911,-85.78594208,95,-58.75050354,36.21672058,-29.80583191,27.54529953
96,-7.033157349,-8.82330513,-13.06262875,-76.68605804,19.90829277,-27.51336479,21.8296566,-83.54214478,96,-59.55646896,37.09399414,-1.195209622,-65.34315491
97,-7.105697155,-8.779644966,-39.10558701,-61.69608688,15.1657753,-44.46087646,27.77342415,-72.00537872,97,-66.16301727,31.99814796,-2.970039845,-74.10512543
98,-7.219798565,-5.920884132,-11.95847893,-78.23084259,23.04277611,-20.56780052,69.53651428,-13.21091557,98,-63.47503281,34.63912201,0.561965466,-75.07740784
99,-23.24096489,-4.825033665,-34.12286758,-65.43211365,20.87561798,-31.99095345,65.80822754,-1.053048491,99,-63.28991699,27.88479424,-31.17014313,30.24003601
100,-23.46455956,-3.020868778,-35.94995499,-71.53866577,25.23544121,-30.88722229,62.25726318,56.24986267,100,-68.86962128,20.38844299,-1.455767274,-65.21425629
101,-3.12044239,-4.177327156,-34.98728561,-52.92429352,7.094599247,-28.63583565,68.9240799,40.76106644,101,-53.11575699,41.96923065,-0.941669643,-50.40641785
102,-3.12044239,-4.177327156,-16.40487099,-77.79264832,20.95440102,-20.38279533,70.07372284,-0.357895046,102,-53.11574936,41.96922684,-24.60320663,23.41200447
103,-2.885606289,-3.906527519,-30.24254608,-81.42468262,33.44113159,-15.44125843,71.9281311,-2.853012085,103,-57.39812851,40.18127823,-18.35387421,19.12705994
104,-7.666079521,-6.166919231,-35.82728577,-65.32920837,19.44557762,-32.87247467,70.63708496,-1.303878427,104,-61.17249298,35.5522995,-1.454731822,-64.91988373
105,-7.666079521,-6.166919231,-20.55557442,-74.19750214,21.19169044,-31.07832909,67.25540924,4.438061237,105,-61.17250443,35.55230331,-3.020389795,-78.02433777
106,-12.21375847,-5.636329651,8.511535645,-84.90750885,2.296878099,-4.883574963,65.86402893,2.035630941,106,-60.75300217,34.50227737,-29.72375298,26.28457451
107,-12.18519688,-4.451268196,-15.53961086,-75.7309494,15.36748409,-30.1158123,65.06716156,-2.110847712,107,-65.50136566,27.81570053,-5.146571159,-53.45110703
108,-12.28069115,-4.348858833,-35.91819763,-71.67493439,28.83968925,-27.44916344,64.50097656,-2.430555105,108,-66.45611572,25.66923714,-28.05724144,28.29762077
109,-25.08514977,-4.227493286,-12.02789116,-79.11743164,24.45240211,-25.71537399,63.21442032,38.65731049,109,-72.216362,15.64749813,19.02728462,-66.82978058
110,-29.45697021,-4.525533676,-19.71687126,-75.18398285,31.99692726,-26.36879158,64.12265778,0.270251572,110,-73.96448517,13.18711662,-0.073091902,-53.34243774
111,-23.97558594,-2.008533955,-36.97987366,-63.12449646,15.15083122,-44.91753387,67.93647003,-5.633491039,111,-66.51377106,14.42181969,-8.243616104,-84.77662659
112,-59.38866806,13.24158955,-24.36219978,-78.81071472,34.66255951,-17.79272652,63.66481781,40.54874802,112,-55.29211807,25.32299614,-21.74491692,26.77614212
113,-60.85460663,11.8410511,-35.64626312,-65.556427,21.08927727,-31.98505974,64.01304626,40.30531311,113,-54.39180374,19.84356689,-0.212041616,-54.96865463
114,-34.38355255,-0.625530541,-23.93193817,-76.29746246,28.78205299,-23.12150002,64.42504883,38.68052673,114,-69.03801727,5.993245125,-22.97542191,25.52548027
115,-27.72480011,-5.000805855,-37.53861237,-62.84277344,14.97401714,-44.75553131,62.07060623,46.29581451,115,-68.71969604,6.771431446,-18.35386276,19.12705231
116,-27.5046463,-5.093547344,-10.59242153,-76.973526,20.13420105,-22.50457573,52.14943695,61.63776398,116,-71.06382751,13.08844566,-4.021754742,-77.96585846
117,-39.21779633,-0.130507976,-10.31685734,-77.05019379,20.83175087,-22.11499977,50.65045547,60.98119736,117,-69.12854004,4.6427598,-21.36343002,27.22931671
118,-41.07049179,-0.874762774,-34.3551178,-64.92337036,17.55814552,-30.92754555,41.60630417,71.41160583,118,-71.04634094,3.507171154,-26.15486336,25.42227745
119,-41.59463882,-1.451794147,-19.64944267,-75.13485718,21.52860832,-33.40543747,40.89845276,70.43239594,119,-71.97821045,2.039699793,-0.279439479,-81.91581726
120,-41.73262024,-1.412617326,-35.30893707,-65.23561096,20.58891678,-29.91923523,45.59700775,67.79502869,120,-69.11318207,-3.801503658,-0.212055922,-54.9685936
121,-47.90975189,-2.675940037,-26.61528206,-74.76926422,36.27064514,-21.73919487,51.03179169,66.71006012,121,-72.09872437,0.570314884,-1.374712586,-65.87618256
122,-62.37956238,-6.531085968,-35.23941803,-53.26607895,7.908420086,-28.5897789,49.77455521,66.69861603,122,-78.76212311,-5.195645332,-4.701114178,-74.80584717
123,-63.44369125,-8.196941376,-32.29990387,-65.02425385,11.72817612,-23.00395393,50.7991066,66.17404938,123,-81.50144958,-3.45588541,-27.98989868,28.45971298
124,-66.79880524,-9.470427513,-17.25729179,-78.91039276,26.76293564,-21.68759727,50.67825317,65.91336823,124,-81.54347229,-9.359139442,-27.81497383,27.59762001
125,-68.56994629,-9.586197853,-10.92148018,-77.16799927,20.79685974,-22.22120667,47.65404892,66.65330505,125,-82.29008484,-12.87260723,-9.507268906,-78.815979
126,-62.94426346,-4.497164726,-29.03530502,-80.07479095,32.95906448,-17.79516792,52.18716049,64.61395264,126,-77.26399994,-8.832863808,-4.867305756,-70.60896301
127,-70.24688721,-11.5276556,-32.12189102,-65.35427094,15.66556835,-30.36827278,48.49639893,65.07933044,127,-73.72239685,-28.10128403,-7.822697163,-80.6546402
128,-73.67612457,-17.86169434,-12.05076885,-80.09572601,26.65802956,-19.87765312,49.10168457,65.34774017,128,-84.51038361,-11.72706985,-20.32434273,23.90248108
129,-73.64016724,-17.82196617,-35.59253693,-86.63938904,36.56082153,-11.29511833,45.87494659,67.71665192,129,-79.89785004,-31.10408974,-1.4352175,-56.3249054
130,-79.14231873,-20.42474174,-18.65376282,-78.68515015,25.95783424,-21.32735634,45.34690857,67.96089935,130,-89.8147583,-17.39878082,-10.66639137,-77.64546204
131,-80.55906677,-23.9227314,-34.929039,-70.88034821,25.42626572,-31.76161957,41.6061821,68.95710754,131,-90.21041107,-17.92984581,-27.83715439,31.87197685
132,-81.22389221,-23.85707855,-40.46091843,-62.79479218,16.79363251,-42.9742775,46.53219604,67.53623199,132,-75.58880615,-44.03932953,-29.83415031,31.06731415
133,-80.84127808,-24.12789154,-30.27761459,-81.00199127,33.52364731,-15.74757671,43.00587463,71.74745941,133,-90.16580963,-18.82166862,-21.77908134,35.64263535
134,-81.15898132,-24.79959679,3.967514038,-84.31535339,4.770274639,-11.00337601,31.86968613,65.29651642,134,-79.64402771,-39.82382965,-33.72317123,56.54936218
135,-81.06480408,-24.85140038,-67.12510681,54.97643661,-14.26507854,-85.79804993,51.57764053,66.13935089,135,-79.76016235,-39.96712494,-26.63647079,36.80485535
136,-81.51200867,-25.20494843,-5.051086903,-81.90299225,20.04203796,-18.5265255,51.16849518,60.42477417,136,-78.4708786,-40.51871109,30.27459526,-59.56792068
137,-81.58357239,-25.30339432,-30.02723503,-81.94290924,33.27973557,-14.77066612,62.59557724,42.04757309,137,-79.20866394,-40.19647598,-32.86617661,65.39304352
138,-81.38991547,-25.08402061,-20.33828354,-78.09752655,24.25052261,-26.01841736,54.12565231,62.2791748,138,-79.51136017,-40.15158081,-30.12981796,31.71320343
139,-83.2649765,-29.61409569,-35.88699722,-70.76839447,25.4043541,-31.96503448,53.65249252,63.08374786,139,-79.43401337,-47.91049957,-17.70648766,57.66648483
140,-83.10865784,-29.15505981,-4.823539257,-81.71387482,19.82272911,-18.74358368,52.93336868,62.39074326,140,-90.94902802,-15.07067585,-27.69166565,35.17961884
141,-43.83880234,-7.530776978,-33.90824127,-70.50914764,26.43893433,-22.57602882,54.2567482,61.82803345,141,-50.77433395,31.22476196,-22.73448181,50.67156219
142,-31.96382523,-10.93061161,-11.69495201,-80.82902527,36.12627029,-20.61897278,59.43415833,57.23595047,142,-74.54044342,13.15337467,-33.2387352,65.61214447
143,-31.81774139,-11.0675087,-35.99687576,-70.00378418,20.10476875,-32.10577393,59.6723938,57.23086929,143,-55.92791748,25.34105873,-32.83683777,55.40555954
144,-63.37739563,-9.436256409,-36.21111679,-71.04333496,25.52640533,-32.20722198,52.44313431,61.79208755,144,-51.12218094,20.82583237,-28.37611771,54.36698151
145,-69.05503845,-11.56232357,-20.32322311,-77.9983902,29.57792282,-23.65381813,49.03541946,64.50695038,145,-81.11730957,-5.315490723,29.22472763,29.18495941
146,-5.751430511,-14.54030895,-16.78792191,-77.86077881,20.06414223,-20.67681694,60.46789551,57.61552429,146,-45.09540939,43.32097244,-25.32575607,36.45644379
147,-29.56253052,-15.62024117,-17.33964157,-78.45333862,28.04515266,-22.05495644,54.0141716,62.3067627,147,-54.52912903,26.20314598,-43.78108978,71.0440979
148,-51.13386536,-8.523807526,-40.99448013,-63.16815948,16.87531662,-39.28152847,62.35045242,43.82925797,148,-76.610672,7.831720829,-18.50397491,56.81684494
149,-67.84361267,-3.825183868,-19.43297386,-75.57041168,32.29735565,-25.51332283,67.74423981,3.716265678,149,-81.21492767,0.915145099,-39.57684326,69.01487732
150,-67.89135742,-3.717470646,-24.12011337,-76.25935364,29.04980087,-23.25571442,46.15069199,62.6269455,150,-80.12065125,-10.08968544,-22.71701431,36.30752945
151,-81.26110077,-14.6410799,-35.38315201,-65.82501221,23.33732796,-33.26496887,46.15069962,62.62694168,151,-83.72483826,-9.115647316,-23.82375336,36.48672867
152,-82.39821625,-18.16051865,-33.20222473,-65.13491821,17.70274734,-30.57054901,47.88012314,64.35604858,152,-86.51467133,-12.00182533,-21.3476181,35.52444839
153,-28.71793938,-15.90899467,-19.46513176,-75.53834534,32.21563339,-25.97842216,54.00500107,61.36382675,153,-50.36782837,35.5042305,-21.65709496,29.57481575
154,29.49311447,-11.01484966,-12.04075241,-77.83596802,22.88333511,-21.44050789,54.00501251,61.36381531,154,61.15488052,-2.495871544,-13.14607048,-72.17353821
155,29.72021484,-11.57984924,-38.1623764,-74.71539307,24.37693787,-31.04192924,56.73329163,57.0663681,155,66.40111542,-12.3359108,-39.51734543,56.86974716
156,28.72472,-11.54265308,-34.94835281,-52.82217026,6.678561211,-28.72469902,63.24245834,50.77396011,156,66.11630249,-12.12817383,-11.15927029,43.84901047
