GE_BE,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,,F_target_embedded,,BE_GE,F_source_embedded,,F_target_embedded,
1197,-33.235569,2.927792788,9.215058327,16.10062218,-50.74992752,-10.57494259,59.91555405,-36.39187241,1197,-62.10360336,4.975059509,-4.279951096,-28.76788712
1198,-33.28115845,3.006252766,72.79906464,-12.54940891,-26.29479027,61.19948196,64.76565552,-7.77161026,1198,-58.17871475,-2.195198536,-22.23627472,-10.0113554
1199,-36.25275421,3.755738974,38.98097229,-2.449599028,-20.48158836,-9.069523811,61.04754639,39.05252457,1199,-63.14556503,-0.230430499,-12.21201324,-17.88373566
1200,-35.89451981,3.45014739,30.65496635,4.076020241,-35.13896561,12.25963116,62.70897675,-0.455342591,1200,-62.03371048,2.730872393,16.87979126,36.69299698
1201,-39.99986649,2.816650152,22.85720253,89.93992615,-77.77975464,-20.87175941,65.99534607,-27.16588402,1201,-74.77955627,12.67760277,-10.07823086,-16.60170174
1202,-34.85755539,-0.548325181,-6.680059433,33.84392548,-63.78946304,-21.99909973,66.02905273,-25.66881752,1202,-74.60652924,13.25275707,-32.99687576,-12.97562027
1203,-49.51018906,8.994379044,23.08234406,89.6863327,-77.50062561,-21.03462601,65.00016785,-25.99172783,1203,-64.30476379,-12.03138828,-20.29284477,-5.563581944
1204,-49.62971497,9.025828362,37.15904999,4.169561863,-27.20498276,18.33596992,55.98495483,-41.18708038,1204,-64.48597717,-12.34634781,-17.68339348,-13.55066395
1205,-56.59052277,9.882862091,20.98318481,9.414823532,-51.58112335,7.48871994,44.22680283,-47.48557281,1205,-67.09415436,-12.64630508,49.06326294,-29.1341114
1206,-56.00722122,9.113455772,44.37996292,75.13201904,-74.93635559,-39.50034714,42.56287766,-58.19054413,1206,-64.83344269,-14.79446507,-13.44052982,-4.552714825
1207,-50.97370529,7.17177248,47.65605164,-0.121419117,-24.37021828,32.57141876,33.98553848,-65.6502533,1207,-67.87374878,-4.511363506,23.09436417,-53.04752731
1208,-46.96497726,10.8129797,41.66428757,76.71787262,-75.71086121,-35.92868423,44.80966187,-66.77696991,1208,-57.97221375,-23.77853394,-1.863532305,20.58732986
1209,-24.12943077,-4.303372383,18.94499016,87.7613678,-69.11587524,-43.16965103,51.44892883,-53.85380554,1209,-64.90462494,23.59623909,-13.28154659,-16.50396156
1210,-32.66966248,-6.410117626,15.03778553,14.26337814,-56.7957077,2.540425777,51.916008,-50.92284012,1210,-54.4451828,29.28561783,-0.696146548,45.37673569
1211,-31.52643204,-6.713298321,44.89389038,-1.952382088,-28.03656197,33.93926239,70.82058716,-9.408108711,1211,-55.86164856,28.97457504,-19.79484558,-2.999865532
1212,-25.17870903,-4.145336628,-8.766828537,39.81752777,-49.88365555,33.11270142,69.76385498,-18.55091667,1212,-72.12284088,16.13624001,-29.55938148,-28.43087578
1213,-24.36133575,-4.957045555,37.74860001,4.061379433,-26.95868301,18.89102745,69.16436768,-12.47676086,1213,-63.08789444,23.33461761,-12.20979977,-12.529706
1214,-25.27604485,-7.073475361,12.33423996,7.389474869,-46.22024155,2.138563633,64.14685059,-8.412408829,1214,-54.915802,32.72735596,-4.461626053,14.89957714
1215,-25.33212471,-7.067764282,40.23949432,75.02785492,-72.23972321,-42.66121292,67.11473083,-23.80179405,1215,-54.81716156,32.29000854,48.10351563,-30.81882858
1216,-25.06662941,-7.175864697,43.93202591,-1.103203654,-17.00186157,2.690062284,64.94283295,-23.0163765,1216,-51.35288239,34.78838348,17.73424339,38.64723587
1217,-24.537817,-3.981107712,2.892674446,17.70982552,-58.14849472,-5.13065958,63.94300079,-47.33640671,1217,-58.78553009,29.50831985,-23.57549858,-15.64946556
1218,-30.96168709,9.426192284,35.63119125,4.406093597,-30.09325218,16.22825241,59.75673294,-45.6152916,1218,-54.66542816,-12.69427299,-5.612957001,-29.08408737
1219,-32.50600815,-2.62531352,32.09786987,4.522305012,-32.12431717,11.76261425,64.35847473,-26.09173584,1219,-71.50134277,16.46275139,15.15293312,35.31088257
1220,-16.81266785,-1.534101486,28.98565102,6.256821156,-34.85383224,9.112724304,64.35847473,-26.09173584,1220,-61.05211258,11.15002823,-16.50043869,-4.754552841
1221,-52.66024017,11.08233261,34.99971008,4.349754333,-29.25939751,13.62930107,64.51390076,-7.448777676,1221,-55.95497131,-19.46676064,16.24054718,38.3286438
1222,-53.53302002,11.25343037,74.20211029,-12.45096493,-22.12578583,63.12197876,64.07727051,37.70158768,1222,-57.05088043,-21.4787693,16.19429779,38.47677231
1223,-52.1795578,11.77366066,19.68790817,7.534766674,-46.94458008,8.15882206,65.88409424,-0.849428296,1223,-54.90190887,-29.9261055,-1.220170736,19.84731293
1224,-51.92314529,11.43653679,44.38577271,-1.019447088,-26.24988556,29.88536263,56.38330841,-41.74190521,1224,-54.97477341,-21.35424614,-12.25576401,-20.68901825
1225,-53.14752197,9.048692703,25.27838516,88.05989075,-75.23085022,-24.73507309,57.04452515,-40.15477371,1225,-64.29718018,-13.58635139,-15.84970284,-8.974839211
1226,-45.17443466,7.757143974,37.91996384,4.268222332,-22.93502045,18.21942139,53.90537643,-38.95080185,1226,-58.19088745,-15.67558289,-21.74478149,0.104967386
1227,-39.26764679,6.333870411,43.53630447,75.6840744,-76.09317017,-36.76044464,42.71336746,-47.20452881,1227,-59.02705765,-8.599597931,-1.778886557,45.52621841
1228,-59.68952179,11.28070354,46.5546608,73.68006134,-73.2510376,-42.8000412,25.11134148,-65.66496277,1228,-74.7269516,-2.382870913,-21.03845406,-0.122606874
1229,-59.65688705,11.33665371,19.364645,65.50743866,-50.14714432,32.59350967,49.93642807,-50.47014236,1229,-73.96295929,-5.968900204,17.38284683,35.39186478
1230,-54.63593674,10.67291069,87.82138824,-9.576856613,-8.939811707,81.24308014,59.64542007,-40.12975311,1230,-55.67879868,-31.88295937,-20.29783821,-2.831374168
1231,-35.32134628,11.86326027,-5.369490623,32.40834427,-59.92557907,-24.58019447,59.53525543,-39.45166016,1231,-52.96832275,-26.01358032,47.8418808,-62.66075134
1232,-35.48827362,11.92538452,-8.952097893,40.33824921,-49.67661667,32.78767776,63.73254395,38.59602356,1232,-54.00180435,-21.18023682,-1.709481716,20.87120056
1233,-62.18740845,11.05792999,-8.535580635,36.84339905,-63.89443207,-23.8045845,71.15322876,-18.33210564,1233,-71.09762573,-15.13916016,-2.60552907,32.93322372
1234,-55.98780441,10.16968155,45.9005394,73.94136047,-73.12625885,-42.78207397,69.81336212,-18.01979065,1234,-64.20348358,-17.21144676,-22.86245537,-4.801804543
1235,-35.29958725,11.61797523,41.38840866,75.3581543,-73.56521606,-40.94229126,71.62249756,-21.85441399,1235,-52.98970032,-26.50142479,-16.81539536,-10.26073647
1236,-45.74864578,12.6138382,60.10872269,-4.679988384,-16.97103119,43.65838242,68.36751556,-25.81445503,1236,-53.75032806,-26.25742722,15.64923859,35.09977341
1237,-46.42278671,12.79733849,46.13878632,74.52938843,-74.91556549,-40.17218399,67.47813416,-20.26435852,1237,-54.89086151,-30.9924984,-2.221554041,-27.68033791
1238,-48.89010239,11.09668255,32.07686996,3.365319252,-32.8404274,14.6795311,61.99205017,-45.69894028,1238,-56.73619843,-25.40315437,-12.26780605,-15.75447559
1239,-51.77284622,13.00010395,34.31983948,9.596577644,-26.33925056,18.20844269,57.62290573,-47.67185593,1239,-55.5064888,-28.46809578,1.884381652,41.69022751
1240,-51.77302933,13.0001812,-6.208175182,31.06188583,-58.60029984,-25.93181419,70.8571167,-18.93561363,1240,-55.50651169,-28.46810532,48.06361008,-22.88776588
1241,-55.44069672,11.16613197,2.708229542,17.69711113,-57.81419373,-5.866999149,69.62947083,-11.89566898,1241,-59.14215851,-22.90569687,0.124495223,21.5065937
1242,-49.69740677,13.07773209,20.42533684,7.792221546,-45.30018234,7.84538126,45.13884735,-45.3137207,1242,-54.92610168,-29.93526077,-16.96673203,-15.75418949
1243,-55.24231339,11.89580727,-10.0218792,40.45597839,-66.26335144,-23.69063568,71.42493439,-24.53307343,1243,-58.90506744,-22.64015007,-22.97549438,-5.972358227
1244,-55.02721405,11.99744606,33.32048798,3.849586248,-31.267519,13.46982956,64.96324921,-29.07614517,1244,-57.14260101,-24.03997231,-20.59238052,-3.509545088
1245,-52.1112709,10.43026829,87.10649872,-5.630830288,-2.584240675,84.9434433,67.51331329,-19.01430893,1245,-57.04314041,-24.94026375,-17.04450035,-15.05121803
1246,-55.83937454,10.30286503,62.18367386,-5.479106903,-22.63004494,49.08684921,71.68408203,-19.3781929,1246,-62.71403122,-22.14446068,15.37984657,36.68097305
1247,-61.19768906,10.30082893,19.52694702,8.301695824,-46.07125092,8.53178978,69.30653381,-28.4450016,1247,-73.81690216,-7.189533234,17.38659286,36.4955368
1248,-49.26315308,13.02334595,35.96232986,3.31372571,-26.90615273,17.95919418,65.26837158,-28.47003365,1248,-55.5384903,-29.64657593,-14.41653919,-2.645469189
1249,-48.86878967,12.78196144,45.48972702,74.98783112,-74.8974762,-39.61744308,68.16281128,-26.65614128,1249,-59.04866409,-26.49822998,10.55015373,39.88460922
1250,-48.1267395,12.90832996,37.24625015,3.997549772,-26.06229782,18.51665878,64.73399353,-13.57784748,1250,-55.75927734,-31.87571144,-18.2431736,-11.00832272
1251,-54.21548462,11.43440533,12.52201748,7.083353996,-44.28684998,2.502578735,62.97104645,-0.062827542,1251,-59.00934219,-26.06165504,-12.47863483,-14.31057835
1252,-49.03489685,14.11402893,20.08764267,9.230298996,-50.06298065,8.73054409,56.58137131,-42.93030548,1252,-56.38121796,-28.01379585,-22.900383,-7.318510056
1253,-48.77539825,14.27240753,44.68930435,-1.173367143,-24.19973373,29.23392677,56.23666763,-44.05175781,1253,-55.13460159,-31.58440971,-14.34790325,-4.170412064
1254,-54.47575378,11.27064037,88.86265564,-9.489395142,-1.332482815,84.11495209,53.14196396,-49.85239792,1254,-57.01964188,-28.10295868,16.61693764,32.18474197
1255,-47.85091782,12.92346764,26.77478409,8.282064438,-40.44329453,8.399995804,50.72060394,-49.72761917,1255,-55.59011459,-31.84662437,15.26612949,36.11943817
1256,-46.80070877,11.56674862,73.54607391,-12.58350372,-21.46817017,62.71548843,60.12213898,-34.5219841,1256,-55.39741898,-29.63581657,16.85081291,36.52720261
1257,-38.31376266,8.413352013,-8.74628067,37.49914932,-64.12599182,-23.89505386,41.45578003,-48.59902573,1257,-54.50967407,-20.7451725,-0.802419782,46.39186478
1258,-33.34235764,11.64882374,35.20357132,3.616623163,-27.43203354,16.42358208,64.12484741,41.25021744,1258,-54.51554871,-31.1721077,7.383509159,26.11712074
1259,-33.39311218,11.61441135,19.74329376,65.56642151,-66.81663513,-21.99573517,58.55875778,43.5201683,1259,-53.20439911,-26.71615601,-1.298161268,21.11195755
1260,-41.0668602,11.08217812,15.66437912,11.32857609,-54.67819977,0.585931838,59.07963562,45.22735977,1260,-54.59528351,-19.13875198,-8.635993958,-18.76107407
1261,-39.92511749,10.46995544,15.78358746,6.918895245,-26.84622574,-28.18860435,64.59703064,38.5245018,1261,-59.65803528,-6.849364281,16.85333061,32.23096085
1262,-54.11076355,14.07936192,31.65783882,5.009041786,-32.83259201,9.195713997,62.71563339,45.97043228,1262,-60.34138489,-15.58309555,-17.21329117,-8.888339996
1263,-61.67257309,11.50868416,-6.225101471,32.16445923,-63.02590561,-21.9745903,54.6843338,53.09486389,1263,-75.20028687,-4.689552784,-32.55242157,-13.72568512
1264,-48.23613358,13.54020214,86.80522156,-9.519756317,-12.78480148,78.45443726,55.3976326,52.27685928,1264,-56.33122635,-28.00377846,7.765155792,40.26938629
1265,-48.27993774,13.81320763,47.50393677,74.31933594,-75.50239563,-39.61812592,49.19820786,57.62751389,1265,-55.39712906,-30.62006187,15.76098251,38.03409958
1266,-49.93187332,12.35929871,38.99235153,-2.491714001,-20.61091232,-9.102398872,60.16144562,47.97877121,1266,-57.34589005,-25.08388519,-16.88521004,-9.616118431
1267,-34.95583344,10.88765812,51.56224823,-1.226986408,-30.47336388,38.45869064,65.890625,-36.17839813,1267,-52.98682404,-24.93304443,-0.127270773,21.52409363
1268,-34.95492554,10.88738441,42.30530548,75.69508362,-74.82163239,-39.06932449,64.21542358,-0.256162792,1268,-52.98682404,-24.93304443,-17.09138298,-15.96321201
1269,-29.33645821,7.568481922,27.48301125,7.627397537,-38.53989029,7.988146782,69.13604736,2.980556488,1269,-55.6673584,-10.04991913,-17.49481773,-14.98725796
1270,-36.81249237,3.257334709,46.26008606,75.14958191,-76.7057724,-36.16568375,38.85956955,-52.69961548,1270,-64.99021149,3.926642895,-3.044291973,19.91394234
1271,-60.76700974,11.82645226,43.70668411,76.82014465,-76.14536285,-35.26676559,33.59774399,-58.19966507,1271,-80.10729218,6.824743748,-21.36837006,-3.829365969
1272,-59.28168869,13.04969692,-7.975939274,34.99720383,-61.58246613,-25.20490265,25.01094818,-65.50978851,1272,-79.78418732,7.371599674,-13.27428913,-18.67394829
1273,-62.33294678,11.59216213,45.00733948,-0.816068172,-28.96147156,31.80638123,33.50865173,-57.1462822,1273,-76.95330811,-5.460414886,-10.45048237,-22.42321777
1274,-39.64612198,10.09205818,28.04269981,6.109173298,-38.01664734,7.90474844,50.66643143,-45.49425888,1274,-61.25951767,-4.664227009,17.70283127,39.76587677
1275,-37.81132126,11.85460186,9.130062103,15.94942379,-57.33830261,-4.26298666,49.80210495,-43.63248825,1275,-54.09885025,-20.00021744,-4.48041296,14.74999619
1276,-37.66477203,11.87506199,-9.374988556,40.60263443,-49.57426834,32.54731369,57.5409584,-38.57468796,1276,-54.92573929,-14.66178608,-9.220253944,-19.83650589
1277,-37.00107193,8.257946014,2.140227079,17.53735924,-58.09692001,-5.597182274,59.55613327,-48.87207031,1277,-58.48960114,-7.708220482,-10.69705963,-19.03480911
1278,-37.43377686,7.30275774,46.02933121,73.93477631,-73.25361633,-42.58026505,56.36347961,-50.90788269,1278,-64.20339966,-0.416190058,15.35674572,35.99855423
1279,-37.31330109,7.290281296,2.755320072,17.56010818,-57.8638649,-5.424055576,20.93567276,-79.28681183,1279,-62.192173,-2.185025215,-13.93854427,-19.06966782
1280,-34.01579666,8.237308502,81.29094696,-7.635297775,-15.42947769,77.34902191,35.64652634,-50.69039536,1280,-54.97489166,-13.41946602,-16.4986248,-15.34996128
1281,-33.8696785,8.416870117,-8.710606575,37.30311203,-64.10231018,-23.80921936,43.36558533,-45.52418137,1281,-52.08798981,-22.63174057,-17.82056046,-5.534836769
1282,-39.23683929,11.40251446,0.198663712,13.88691807,-62.14326096,-2.30757308,34.39802933,-68.36891937,1282,-57.96574783,-13.63134861,6.971794605,41.78979874
1283,-39.1206398,11.53817558,16.59459686,10.10977364,-53.4322319,5.391386509,35.54064941,-62.69160461,1283,-53.97412872,-22.27109337,15.25590324,36.61417007
1284,-45.55101395,11.94144535,27.5844841,5.927742004,-38.47127151,9.874323845,34.17080307,-53.40660095,1284,-55.24067688,-29.1103611,-11.76475334,-11.80091953
1285,-45.44134521,11.8126173,42.79201889,75.47897339,-74.29238892,-40.27106094,33.53664398,-54.66706848,1285,-56.67572784,-22.54620934,16.31463051,30.55034447
1286,-46.16689682,13.09927845,60.6457634,-4.774875641,-22.95561218,47.2555275,25.46070862,-64.4491272,1286,-55.00939941,-31.29445076,-12.05633736,-13.36339951
1287,-54.58633423,14.29450798,34.92488098,3.748429775,-29.21338844,13.59154797,30.75989723,-58.84022522,1287,-57.2779808,-13.89771557,-17.10521126,-10.52503395
1288,-49.06056213,10.09526539,20.01620483,65.45516968,-67.5511322,-24.07209015,31.17829323,-57.88714981,1288,-58.43188858,-18.21162224,1.661747575,46.52232742
1289,-49.05854416,10.09523296,95.23162842,-9.403544426,6.143352032,85.44259644,31.17829323,-57.88714981,1289,-58.43189621,-18.21173286,-19.46514893,-5.488072872
1290,-49.30508804,9.949754715,-8.911083221,36.61097717,-60.07125854,-26.86089897,36.40789413,-58.8926239,1290,-58.32479095,-15.42442799,-15.8012228,-9.609861374
1291,-45.51462555,12.90351391,25.73238564,4.480948448,-36.51317596,12.16106796,26.01004982,-64.45152283,1291,-53.61635971,-26.85288048,-16.41711998,-14.56287479
1292,-35.40939713,9.831962585,11.45013905,13.11096859,-57.92682648,2.627210855,31.5770359,-62.49889755,1292,-53.01780319,-26.32906914,-13.79930878,-17.95646667
1293,-36.66264725,10.01475334,2.618589401,17.56745148,-59.0326004,-3.605669498,30.99701691,-61.56376648,1293,-55.2278862,-13.0067482,17.60091209,37.35337448
1294,-34.94867706,10.27300358,29.51516724,4.491166115,-35.6152916,13.03842258,30.85314369,-58.99002838,1294,-52.22177505,-20.46402931,-18.42384911,-12.0806303
1295,-34.67159271,10.32070923,43.23947144,75.78385162,-75.72859955,-37.34647369,32.61718369,-63.27708054,1295,-52.14383698,-22.60797882,-10.7904644,-22.30112267
1296,-32.30247498,6.143555164,46.20802689,74.43335724,-74.55252075,-40.85614014,43.97488403,-65.48094177,1296,-59.87252045,4.096876144,-10.50142956,-18.82617569
1297,-32.3218689,6.358398914,14.41525459,13.86157227,-54.13405609,-3.786367893,28.8977623,-60.38598633,1297,-55.34421921,-7.135354042,49.93088531,-29.02056313
1298,-54.85335159,14.43491173,40.11426163,77.6470108,-75.67363739,-34.63228607,36.26350021,-53.94468307,1298,-56.29676056,-13.23370457,-20.90735435,-2.436520815
1299,-55.80353928,14.0360508,28.65581894,5.220530987,-35.70425415,10.18189812,25.53092575,-64.5641098,1299,-57.41235352,-17.60838699,-10.28707218,-20.8027935
1300,-28.10028076,5.773009777,31.86243629,4.441695213,-31.51472473,11.74729919,33.15991974,-58.10600662,1300,-56.86228943,-6.387804985,15.32923698,33.99523163
1301,-30.16644478,6.437820911,11.99338055,12.26353455,-55.340065,1.509448051,33.05282211,-55.61053467,1301,-59.07444382,-5.222902775,-1.65515542,19.5907917
1302,-33.09306717,5.869508266,26.87702179,7.929248333,-48.68849182,9.240999222,25.55991554,-64.1616745,1302,-58.34196472,-2.762854576,15.80885315,37.51417542
1303,-33.09304047,5.869858265,44.12855911,73.49082184,-71.4778595,-44.97084045,28.71928215,-61.91420364,1303,-58.34088135,-2.762938738,13.06726742,33.22296143
1304,-25.58754539,3.170634031,42.91086197,75.63278961,-75.10902405,-38.8727951,25.59202766,-64.32187653,1304,-54.59500504,-8.642458916,-12.31388664,-12.55478382
1305,-18.0242424,-0.085039921,45.50218582,74.95161438,-75.01496124,-39.48121643,32.29803085,-55.78145599,1305,-56.92266464,-0.28142485,-2.485458851,33.26131821
1306,-55.85478973,13.54873085,19.0604496,65.77288055,-50.06669617,32.33153915,48.39707565,-41.17592621,1306,-60.4582634,-15.59345055,-27.36711121,-27.09475708
1307,-41.64631271,12.31224346,22.56981277,68.09049225,-58.19381714,-35.04426193,34.7548027,-51.80774689,1307,-56.31594849,-13.30222321,16.78964615,35.77030563
1308,-41.89180374,12.37507343,-8.706959724,37.00807953,-63.28506851,-24.41730881,43.76886368,-43.06448364,1308,-63.80014801,-2.277599812,-13.28752422,-18.16737175
1309,-26.28584671,7.470438957,47.33699417,0.022092782,-22.82722092,29.05032158,45.22887421,-45.3789444,1309,-53.69381714,-13.78102112,2.856984615,24.10093498
1310,-26.27963066,7.414045334,44.34490967,73.47664642,-71.15825653,-45.36140442,64.02841949,-33.91911316,1310,-56.17446136,-6.573823929,25.34771919,-52.7685585
1311,-56.22429276,13.69461632,14.23828602,13.39796734,-56.6996727,2.571433306,48.48426819,-48.29515076,1311,-64.55643463,-10.08660221,11.75454998,39.13855743
1312,-57.15065765,13.49422073,-0.748913467,15.25415611,-47.55889893,-0.509680212,56.74549103,-51.745224,1312,-70.43527222,-5.938807011,11.61803722,40.6860733
1313,-16.95246506,-1.146115065,-10.62151909,40.75257111,-68.24436951,-25.59750175,37.47792435,-50.97460175,1313,-60.85652924,11.02370262,-17.63962555,-15.88621998
1314,-24.40295029,3.949368477,45.13043213,75.54831696,-76.5110321,-36.07025909,31.8587532,-56.01248169,1314,-60.89592743,6.114266396,-14.58384705,-3.414013624
1315,-26.39062881,5.352085114,27.91848183,5.780954361,-37.21350861,8.91523838,33.34954453,-57.37829971,1315,-55.90070724,-6.671390057,-12.30849552,-13.89725304
1316,-41.24416733,12.14923763,-8.955906868,37.03153992,-61.00315094,-26.28079796,44.00569916,-43.41044998,1316,-54.34339142,-20.22220421,-3.161461353,14.8382349
1317,-24.74404144,-12.24156857,30.21746826,4.112794399,-34.58106232,14.16174412,44.00569916,-43.41044998,1317,-54.24533463,32.24830246,-2.862930059,32.18105698
1318,-12.35693264,-3.661445618,29.52029228,4.201939583,-35.80547714,12.81791878,68.6572876,-31.61302757,1318,-68.18399811,25.13955116,-12.05574512,-1.600298047
1319,-27.1363945,0.005091727,-8.470170021,37.4132843,-64.84324646,-22.01229668,70.71632385,-19.22327614,1319,-66.68165588,13.3679533,16.28868484,-26.76368523
1320,-13.4904213,-1.090375304,2.380445957,17.48122406,-59.33039093,-3.180970669,60.28762817,-16.4981823,1320,-68.75109863,21.67137718,-2.036060572,-26.53721046
1321,-13.02173138,-3.66370821,38.41501999,3.203086138,-27.48913574,25.40502167,61.85151672,-13.65573025,1321,-69.08522034,21.76687241,-16.38009071,-3.448801041
1322,-59.2500267,13.26566601,48.70076752,0.132428169,-29.27285385,34.42808151,44.94296646,-66.75273132,1322,-55.83242035,22.61715126,-5.666182041,6.472826481
1323,-59.09883499,13.09156704,18.85019493,87.86190033,-72.8258667,-27.71479797,65.59562683,-28.52172279,1323,-80.12940216,6.437093258,-21.75920105,-16.29732323
1324,-62.65248108,11.93883896,-7.029186726,32.60503769,-63.38027954,-21.79489517,48.00482941,-41.15203094,1324,-80.53985596,0.874684513,0.826967716,10.9002161
1325,-77.29631042,-19.64083099,47.59447479,0.660923541,-23.61325455,30.49552727,51.61224747,-39.45640945,1325,-81.72973633,-9.042737961,6.102795601,-24.23077011
1326,-81.46479034,-16.80045128,36.22158051,3.235753536,-28.03704834,18.72834396,64.37446594,-35.14244843,1326,-77.35229492,-34.15016556,0.108480319,13.82372856
1327,-80.60804749,-6.842270374,43.0234108,75.7411499,-75.20271301,-38.59825134,67.57962036,-24.40373421,1327,-72.12727356,-33.5399704,-5.334017277,7.169095039
1328,-82.12070465,-5.78969574,44.50577545,-0.79320538,-26.81618309,29.88778496,67.79018402,-27.07390594,1328,-75.98763275,-38.77357864,14.3942194,-21.20371628
1329,-80.98273468,-6.965286732,32.25937271,3.780246258,-32.06899261,13.43466187,53.74414825,-38.48203659,1329,-72.55214691,-39.68544769,4.83039999,25.22513199
1330,-81.01708984,-7.54923439,25.0465641,8.100543022,-40.00906754,8.340958595,44.22387314,-43.74673462,1330,-72.98581696,-44.85067749,3.420825005,25.31967735
1331,-81.84828186,-17.20259094,39.8692894,78.00079346,-74.80661011,-26.35992622,51.39012527,-40.3110733,1331,-73.6342392,-45.1544838,-1.675562263,16.89103508
1332,-81.51332855,-18.71108627,42.65369797,76.40569305,-75.55396271,-36.6787796,44.45822525,-44.47235489,1332,-74.96790314,-44.31496048,0.788402498,-30.18512917
1333,-82.00193024,-21.7215271,28.42936707,7.166555405,-38.38969803,7.889334679,33.57193756,-54.46804047,1333,-73.69463348,-48.25379944,-11.91163921,-4.396873951
1334,-81.83513641,-22.91943741,40.08956528,74.39284515,-69.83656311,-45.69902039,44.64387131,-45.4540596,1334,-74.48168182,-46.25281525,-0.050135732,13.97873783
1335,-82.00110626,-22.83074188,31.53601646,5.057675838,-33.8815155,9.867741585,28.38994217,-60.07805252,1335,-74.82313538,-45.11989212,-7.830698013,-19.43086243
1336,-83.08363342,-22.90757179,28.92645836,5.419900417,-35.75548172,11.12995052,48.59347534,-45.94233322,1336,-73.88544464,-50.69239426,2.094881773,16.04405403
1337,-82.98952484,-23.01903915,18.79449081,66.65609741,-49.75221252,31.04368401,43.23950195,-51.45043182,1337,-74.3150177,-46.896595,4.261467934,16.81991959
1338,-82.59632111,-23.17473412,20.48251534,9.654026985,-46.78912354,8.782728195,43.23953247,-51.45043564,1338,-78.6314621,-40.52148819,15.12624073,31.03531837
1339,-82.53444672,-22.95790672,28.9738884,5.957602024,-35.95105743,9.631943703,43.74497986,-51.48509979,1339,-74.10082245,-46.68130493,-1.780516386,-18.45256233
1340,-82.50090027,-22.91983032,29.82262421,5.276340008,-35.135849,13.17162895,33.42399979,-54.69298172,1340,-73.95986938,-47.72951889,15.82850742,31.03981018
1341,-82.21440125,-30.64488792,34.29584122,3.368193865,-30.26980782,16.03844643,35.54732513,-51.59270859,1341,-79.05240631,-47.97924423,0.528149962,11.60448933
1342,-82.68714905,-31.16630363,47.24058914,74.15214539,-74.91056061,-40.77053452,49.10744858,-41.38563919,1342,-77.39133453,-49.53395844,-7.710190296,-16.96591568
1343,-83.10832977,-32.06945801,13.52583504,13.13872147,-57.43814468,3.844329834,48.13158035,-40.57555771,1343,-76.00794983,-51.03627014,16.02895546,31.62009811
1344,-83.10832977,-32.06947327,41.38226318,3.185166836,-31.29471016,27.40451431,44.33128357,-42.99892426,1344,-76.00794983,-51.03627014,-20.87446594,0.54189688
1345,-83.31212616,-32.09183884,35.58738327,2.841419935,-28.67584419,16.40515327,70.97360229,-23.50651932,1345,-76.02249146,-51.06166458,48.66952515,-28.99609375
1346,-84.4771347,-32.68564606,92.81550598,-6.403746128,6.461913586,85.54880524,64.68725586,-36.09133148,1346,-78.6836319,-48.81479645,-0.395443082,20.53080559
1347,-84.41234589,-32.48609161,20.05356026,9.436691284,-50.05945587,8.765489578,49.50937653,-44.85981369,1347,-78.14402771,-49.87750626,52.8869133,-36.89833069
1348,-83.92519379,-30.15612411,47.09150696,0.303647012,-25.8357811,31.52208328,40.2958374,-54.71933365,1348,-77.97912598,-49.1033287,2.955209732,-24.26837349
1349,-83.6678009,-29.49768829,42.03536224,75.08220673,-73.71363831,-41.04567337,72.52111053,-25.36053658,1349,-77.97840118,-48.82752991,16.03868294,32.02794266
1350,-83.69979858,-29.86276817,-8.539843559,36.48585892,-62.78782654,-24.83681297,72.32408905,-24.08713341,1350,-75.19189453,-50.92224884,48.03503418,-22.3223877
1351,-83.61968994,-30.08688545,42.90121078,77.19478607,-75.59089661,-35.86845779,68.45166016,-27.85102272,1351,-75.00067902,-51.10227585,21.79309464,-25.71345329
1352,-83.40074158,-30.96701241,38.91809845,76.22110748,-73.94729614,-39.38731003,68.45157623,-27.85111427,1352,-74.45459747,-51.49432755,-10.29150772,-22.12560272
1353,-83.08443451,-31.46051025,30.94553566,5.094064236,-34.04298401,9.361970901,69.0218277,-31.36791801,1353,-74.87724304,-51.48822403,-1.790453076,-18.25058937
1354,-83.3911972,-32.26945496,-5.603580952,19.83516884,-62.85577011,-1.827021718,73.55490875,-5.989747047,1354,-75.9644165,-51.2018013,48.47229385,-28.38028717
1355,-83.4099884,-32.1727066,39.28812027,-2.562680244,-18.75820732,-4.007315636,49.6437645,-45.70988083,1355,-75.91531372,-51.26189041,4.01001358,25.65501022
1356,-83.42388153,-31.81139565,45.63280106,74.15415955,-74.24593353,-41.43086243,54.4923439,-38.47370911,1356,-75.71823883,-51.35967255,-3.679923296,15.33664799
1357,-84.4164505,-33.1293335,35.95433807,3.25109911,-27.57870102,19.06965065,67.8451004,-25.43146324,1357,-76.87633514,-51.42454147,27.4146328,-29.76468849
1358,-84.50028229,-33.4224205,21.59048843,65.89720154,-69.08016205,-25.0382576,69.22747803,-31.06932259,1358,-76.12290192,-52.09367371,16.91087151,-23.52738762
1359,-84.29751587,-33.00618362,73.73039246,-12.57678223,-21.36691666,62.80941391,74.31929779,-22.7537117,1359,-75.63964844,-52.20363235,-11.06802845,0.438874096
