GE_GL,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,,F_target_embedded,,GL_GE,F_source_embedded,,F_target_embedded,
997,4.266499519,-58.4759407,-18.49578285,50.84091949,13.08259869,4.181188583,-7.399374485,12.85721779,997,49.10720062,-18.25737953,54.3172226,14.90064907
998,13.54017448,-54.57126999,-14.64422798,38.75982285,4.275028229,6.520846844,6.769852161,4.463871956,998,62.00435257,4.314887047,60.16878891,1.685008883
999,15.63461971,-49.69876862,-19.53245926,45.64266586,8.291613579,-3.062958479,0.980116963,11.28044415,999,54.54135513,-8.6577034,64.06687927,-1.633400559
1000,22.14688873,-48.29151154,-12.64279556,22.88878822,-13.85082817,16.63981438,14.25263405,9.141819,1000,52.1370163,12.69089031,31.86877251,-26.95139503
1001,19.02201653,-36.25523376,-12.78096581,20.36988831,-4.394506454,1.806311131,14.39198971,9.375823021,1001,51.15615463,13.02703476,28.34757233,-29.68450546
1002,19.01479149,-36.36391068,-13.20864582,19.92548943,-4.46709919,1.775090814,12.14590931,10.46908092,1002,52.94402695,3.124398708,28.93025017,-28.86920166
1003,19.12304115,-37.13880157,-11.62998772,24.47431755,-13.96085453,13.79405975,50.453022,1.600212693,1003,53.79186249,15.22772884,24.80852699,-42.71789551
1004,14.32516766,-43.70658875,-13.90794182,33.09246063,30.88863182,6.518470764,19.28905487,6.632549763,1004,59.03019333,9.809071541,70.16895294,7.030713558
1005,19.14193344,-37.26406097,-8.581489563,42.4947052,-14.01381493,13.94887924,2.983439445,-44.46542358,1005,54.05389404,16.08370399,24.88338852,-42.67831421
1006,19.453825,-36.86911392,-11.57946682,23.42706108,-7.026689529,44.24155426,50.65005493,1.306317687,1006,52.51313782,14.377244,27.8124752,-66.97032928
1007,22.37716675,-46.14776993,-12.06429195,19.95044708,-16.93283272,23.81306839,48.98350143,1.413104534,1007,51.44832611,14.85350895,30.19211006,-29.09439278
1008,22.01678085,-46.2403183,-12.7032547,19.28645325,-13.36357021,15.97142887,14.8146534,9.13889122,1008,50.04034805,13.28250504,33.79607391,-25.38677216
1009,19.0796566,-43.58648682,-13.37785912,19.9006424,-12.8237133,13.87980461,14.07875633,10.42939758,1009,48.5708313,0.425405949,31.71230507,-27.77074814
1010,18.72538757,-58.29208755,-14.45580101,33.08563995,-7.586493492,12.22026634,15.6087532,7.884822369,1010,59.0760231,8.193892479,49.38220978,-19.08147812
1011,18.84471512,-51.16502762,-20.02820015,60.06565857,-8.186214447,8.751048088,-5.46255064,13.48315334,1011,42.17331696,-21.74920654,48.28753662,-17.85754967
1012,14.13004684,-54.10735321,-20.0726223,59.95669937,2.555258512,8.691592216,-9.61102581,29.2550087,1012,30.52573776,-38.92593002,58.12009048,-1.368119717
1013,14.18496704,-68.33595276,-23.52856636,52.78864288,7.894906044,12.12474537,-9.854763031,33.44772339,1013,31.15864372,-50.2109642,54.25803757,2.099210739
1014,15.64707565,-67.95643616,-21.21100235,52.86985779,3.320705175,14.10228539,-5.187565327,15.01189232,1014,33.88913727,-26.02536774,51.75711441,-4.175429344
1015,25.66967201,-44.39780045,-17.151371,59.40493774,-5.498531342,41.1432724,1.996816993,4.190071106,1015,36.66922379,-21.56773758,28.83269119,-46.62802887
1016,25.73286057,-43.86523056,-17.39980888,52.49176025,5.992717743,51.61961365,13.61188412,3.563762188,1016,56.78834534,-9.557418823,44.08610535,-61.70833206
1017,25.7240715,-44.02331543,-25.36033058,44.80755615,4.128056526,50.02147675,-3.051704168,17.68777275,1017,37.34699631,-25.3285656,39.87480927,-58.93421936
1018,25.68064499,-44.5471077,-16.4002552,59.59255219,7.526793003,51.70306396,11.03818798,-1.239338756,1018,52.20818329,-15.74476337,40.1413765,-58.94309616
1019,18.91385078,-52.56616211,-20.21639824,57.85907364,-10.21963215,33.084095,-16.16255188,27.63979912,1019,27.46503639,-45.83490753,33.49392319,-29.98545074
1020,22.09056091,-67.40261078,-20.87645721,57.1204071,4.22960043,44.2987175,-11.16289997,34.47281265,1020,28.66827202,-47.85264969,37.35774231,-51.0094223
1021,24.92362595,-45.79035568,-23.1451931,45.34883881,-1.928590536,43.23017502,-5.725839138,14.88387012,1021,49.50952911,-19.09074974,30.70523834,-48.73293686
1022,25.39024734,-45.6945076,-24.4641304,45.89170456,0.988760412,47.40426254,-7.602244377,28.14837646,1022,31.4642086,-37.17754364,34.81895828,-54.70793915
1023,24.94577408,-45.75757599,-23.45623589,45.65516663,-5.325012684,40.14936447,-7.808347702,19.51398087,1023,42.03600693,-21.671772,27.9987545,-43.59968185
1024,24.55767822,-46.84598923,-24.32000542,45.55415726,-6.145524025,41.66005707,-5.833119392,20.96066284,1024,35.5287056,-28.54164886,31.68197441,-51.63102341
1025,25.94657898,-47.3060379,-19.83889389,56.88358307,0.359292388,47.47856903,-12.45608234,18.60833931,1025,32.72866058,-27.0508194,40.47425079,-59.35364914
1026,26.0031147,-47.30766296,-21.00326729,49.83774948,1.104809999,48.17092133,-11.32731152,27.2880249,1026,35.02943039,-27.77259636,42.48378754,-60.60186005
1027,23.7141552,-47.06722641,-20.32513809,48.6828537,-12.80035973,33.50110245,-5.335394382,14.47472858,1027,50.18337631,-19.3993187,26.95674133,-42.25533295
1028,23.69250107,-46.74547577,-21.18432808,44.28739929,-14.07844067,32.548069,-7.135527611,23.94643021,1028,36.47525787,-28.58958626,27.40494919,-42.70215988
1029,26.25686455,-46.88639069,-20.97915459,40.94845581,2.658006907,49.28675842,-1.815606475,19.36355782,1029,40.07065582,-29.91833687,46.25838089,-61.66905975
1030,24.73523712,-48.97142029,-19.51616669,60.16785812,-8.20053196,41.49816513,-12.64670753,24.87840652,1030,33.12866974,-29.74081612,34.14192963,-53.98327255
1031,24.29165268,-57.578022,-20.0727005,60.13695908,-3.112452745,39.76538849,-4.973007679,30.1768322,1031,31.69279671,-38.91651917,30.13187981,-48.11492538
1032,29.91290855,-52.5172348,-23.22327995,40.00354385,13.33731461,54.62588501,11.46604061,46.64863968,1032,40.50231552,-53.41884995,60.94437408,-61.23318863
1033,18.89859581,-48.8144989,-23.1294651,39.9115715,-9.704417229,9.866293907,9.332566261,42.94651031,1033,38.8236351,-49.58231735,39.1669693,-19.2986145
1034,18.89859581,-48.8144989,-23.38610077,40.34337616,-9.704418182,9.866300583,11.77679062,47.05661392,1034,41.0369339,-53.97634125,39.16704559,-19.29869461
1035,22.96910095,-49.03835297,-30.96561241,49.70401382,-16.8091011,23.81313324,21.76961899,59.27868652,1035,63.09244537,-59.4357338,29.37737846,-29.41514587
1036,24.29767227,-49.07242966,-30.92086601,49.75475693,-13.23051548,36.15719223,19.31929016,54.77787399,1036,54.14593887,-59.98560333,28.49028587,-49.10774994
1037,24.29771423,-49.07243347,-22.60992622,38.11229324,-13.23051548,36.15719223,-2.316573143,31.43573189,1037,38.04756165,-31.79031944,28.49028397,-49.10774994
1038,24.31387138,-52.45153427,-27.6415329,47.67562103,-12.82945347,32.33143616,7.431977272,47.43585968,1038,43.09617615,-58.27304077,26.74159241,-41.45129013
1039,27.61551857,-52.6098938,-21.68308449,50.05308533,-0.65510869,46.15463257,-5.903720856,32.99843216,1039,30.66348839,-40.34730148,39.83420563,-58.25355148
1040,27.93136024,-52.77671814,-21.6644516,50.02954102,1.498742938,47.87633896,-6.645542622,33.0090065,1040,30.72066116,-39.4199791,43.35567093,-60.43699265
1041,29.1170578,-55.78111649,-27.43272972,48.20555115,8.905241013,52.11558151,6.311039925,48.46375656,1041,43.51500702,-58.7485466,48.10152435,-61.91103363
1042,27.10574341,-60.11093521,-28.09943008,48.13698578,8.582373619,51.09278488,12.46137238,53.9568634,1042,56.71636963,-61.03195572,44.62598419,-59.42197418
1043,30.16441536,-53.40615845,-27.4561882,46.89978409,15.49698257,56.21805573,1.237285614,44.15768051,1043,37.01221085,-52.54293442,64.94187164,-59.351017
1044,16.27337456,-72.45484161,-29.46024132,44.67543793,-4.731007576,33.29632568,6.953665257,47.76451492,1044,46.57328415,-59.94353867,36.74901581,-30.80553436
1045,16.59809685,-74.36010742,-32.77898407,33.72631454,6.047768593,42.04329681,16.43753242,51.28167725,1045,44.67757797,-53.36207962,38.16067886,-44.57835007
1046,28.3570919,-61.6965065,-27.6293602,29.17384911,16.81907845,55.98041916,3.933087111,38.66178513,1046,38.03995895,-40.29569244,61.08106995,-59.76300049
1047,30.28048897,-56.27071381,-28.43026161,28.07676697,20.49652672,58.51516342,4.905664921,34.11869049,1047,39.00192261,-42.64787292,63.99886703,-59.12451172
1048,21.95880318,-39.71267319,-28.43026733,28.07678604,-16.94761658,32.16700745,4.905664921,34.11869049,1048,39.00192261,-42.64787292,26.1401844,-49.83744049
1049,20.50963974,-38.96718979,-31.00036621,46.17246628,-17.2944603,23.91134834,21.0501709,58.50054932,1049,65.56275177,-57.52825546,24.66713715,-43.0670166
1050,20.25229645,-37.93451691,-23.62992096,53.20326614,-17.50076294,24.13090324,-5.022078037,42.30955887,1050,34.22474289,-53.40600204,24.58342171,-48.37023544
1051,21.46263885,-39.02177811,-23.62992668,53.20326233,-17.42790222,30.1979084,-5.022078037,42.30955887,1051,34.22474289,-53.40600204,25.6293602,-49.98737717
1052,18.12810516,-49.38442993,-25.92952728,48.66614914,-3.535125017,3.233693123,1.247738838,24.70639229,1052,39.02101135,-54.47811127,52.33263779,-15.19971085
1053,20.37950134,-37.91992188,-28.14116096,42.44530106,-18.70941734,28.25496674,-6.499055862,33.23237991,1053,31.53707886,-38.49142456,24.89583015,-51.50194931
1054,19.0703125,-38.81304169,-28.97189713,41.88035583,-4.689440727,1.870558739,0.497325569,39.65148163,1054,36.66523361,-50.31487656,31.72167397,-24.58174706
1055,29.95345879,-55.84376526,-27.92813492,47.44935989,15.37513351,55.26114655,5.841547012,49.55736542,1055,45.28167725,-59.97560501,55.50449371,-61.24702454
1056,25.35673523,-69.11471558,-31.75286484,46.4361763,21.97014236,59.368927,25.26182938,60.26354599,1056,72.16701508,-52.4619751,65.30454254,-57.79116058
1057,24.43283844,-71.71463776,-25.90539551,48.68940353,21.2396965,58.23018646,3.972724676,25.49068451,1057,58.24588776,-59.45035934,61.56488037,-59.1632309
1058,23.62970924,-72.96179199,-31.57678032,37.3193779,21.47175407,57.74840927,7.802715778,46.93259048,1058,45.43392181,-55.72860718,60.11210251,-59.08121109
1059,24.82095146,-74.1309433,-30.21595573,35.47725296,28.21618462,62.79708481,3.077384472,41.85783386,1059,38.12550735,-48.96445465,70.88970947,-52.65019989
1060,23.77456093,-73.41847992,-29.13362885,41.80239105,23.20346069,59.62583542,2.163588047,43.83356476,1060,37.99097061,-52.55696106,63.18935776,-57.56596756
1061,18.28072166,-77.33526611,-31.49726486,47.70806122,30.42340279,60.69835281,34.82172394,64.92569733,1061,77.74462128,-43.3445549,60.44021988,-54.10388184
1062,16.678339,-78.68253326,-21.94152451,50.23772049,27.11662674,58.8767395,-3.247861624,41.05007935,1062,30.46818924,-48.60675049,53.87413025,-53.97566605
1063,16.53046989,-79.73609161,-22.21218681,57.07731628,36.6158905,59.98332596,7.664361,51.72832489,1063,46.60292816,-61.6488533,63.69303513,-52.44245148
1064,16.90483093,-80.36800385,-21.73825645,56.71313095,43.68021011,60.37263489,-6.250338078,42.70123291,1064,35.11806107,-55.61999512,70.03425598,-46.63294601
1065,13.86548424,-31.82331467,-21.5674839,56.84012604,5.770812988,-4.20472765,-8.432105064,41.2323761,1065,34.31443024,-54.43468475,38.90766144,-17.4066906
1066,13.43849564,-41.26012421,-20.82338142,57.23755646,27.44176292,5.476138592,-9.976596832,23.05832481,1066,28.13297081,-46.70512772,68.88899994,3.729152679
1067,9.479409218,-51.39945984,-13.30692387,51.37231064,41.13187408,5.880209923,10.15417099,-2.245223761,1067,66.44380951,2.172430277,68.04684448,25.75099754
1068,1.703583241,-56.89474106,-19.05777168,56.98733902,79.42349243,-11.30403805,-11.0302639,16.16453171,1068,36.48974609,-22.04492378,41.09989548,36.36878204
1069,1.872791767,-56.90057373,-30.04778862,47.09918594,54.76888275,-28.50736237,17.68318939,55.60723114,1069,59.89649963,-59.72832108,41.68117905,36.54667282
1070,-1.357964516,-59.01057816,-27.37408638,47.73342133,-17.52320099,-12.62025928,6.655659676,48.2686615,1070,39.74827576,-55.51216125,37.63957596,24.91002655
1071,19.39496994,-77.43019104,-27.71569633,33.97517014,37.91402435,62.0821228,2.365829706,38.74747467,1071,36.03556061,-40.6616478,69.69352722,-51.15479279
1072,19.51830673,-78.47192383,-33.05245209,33.39017487,48.1497345,61.30755997,17.34387779,51.76773453,1072,44.3443718,-52.66133881,78.60955048,-37.09587097
1073,14.73891258,-80.79465485,-34.44898605,25.46610451,43.27547836,58.82049561,20.44425583,53.03946686,1073,44.2912674,-51.48444748,65.05845642,-50.32421112
1074,14.935956,-80.68001556,-34.41963577,25.25549316,50.2504158,58.49584198,21.17107391,53.42856979,1074,45.10252762,-51.83194733,74.51015472,-39.65367508
1075,13.55296326,-82.58049774,-32.35032272,24.38650703,50.27772141,57.4323616,34.61053085,59.03907776,1075,58.67719269,-52.98740387,70.75402069,-44.38020706
1076,13.06028271,-83.44432831,-35.28258133,19.34086037,52.76078796,56.13831711,35.89494705,56.72755051,1076,55.37506866,-52.09869003,73.1308136,-39.97382736
1077,14.08050728,-84.4744873,-35.91732407,19.40929604,61.5137291,45.76570129,37.22370529,58.6918335,1077,60.58167648,-51.85653687,83.20121002,-22.78639984
1078,-9.245912552,-48.89048386,-36.13130951,16.80838585,-39.59797668,-15.64418125,37.00357437,56.67995834,1078,55.38484573,-51.91854858,27.80520248,24.51568413
1079,-5.711804867,-51.83888626,-19.05991936,54.77592468,-41.31795883,-10.75661182,-7.995865822,12.4604435,1079,43.13602066,-19.71726418,27.74893188,28.73633003
1080,-29.85502434,-40.75692368,-16.22352791,59.80731964,-39.72894669,20.16712761,10.01250744,-2.058345079,1080,57.32092285,-10.35898495,18.06157112,22.41085815
1081,-28.59238052,-34.23878479,-17.30426407,51.84642792,-45.48171997,35.54564667,4.340242386,3.986855984,1081,58.93530655,-6.224087715,-2.637047291,26.45931053
1082,-28.45975304,-34.1873436,-13.66398716,47.76133347,-45.84627151,36.16757965,19.29645157,2.472816944,1082,67.90224457,7.375144005,-1.901297808,26.80142593
1083,-27.95473862,-42.74514008,-10.40972996,37.53992844,-54.10525894,60.16782379,54.10036469,7.343989372,1083,60.74023438,29.41746521,-6.972167015,31.58022118
1084,-28.95602989,-44.76677322,-11.03527355,18.32729721,-56.04954529,53.5158577,54.13837814,-0.14108406,1084,46.6314621,23.03146362,-3.081300497,30.77937317
1085,-27.91440582,-42.01534271,-36.17567825,21.22440529,-56.05424118,52.58294678,43.77832413,58.35350037,1085,66.19641113,-49.39730453,-6.654535294,29.77984238
1086,-27.73285484,-42.39168167,-36.81355286,18.54727745,-53.94237518,60.28794479,43.43668365,57.89040756,1086,64.72117615,-49.79870605,-7.56962204,30.63316154
1087,13.41038132,-83.56695557,-39.21534729,18.61122513,53.46750259,55.77376938,57.70996094,51.57634735,1087,79.42626953,-29.37543488,75.32478333,-37.17463684
1088,13.43159389,-83.53050995,-38.75345612,17.59649849,56.25175095,53.58509064,57.08198929,52.88987732,1088,78.01380157,-32.4889679,77.96009064,-32.94641113
1089,13.0586586,-83.70557404,-36.96888733,15.8508606,57.48789978,52.09663391,44.06520081,56.95157623,1089,64.23949432,-49.13161087,78.27179718,-31.90159798
1090,13.50427532,-84.10153198,-39.35129929,17.3795929,60.63283157,47.10333252,60.45973969,47.6469574,1090,79.96259308,-27.52361488,81.57589722,-25.2598629
1091,13.39429092,-84.07505035,-37.55709076,18.45094872,58.83218765,50.04507828,50.61366653,57.15687943,1091,70.71238708,-44.3223114,79.6033783,-28.3711586
1092,13.2071104,-83.98594666,-5.732734203,21.98924065,58.50509644,50.71664429,-28.91853523,-15.87965488,1092,37.96792984,31.83305168,79.10578918,-29.42933846
1093,12.07060909,-84.38166809,-2.797498465,24.05400276,61.61750793,45.05358124,-38.73275375,-0.483969778,1093,35.13634109,30.46586609,79.12359619,-27.56367874
1094,12.03313541,-83.82566833,-2.545158148,23.399683,50.09443283,56.54501343,-38.83201981,0.567835867,1094,30.87814713,28.96895599,65.32306671,-48.66189194
1095,-27.0983181,-43.97583771,-2.179331779,22.38224602,-54.45518494,54.92465973,-37.68976593,-16.01092148,1095,23.13222694,29.02674103,-5.394240856,29.26397705
1096,-26.73439026,-43.93913651,3.991719484,78.78928375,-53.82733917,54.04745865,-40.75574493,20.48270416,1096,18.51806831,22.81255341,-2.908201218,30.07461357
1097,-26.70474434,-43.58886719,2.623467922,14.21127129,-55.28741837,43.62898636,-54.52469254,46.92172623,1097,-8.691699982,30.78341484,-4.11083746,28.66710854
1098,-26.83036995,-43.57207108,9.958433151,75.83696747,-52.14262772,37.70090485,-56.34391022,53.27504349,1098,-32.58036423,38.72289276,-3.826554298,28.34601974
1099,-27.27530861,-43.00421906,40.66884613,-20.11830711,-53.02989197,60.6183815,-2.009727478,89.4502182,1099,-91.64501953,-13.56516743,-12.03650379,28.45944977
1100,-27.39637566,-43.56615829,40.16584396,-19.28190613,-53.46796036,59.58589554,-8.906429291,88.68067169,1100,-91.19277954,-13.24349689,-7.399884701,29.32668304
1101,-27.33078384,-42.63744736,-39.53794479,16.82119942,-55.3638382,51.63259125,61.94355774,45.0307312,1101,82.19328308,-24.12404442,-11.43326187,27.8787632
1102,-27.80763054,-42.70661926,-37.63009262,17.53884315,-35.44995499,76.95347595,52.17956161,56.35124207,1102,72.58815002,-40.48265839,-21.41415405,29.38754654
1103,-32.71774292,-47.16430283,-37.46867752,17.7816143,15.826478,79.35182953,50.1014061,56.81311035,1103,70.17319489,-44.867733,-82.69447327,-5.132304192
1104,-32.21901321,-47.22225952,-39.81526947,17.95496941,13.07326603,81.87854767,58.99482346,49.82896042,1104,80.26790619,-27.66923904,-85.09459686,-1.642380357
1105,-33.24242783,-46.72855759,-39.78931046,17.42946625,37.29059982,39.72437286,60.83572006,46.78047943,1105,81.60783386,-25.17945862,-80.15759277,-7.81482935
1106,-30.6938839,-47.08525467,-38.74112701,15.77169418,-1.645908356,87.81907654,62.13883972,44.23113251,1106,81.24279785,-24.96753502,-63.58426666,34.22747421
1107,-31.62454987,-49.20524216,-37.85630035,15.55293465,29.56049538,26.50167084,59.00632095,50.96021652,1107,76.99675751,-33.51171494,-80.13261414,-13.91972065
1108,-33.23306656,-49.93714523,-38.72877884,15.88123035,33.60912323,-9.955188751,61.29411697,45.71306992,1108,80.73345184,-25.84387398,-65.84173584,-23.0415802
1109,-33.63430786,-49.90769196,-10.21805477,10.45286083,34.6374321,-9.295517921,-78.5750351,6.692397118,1109,-61.83288956,44.21110916,-65.58810425,-23.17469788
1110,-33.28246689,-49.46640396,-10.29656792,10.54277706,27.46394539,20.58836174,-70.49383545,-15.00600624,1110,-52.24741745,44.7337532,-65.91438293,-20.1805172
1111,-31.34814072,-48.14941406,-10.21008301,11.37248802,34.09374619,42.40105057,-81.26101685,16.13606071,1111,-58.06876755,44.60956573,-82.84410858,-5.600867748
1112,-31.31121063,-47.36300278,-10.34277821,11.34353256,11.44446087,83.53726196,-82.00526428,2.82040453,1112,-58.24005127,44.67068863,-84.62054443,-2.34014535
1113,-30.44401741,-47.29727936,-10.37856293,11.38212109,6.827952862,85.00853729,-74.0620575,-19.9140358,1113,-45.85095978,43.93234634,-65.85913849,32.09253693
1114,-28.50177002,-42.97994995,-11.62826824,11.70110416,-15.44408035,85.9021225,-51.53059006,-4.478885651,1114,-21.84335709,18.12083244,-27.55995369,35.57435226
1115,-28.82308388,-44.80155182,-11.74183846,11.73104572,-40.05615234,73.07824707,-72.57279205,-8.309405327,1115,-14.17213917,15.90897942,-8.603362083,30.36739349
1116,-26.20925903,-43.35565948,-10.89540577,12.29006863,-54.00512695,46.20850372,-66.66122437,-18.66261864,1116,4.193119049,13.19213104,-4.34146595,31.98555565
1117,-29.79798317,-40.07746506,-10.6524353,12.33862495,-55.79082489,56.17923355,-69.35839081,-13.6720438,1117,0.294262111,14.77698421,-12.14155293,28.21147919
1118,-33.86912537,-28.27772141,-10.72661304,12.22630596,-55.79283524,57.18354034,-51.81151962,-3.419404745,1118,-8.027171135,19.30513382,-21.40127945,27.99838829
1119,-27.79509544,-39.27455139,-12.42646408,10.4212904,-25.00162315,83.7766571,-46.87532806,64.84778595,1119,-67.40668488,33.55497742,-28.38017273,36.47763443
1120,-29.55347443,-44.2363739,5.945566177,74.27133942,-51.51420593,44.88774872,-41.17527008,70.6019516,1120,-65.46123505,35.09501266,-2.789288521,30.92275238
1121,-27.51293373,-33.15029907,34.68770599,77.58942413,-38.36177444,-4.250445843,-13.51450253,85.7529068,1121,-83.67979431,1.453687072,17.72032356,23.947258
1122,-36.38881302,-21.06451035,6.732959747,74.17731476,-37.20809555,19.15260887,-27.609972,80.73462677,1122,-67.63584137,32.59789658,-13.57028484,23.11890221
1123,-27.53055,-33.20143509,-11.43938828,11.49545479,-38.45684433,-4.405064106,-42.1688118,63.61732483,1123,-71.85743713,30.90904427,19.73892021,25.15429688
1124,-4.999880314,-54.44548416,-11.01057339,11.83371449,-6.72764492,-44.17895126,-77.37974548,25.63980103,1124,-49.11897659,40.20145798,34.88670349,28.50655556
1125,-4.999854088,-54.44551468,-11.5412035,11.22502327,-6.72764492,-44.17895126,-64.50489044,32.48497391,1125,-65.78993988,37.90659714,34.88670731,28.50655365
1126,-5.656150341,-51.92141724,-11.70398045,11.00746727,-19.66055298,-31.36825752,-64.49552155,42.88825226,1126,-70.94649506,31.59088898,32.52019119,30.03155899
1127,-4.540002346,-54.64495468,-10.59575272,9.409788132,2.248053074,-44.37714767,-45.61492538,61.46393585,1127,-85.79045105,0.534682155,37.51753235,31.27275467
1128,-3.920949459,-56.72249985,21.79643822,10.86766148,18.4374218,-36.95482635,24.6672802,-6.730821609,1128,-64.97621918,-23.6079998,39.09037781,25.12711716
1129,-4.474807262,-55.70198822,21.77544975,10.76497936,0.147360116,-43.9432869,4.429998875,86.01702118,1129,-77.79829407,-7.985542774,36.12316513,27.4559536
1130,-4.857003689,-54.62529373,22.22686768,10.6891613,16.1549778,-37.34667587,-21.88376427,82.21308899,1130,-76.85746765,-5.815012455,34.51659012,28.04403877
1131,-0.949004769,-59.97195053,41.47377396,-20.9958744,20.21668243,-23.85138893,-17.52998734,86.87214661,1131,-86.53774261,-1.996449947,44.59175491,21.08176041
1132,0.322324306,-61.40411377,-12.36083031,10.4226284,14.63826561,9.556334496,-60.85065842,35.18444824,1132,-60.98205566,39.30100632,49.50932693,13.61841965
1133,1.640370846,-62.37698746,-12.44913483,10.46127129,10.06234932,11.73870182,-54.42658234,14.75994778,1133,-47.41679001,40.96681976,53.32991409,2.956945896
1134,16.33707237,-68.38280487,-10.49670601,12.08419609,-2.307337761,19.10048485,-73.01309967,-9.997008324,1134,-3.114346981,12.34769249,48.32104874,-6.648206234
1135,1.688695669,-62.53232574,-11.84768963,11.02610111,8.557718277,13.73602295,-52.41656876,0.485229939,1135,-58.11206436,44.94334793,48.02832031,-0.979049563
1136,14.7981329,-53.45256042,-12.22882938,10.63186932,2.197345495,8.557313919,-54.33991623,13.24504662,1136,-57.32049942,44.28513718,58.84835434,-3.016936779
1137,15.37720299,-40.70785522,16.86801147,71.87332153,0.927714407,2.20697093,-54.82553482,45.66844559,1137,-35.35173798,39.69556046,56.97021484,-10.15001106
1138,11.46111393,-54.90641403,-12.18204784,10.66197014,10.63401127,4.930952549,-57.82258606,30.95041656,1138,-62.15542984,39.40756226,62.44392014,11.07517624
1139,23.12604904,-66.64962006,16.82309341,71.88700867,16.03048134,54.83707047,-49.23325729,66.08690643,1139,-52.3715744,36.86137772,49.20640182,-60.83275223
1140,22.44462013,-66.3809967,8.889800072,81.14476776,0.974736035,40.34660721,-52.59362793,42.97593307,1140,-10.8885088,26.79104996,33.32291794,-42.3870697
1141,14.09369659,-69.58608246,26.56653214,73.89207458,4.405946255,33.48461151,-40.76155472,-9.886001587,1141,-12.10602474,20.79696083,40.96579361,-34.56685638
1142,17.17030334,-78.30566406,32.52349472,70.47163391,33.13003922,59.93647385,-37.41426468,0.934683621,1142,-21.41894341,20.85396767,57.0929718,-54.12459564
1143,-4.536486149,-62.08720016,16.19421768,80.12338257,-17.98825455,-27.0493145,-41.80988693,-13.34746265,1143,3.223801374,20.24286652,46.47945404,13.26899242
1144,-6.213139534,-61.25822067,-4.739370346,19.21212387,-49.37336349,56.46343231,-6.782152653,-17.67865562,1144,40.84687805,24.86891174,37.16126633,19.33039284
1145,-9.323927879,-61.72703171,-4.739391804,19.21223259,-17.44038391,86.38210297,-6.782155514,-17.67865944,1145,40.84624863,24.86895752,-8.423662186,40.64173126
1146,-21.62846375,-64.75643158,-5.018361568,19.06987762,43.23816681,-55.40177155,-19.79253006,-30.68880272,1146,41.22344208,24.42489433,-75.67871857,-20.95991325
1147,-38.4655571,-59.49755096,-10.85015869,18.74351692,6.535108089,-87.0974884,21.69172668,-21.58378792,1147,45.63582611,19.55951118,-47.04833221,-39.36130142
1148,-45.92403793,-69.51805115,-11.45608711,19.8546257,-52.88697052,-59.53493118,52.00746918,0.054228425,1148,51.09401703,15.55669498,-5.221356869,-71.9438324
1149,-45.67126846,-69.65563202,-10.63151073,19.51401901,-49.61343002,-62.23045731,54.18599701,-0.478285313,1149,46.64448929,22.68147659,-4.022436619,-70.87368774
1150,-45.69073868,-69.73812866,-9.054232597,19.38376236,-52.6560936,-59.83014679,55.061306,-28.47911835,1150,43.0107193,24.43198586,-2.556797504,-70.30683136
1151,-46.74885178,-70.61175537,-10.58774376,18.78675461,-59.03779984,-53.15480804,20.21498871,-23.84704018,1151,45.13510132,20.93503189,5.541168213,-69.43596649
1152,-45.13920212,-69.64271545,-13.16937256,18.87565041,-49.34125137,-62.27943802,13.17629814,11.08647823,1152,47.54071808,-0.508232534,-4.578382969,-71.12665558
1153,-42.84957504,-68.84079742,-16.07899475,20.20801926,-47.42389679,-63.25549698,8.362066269,13.90654373,1153,45.23220062,-3.791427612,-5.453255177,-71.36094666
1154,-40.73726654,-68.73483276,-16.14356422,34.10879517,-48.39977646,-62.51950455,8.931503296,7.788714886,1154,57.70637512,3.229965925,-3.296610832,-71.6548996
1155,-40.61034012,-68.22621155,-14.65892982,29.80104065,-40.77939987,-67.10686493,19.10141754,6.666837215,1155,59.10667038,9.764479637,-9.227518082,-70.69869995
1156,-36.51612473,-69.25055695,-14.32743454,42.03158188,-32.92799759,-68.52664948,13.62752151,2.266263008,1156,63.00788116,10.32103825,-18.74832916,-71.10560608
1157,-35.58118057,-68.31083679,-14.15859318,42.66083908,-23.95219612,-71.70884705,11.41897392,2.135976791,1157,62.11565399,5.828235626,-22.8846283,-70.1516037
1158,-34.99219894,-68.52458954,-15.62619019,34.33091354,-19.12738228,-72.93195343,8.41289711,8.101719856,1158,57.32595444,3.253643274,-29.0727005,-68.25884247
1159,-36.17334366,-69.2218399,-21.74443054,49.95616913,-30.71074677,-69.11690521,-0.177865982,43.04214478,1159,30.73524475,-48.29019928,-23.5081234,-70.91829681
1160,-37.49342346,-69.44725037,-25.50701332,39.45682526,-39.59754562,-66.00234985,0.241528958,39.0838623,1160,32.75902557,-39.3381424,-18.59465408,-71.52152252
1161,-38.4431839,-69.19212341,-30.9360981,49.75524139,-40.06593704,-65.70028687,17.0328598,56.98343658,1161,60.9570961,-60.29051971,-18.65282631,-71.48235321
1162,-38.85181427,-69.10799408,-32.82499695,43.47979355,-40.64411163,-66.94255829,27.0208931,60.45418549,1162,64.42216492,-55.56464005,-18.84213066,-71.1197052
1163,-37.32349777,-69.52308655,-5.308562279,17.50119972,-41.11745453,-65.73273468,-36.67374802,-18.29133987,1163,46.9372139,17.88760376,-19.32959938,-71.75150299
