GE_GL,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,,F_target_embedded,,GL_GE,F_source_embedded,,F_target_embedded,
38,-28.26719856,-69.6023407,15.87881279,0.876284242,-0.705397904,-83.33374023,26.08479881,-62.14286423,38,-62.83678818,-38.65219879,-57.33569336,-44.14800262
39,-28.40744209,-69.55066681,13.54414654,1.13504231,-1.692777157,-84.20645142,35.08913422,-55.40480804,39,-64.95304108,-34.19422531,-56.85528946,-44.27844238
40,-23.26159668,-71.46823883,13.66274357,0.545859396,19.51571655,-77.711586,31.42516327,-56.97441483,40,-64.42785645,-36.46396637,-63.11501312,-36.05766678
41,-22.52116394,-64.51338196,17.07416916,-3.586145163,31.09884834,-65.4067688,27.33456612,-58.80636978,41,-59.21606064,-44.55646133,-65.10760498,-32.1868515
42,-21.01822662,-70.88432312,28.37924194,-6.330284119,35.51306915,-61.37015152,-8.876124382,-70.87728882,42,-41.61570358,-59.64287186,-75.00453949,-22.5758667
43,-15.62118721,-71.65211487,27.01217842,-2.968041897,40.25528336,-45.64334106,-26.45931625,-70.25922394,43,-23.44791603,-70.77567291,-82.80410767,-18.41698074
44,-15.58284473,-71.66311646,32.18920898,-9.38408947,40.36570358,-45.90531158,-26.89499283,-64.44857788,44,-25.83213043,-73.42264557,-82.97684479,-18.27729988
45,-20.42425156,-70.81242371,28.65242195,-6.515748501,35.28996277,-61.65936661,-5.370536804,-68.52767181,45,-39.07943726,-63.32315826,-78.40697479,-21.10046196
46,-15.5870657,-71.73662567,21.84283257,-8.437246323,40.45365524,-50.14575958,0.875228703,-70.66534424,46,-41.15414429,-60.87961197,-83.96846771,-18.08605957
47,-20.51016235,-74.78422546,20.93912697,-7.082439423,29.26459312,-60.23471832,15.16024876,-65.81800079,47,-52.98623657,-51.81459427,-69.20413208,-29.48197365
48,-20.86606407,-74.86235809,17.27046394,-3.514820099,29.71121025,-61.01264572,27.27236176,-58.33017349,48,-59.10699844,-44.99062729,-68.64084625,-29.22306061
49,-20.92545128,-75.33418274,17.46698761,-3.485038042,28.77915001,-61.19979858,17.81332397,-64.29033661,49,-55.97082901,-47.31900406,-67.23854065,-30.52167511
50,-30.38157082,-71.09864807,17.85274315,-2.740285635,-11.58172512,-82.02035522,14.40596962,-66.30529022,50,-55.70342255,-47.24050903,-46.7257576,-53.5080986
51,-31.99408531,-70.73181152,22.13164902,0.363616467,-30.35765839,-69.4719696,17.40216446,-75.67768097,51,-53.79125214,-47.00445175,-37.52468491,-56.4840889
52,-30.30543518,-71.07157898,-15.04853058,20.96964264,-11.32936954,-83.01435852,9.808468819,13.83541012,52,46.95843887,-1.612878919,-43.37717056,-55.15236664
53,-26.66315842,-77.27160645,-5.477893353,17.03958511,2.897637367,-78.97042084,-18.96897125,-33.5145874,53,46.44334793,17.19141579,-51.17988205,-50.82691193
54,-26.81807899,-77.20452118,-4.53635025,18.25660896,-3.038223267,-81.56085968,-25.22319412,-8.742868423,54,44.88172913,20.43792343,-49.15713501,-51.95656204
55,-22.35817528,-75.11314392,0.307052284,15.72686863,19.07428932,-70.06104279,-48.74279404,32.47276688,55,28.96664047,23.38156319,-61.49986649,-38.88875198
56,-21.5621376,-74.98848724,11.56339359,8.079354286,29.55860901,-61.90545654,29.4608593,-9.299890518,56,-77.07411194,-20.68419456,-64.67520142,-33.87897873
57,-27.47348213,-77.46266174,9.088180542,2.714156866,-9.084057808,-71.84341431,8.491923332,85.91931915,57,-86.87458801,-14.10879135,-47.57003784,-53.8045311
58,-26.24680519,-76.0639267,12.65836048,1.192430496,3.810467243,-82.63063812,39.10383606,-51.62817383,58,-75.52126312,-24.69528008,-52.48243713,-48.24291992
59,-2.181363583,-61.04670715,13.13358974,0.517545521,51.36682892,0.76202774,36.17116165,-53.52361679,59,-70.69517517,-28.79621887,47.08532333,18.7335186
60,-6.744648457,-58.74086761,12.42182636,1.085751414,-27.09626198,-10.11303902,35.91025925,-54.09032822,60,-70.69148254,-28.25802803,36.48151016,22.12460136
61,-7.314797878,-60.21825027,12.12758541,1.178051949,-49.84945297,32.76021957,39.3037529,-51.17277908,61,-75.19730377,-24.73370743,36.97031021,19.66161728
62,-11.36226463,-62.03785324,8.294552803,4.431316853,-16.17518806,86.63681793,25.95633316,-8.11892128,62,-83.16369629,-17.43479538,-9.208356857,40.22306442
63,-18.26067734,-67.25923157,7.061565399,4.402493954,41.01908112,-36.5919342,35.70417786,27.25486755,63,-90.97987366,-14.03377151,-83.75713348,-16.84508514
64,-18.03002357,-67.594841,12.17694283,1.193720579,29.4217205,-11.99464607,35.38062668,-54.51030731,64,-69.8990097,-28.59085846,-84.40982056,-16.86769295
65,-23.30966759,-74.28119659,13.43100262,0.12001574,4.329555511,-81.70825195,34.65960312,-54.63578033,65,-66.57562256,-33.62978363,-57.90656662,-43.38234329
66,-26.2242012,-75.03759766,17.50965691,-2.422203779,-11.19722557,-81.21193695,17.92478752,-64.45149231,66,-59.7231369,-43.76104355,-52.74841309,-48.50471115
67,-22.92102623,-73.95891571,25.04705238,-3.743494272,17.23605919,-75.65758514,-1.43482852,-83.0788269,67,-42.99594879,-55.95970917,-62.58609772,-37.49266052
68,-18.72990227,-70.6702652,20.9722271,-3.002077818,38.33785629,-55.52008057,18.80002022,-70.38357544,68,-54.03680801,-47.29618454,-79.83461761,-20.16566277
69,-18.67377853,-71.33457947,16.6552639,-3.483926773,36.44727707,-56.76990509,35.97319031,-53.61528015,69,-65.31907654,-35.53811646,-79.01887512,-21.14290428
70,-19.37863541,-71.61696625,13.84013081,0.876716256,35.84989166,-58.01978302,31.43598175,-57.8674736,70,-64.54950714,-35.28010559,-78.56117249,-21.33428764
71,-18.27225304,-70.91223145,18.63037491,-0.195584565,40.4551506,-51.57801437,17.75871086,-74.91847992,71,-56.88531113,-44.64004135,-82.88773346,-18.40790367
72,-20.7595005,-74.80080414,25.47283363,0.453700304,29.93922234,-60.54142761,11.04892731,-79.34853363,72,-55.08805466,-46.77773666,-69.24584198,-28.77033424
73,-24.6707592,-73.43533325,21.17760277,1.670009136,4.406860828,-82.0542984,24.25663376,-69.09108734,73,-61.66139221,-38.55973816,-57.44392014,-44.01965714
74,-34.00862122,-71.22146606,16.45476151,1.843498468,-39.24779129,-59.23358917,24.03424644,-69.04621887,74,-62.01858139,-38.17760468,-29.78770638,-71.3516922
75,-22.2297039,-74.84509277,15.59599018,2.096796513,19.03459167,-70.71980286,31.69792938,-61.70200348,75,-64.92121887,-33.64122391,-63.24071121,-36.37068939
76,-20.99219131,-74.6498642,14.12663269,0.429668963,28.33127213,-63.36954498,28.2263546,-59.59147644,76,-65.52300262,-34.69740295,-68.55807495,-29.20397377
77,-23.22275162,-72.6849823,12.24107075,4.920623779,19.0524044,-76.64202118,42.48118591,-50.44135284,77,-75.78687286,-20.88358688,-62.76616669,-36.6048851
78,-33.49759293,-70.90274811,12.41656685,5.89509964,-33.3220787,-68.06486511,43.96306229,-48.22781754,78,-75.39830017,-20.79954147,-39.67818451,-56.7778244
79,-32.6918869,-70.8784256,12.24100971,5.697557926,-25.69897079,-69.66700745,42.05720139,-52.0564537,79,-67.98104095,-26.27535439,-46.45118332,-54.16632462
80,-31.32211113,-70.36209106,11.63117599,5.833212852,-15.88010025,-81.94910431,41.34166718,-48.56915665,80,-75.34318542,-22.16836548,-52.30703735,-48.43608856
81,-31.55900574,-70.24593353,27.88420105,-0.0765251,-13.48801136,-82.89528656,-12.11419678,-83.00138092,81,-43.21842194,-55.39636993,-52.54886246,-48.35482407
82,-21.24881744,-71.13557434,26.37829971,-0.988286912,34.65736389,-61.84059525,-5.951020718,-79.9201355,82,-39.95438004,-60.89539719,-74.56604004,-23.10718155
83,-22.95271111,-65.30117035,15.27323341,1.783982277,25.42979622,-68.68339539,29.48369026,-61.61839676,83,-64.77661133,-34.3955307,-62.27336121,-36.62021637
84,-22.91077995,-64.98609161,13.87793159,1.065818429,26.38235283,-69.08394623,34.74835968,-56.85673523,84,-66.89604187,-31.6564827,-54.73112488,-30.30937004
85,-22.78301811,-64.93908691,8.651865005,4.383810043,29.61919785,-66.88545227,25.06481552,-6.891264439,85,-84.88465118,-16.20616913,-54.84017563,-29.90065002
86,-30.44827461,-69.11212921,8.802959442,4.437141418,-3.115794659,-83.31342316,25.26183128,-7.070014954,86,-84.3980484,-16.40504646,-42.37657547,-55.82102966
87,-32.75625992,-69.91586304,28.97694397,-5.193120956,-22.02116013,-72.75852966,-11.86726856,-69.1341095,87,-38.5891304,-63.38953781,-43.3455162,-55.36598206
88,-24.1251812,-72.93854523,29.47769737,-4.589044571,16.35547066,-75.40724945,-24.35551071,-67.26737976,88,-31.14869499,-69.02166748,-63.30338669,-37.59743881
89,-20.72167969,-72.61105347,26.44563103,-3.912297726,29.03314972,-62.97243881,-11.23556709,-71.63305664,89,-31.0782299,-68.00530243,-68.46348572,-29.75219345
90,-21.35161781,-71.26296234,27.09909439,-3.275291681,30.82776451,-65.05474854,-24.38021088,-70.54993439,90,-24.40326309,-70.91593933,-72.6937561,-25.45885468
91,-19.46887589,-71.68656921,22.79807091,-1.958689213,35.82497406,-57.90859222,-4.021046638,-81.00263977,91,-37.95893478,-61.55016708,-77.73818207,-21.61151695
92,-16.41892433,-71.78817749,22.83332062,-1.838086486,39.35335922,-51.93410873,2.667710543,-78.99557495,92,-39.06522369,-60.58109665,-80.21253967,-20.42417717
93,-19.29196167,-72.02096558,21.73853493,-1.298246503,31.76776886,-58.50522232,3.6538589,-79.26885223,93,-37.42741013,-60.99798584,-75.16530609,-24.61291695
94,-23.87163353,-73.134758,21.36364365,-1.105790496,11.59636974,-79.02390289,12.44204044,-68.43317413,94,-46.19576263,-57.32717896,-62.97299194,-37.67470169
95,-24.11455154,-72.83267212,12.88834953,0.98807025,16.97688293,-75.94338226,40.03884506,-49.70539856,95,-78.91503143,-22.52999687,-63.11139297,-37.3938446
96,-35.01146698,-68.86761475,8.432418823,4.611536026,-30.61033058,-68.59922791,25.54593468,-7.509786606,96,-89.97547913,-14.39411831,-24.56469345,-71.47534943
97,-35.79182434,-68.29036713,7.317654133,4.75065279,-37.631073,-67.19620514,35.69141388,29.59840584,97,-17.14995956,42.49342346,-13.26338291,-72.70753479
98,-41.87104034,-69.57982635,6.448950768,4.632655621,-49.83436966,-60.54955292,10.05352402,84.67853546,98,-13.57479858,41.39477921,-4.52097702,-72.84043884
99,-42.17563248,-69.4815979,8.987149239,2.606315374,-48.8432579,-61.35998917,-7.610102654,89.36981201,99,-19.97420883,43.91460037,-5.734019756,-72.60999298
100,-35.70743561,-68.42046356,21.37828636,8.764269829,-35.92893982,-67.09127808,28.05799294,37.93569946,100,-81.53404236,-19.97750664,-13.63651848,-72.92831421
101,-35.64729309,-68.18791962,27.67435265,-2.499022484,-26.66207504,-70.26010895,-12.34334946,-72.35430908,101,-23.95127869,-69.13291931,-18.82751083,-70.70383453
102,-18.7573719,-73.75144958,23.84118843,2.780389547,26.81772995,-60.02674484,16.88043976,-74.01097107,102,-46.3904686,-57.53977203,-69.07116699,-30.68364716
103,-23.93526268,-72.75263977,23.77514076,2.399200201,17.02858925,-74.95548248,9.229367256,-79.23959351,103,-38.32861328,-60.24705505,-64.13957214,-35.77405548
104,-17.14424515,-69.60151672,28.52937698,-2.692391634,41.59908676,-43.9230423,-18.37346458,-71.24330902,104,-26.24196053,-69.66624451,-88.81124115,-14.93609047
105,-13.41714096,-68.90276337,28.69997978,-2.334311247,24.83525276,-6.273073196,-6.34839344,-80.51641846,105,-30.61675453,-66.60932922,-18.25176048,43.06617737
106,-13.08629227,-68.63476563,22.76483154,1.271339774,35.55509949,29.0293293,12.06634521,-78.33127594,106,-46.32479858,-57.03429031,-13.9628067,42.45066071
107,-42.81909561,-68.60482788,25.24375153,-2.335356474,-49.54543304,-61.29504395,-3.891159296,-81.99390411,107,-30.25758934,-66.5993576,-4.769227028,-71.96787262
108,-40.35784912,-67.08277893,22.77116394,0.87367779,-42.55613327,-67.29249573,10.53361797,-78.33612061,108,-46.11733246,-57.33598709,-3.815229177,-69.97029114
109,-39.47318649,-60.57723999,6.265842438,4.011383533,-23.522686,-72.59863281,13.1301136,75.99343109,109,-85.39831543,-12.92913342,-19.32116508,-66.07798004
110,-32.39718246,-67.52351379,22.06692123,7.823779583,-11.90888023,-81.18465424,9.116744995,85.37133789,110,-81.81577301,-7.718736172,-29.56166458,-67.02370453
111,-32.1947403,-67.67963409,21.2773571,7.904504776,-13.89277077,-81.7052536,33.65870667,28.2683239,111,-76.80060577,-16.76847076,-29.02578545,-67.22332001
112,-35.5791893,-67.96723175,43.47119904,-21.69010162,-25.16958618,-71.57111359,-14.90565491,-83.56482697,112,-32.9224472,-45.92055893,-18.932827,-70.34606171
113,-13.54048443,-68.0981369,43.21341324,-22.56077003,34.60737991,25.98031044,32.86723709,-48.42212677,113,-57.55680847,-49.38874817,-15.15616608,42.33600998
114,-14.28884029,-68.12744904,42.84319687,-21.22636414,31.35632515,19.90610886,36.82535934,28.8519001,114,-66.37076569,-35.03238297,-18.44283867,42.91713333
115,-13.67504692,-68.22826385,41.57550049,-19.74037552,32.96639252,23.02169228,36.51539993,28.72576141,115,-80.36634064,-23.55517769,-16.88594627,42.51540375
116,-14.8723774,-68.2678299,21.46810722,9.014788628,30.09191132,-7.369272709,8.127642632,86.76498413,116,-84.20249939,-15.60313702,-20.4517765,43.55122375
117,-12.88343906,-66.87974548,19.43670654,8.955309868,29.03794479,37.8883667,-28.40067863,82.43981934,117,-85.12727356,-1.836252689,-13.73020935,41.34618378
118,-13.59507465,-66.27749634,29.22672081,-2.345562458,35.79011154,36.68662262,-23.75582314,-70.98031616,118,-25.9260025,-69.74072266,-16.7595787,40.25890732
119,-13.07658768,-65.93559265,29.73921776,-2.317534685,28.8965683,41.33796692,-20.64463234,-72.62595367,119,-28.54075623,-68.36400604,-14.21422672,40.23916626
120,-13.00582314,-65.49411774,25.31294441,-2.4387784,29.09853935,42.59610367,-5.10055542,-80.92388916,120,-30.77534485,-66.40907288,-14.47145176,39.67876053
121,-42.97600937,-69.6764679,21.69094467,-0.93002826,-53.1581192,-58.67739105,15.83910561,-74.39159393,121,-46.40582657,-57.10244751,-2.796941757,-72.47756195
122,-42.02422333,-70.04493713,22.22513199,-1.719111085,-53.60600662,-57.2108345,3.496792555,-80.2383194,122,-42.80049133,-57.01002121,-3.096479416,-73.61573029
123,-37.51039886,-71.15129852,26.03147507,-3.372297049,-49.16555405,-59.04724121,-23.25759506,-70.66676331,123,-27.68741989,-70.74102783,-7.557635784,-76.34739685
124,-36.82321167,-71.16513062,41.34357452,-20.05816269,-43.45752716,-57.96810913,42.74278259,-53.87363052,124,-71.86240387,-26.85883713,-13.2577095,-75.51187897
