DE_DL,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,,F_target_embedded,,DL_DE,F_source_embedded,,F_target_embedded,
64,18.92636108,-49.46068573,-10.98220539,-9.635040283,51.56861115,22.05368233,25.74641991,-20.68126106,64,44.7198143,47.71012878,12.56340122,-35.26509094
65,-32.05762863,-34.73064804,-27.49510193,42.46315002,52.02090454,18.42404175,27.02053452,-25.06671715,65,55.14373398,43.63358307,8.294872284,-39.68387222
66,-37.8856163,-42.77754593,-16.85241318,76.61735535,52.88545227,62.65772629,26.05167198,-20.52738762,66,62.36504364,56.0888443,11.65493011,-42.93562317
67,43.71193695,-37.5917244,-4.399499893,5.332517147,52.98920822,62.82833862,30.06074142,-20.19764519,67,62.2419281,56.14225006,7.68090868,-44.86969376
68,-77.08106995,-9.543438911,15.33483124,42.25959015,52.50260544,62.58867264,22.02599144,-23.92831993,68,58.36276627,60.94097519,-30.31785965,-45.78926468
69,-43.77336884,21.87249756,7.35303545,50.71331406,52.58613968,61.5185051,28.16405487,-26.68721581,69,58.3822937,61.84676743,-26.40489388,-33.99462891
70,-67.9079361,-16.02002716,8.743714333,39.29600525,52.13670349,61.28525925,26.31423569,-24.95121574,70,58.33914566,61.94058609,-29.9979248,-45.50747299
71,46.00316238,-66.93075562,63.05767822,35.12745285,52.13747025,61.28512955,17.20121002,-29.64445114,71,58.33932495,61.94079971,-35.56632233,-48.38401413
72,-24.76595116,-21.12267685,-15.85210419,30.87771797,52.51600266,60.39511108,8.763601303,-25.28720856,72,59.06665421,61.28926849,-32.37692642,-47.98354721
73,44.47811508,-36.70410538,76.69998169,-26.08820534,52.49105835,61.01846695,-21.1924572,-25.37886047,73,58.39533615,61.46608353,-25.38804626,-49.54377747
74,-12.71203327,-37.90816498,-11.13308334,14.50598717,52.89527893,61.17446136,-3.826317787,-31.70308685,74,58.46802521,62.14898682,3.54701829,-43.30158234
75,-14.37458801,-57.45869446,-18.70661354,73.8303833,53.25866699,60.23679352,18.27199554,-29.50019646,75,58.29042816,61.15650558,-27.70353889,-34.30567169
76,-64.12526703,-3.982200384,-30.00129128,52.32313919,63.91673279,47.11097717,23.10767555,-26.92845917,76,58.77290726,59.38475418,-30.86130524,-46.89949036
77,-8.070828438,-64.08003998,-36.80423737,70.38939667,63.87048721,47.0111618,18.47585487,-29.34729767,77,58.79143906,59.55236053,-35.38073349,-49.67386627
78,-25.74214554,-28.99347687,14.55800533,-9.205918312,63.88353348,46.8970108,14.34702587,-28.1499176,78,56.61760712,59.42199707,-35.19820404,-49.62843323
79,44.760952,-37.94913483,30.89059639,-25.31543922,63.93173599,46.94997787,20.53113556,-28.77075577,79,58.55470657,59.84314728,-29.75001526,-49.49954224
80,54.06838226,-70.03733826,64.80566406,36.95068741,63.29745483,46.55049896,22.74578285,-27.21906853,80,62.18661118,55.91920471,-25.64861488,-35.10958481
81,-37.67023468,9.875702858,23.8501606,67.64937592,63.29745865,46.55050659,21.27841949,-28.05812836,81,62.18437958,55.91959381,-24.74192238,-35.16640854
82,18.86270714,-40.50769043,3.519943237,-14.22970104,63.84088898,45.60106277,21.6678524,-27.67223167,82,57.56817245,59.5008812,9.059481621,-44.248909
83,3.730223656,-69.04723358,15.65762806,16.71323776,63.70607376,45.05397034,19.34565735,-16.26675606,83,44.03251648,57.20679092,8.127061844,-44.47382736
84,-1.308961987,-61.40230179,-29.77738953,64.47284698,61.26954651,44.79501724,24.5019207,-15.15473175,84,56.89778519,58.11333466,-24.30734253,-35.3878746
85,-66.72180939,20.17541885,17.46572685,77.64080048,53.19873428,43.59964752,21.05158615,-26.25532341,85,43.53271866,57.34328079,-24.97533417,-49.90398788
86,-44.19039917,22.26016998,2.327784777,41.83375549,47.92570496,44.52479935,13.0328598,-27.07885742,86,55.65820313,59.89690781,-13.48243809,-68.60301208
87,38.4763031,-72.74192047,34.48440552,85.05041504,48.66991043,44.42054367,13.5979557,-27.20357132,87,44.92436218,62.90830612,-23.96104813,-49.82064819
88,-73.67827606,1.064938664,34.54035568,61.60713577,47.37339401,45.07883835,21.35761261,-26.83303452,88,57.91259384,60.76904678,8.048470497,-44.77169418
89,-58.15042877,-33.66706085,-27.22194862,86.65537262,43.45920181,42.0396347,23.30569839,-21.48533058,89,55.58119965,62.4462738,-1.08345592,-53.53397751
90,1.550475836,-64.97507477,-43.7755928,36.86237717,41.66629791,43.54480743,22.09755325,-22.12653542,90,56.37983704,62.02318192,-23.99391747,-50.26023865
91,-14.85065651,-50.3494072,-45.95591354,50.34894562,43.16643524,41.31381607,22.09756279,-22.1265049,91,55.63686371,62.75114441,-23.99394798,-50.26023102
92,-36.50950241,-63.73154068,34.57884216,12.61778164,39.78101349,34.11602402,22.08155251,-22.36161041,92,56.24603653,62.17218399,9.96189785,-43.66706085
93,-12.49155998,-33.66666412,-1.78551662,33.6316452,39.79788208,34.04627609,24.31409264,-11.92623425,93,37.85138702,54.20748138,17.38656998,-26.40097046
94,-8.781938553,-60.54821014,-43.64262772,65.91225433,39.96888733,34.02200699,26.94533348,-10.19027233,94,55.75976944,62.95669174,16.67266464,-29.04556084
95,-37.3658905,15.35292244,11.76585865,79.61457825,45.06335068,31.05625153,10.07128239,29.35029602,95,55.63406754,63.07590103,-6.185562611,-30.51403046
96,-46.76386261,-40.99385834,-42.63137817,57.46921539,44.92922592,31.42205429,11.468647,28.27529716,96,21.5565834,62.07911301,17.42601204,-26.00109482
97,53.19956207,-67.57640839,65.62807465,32.59365845,39.96709824,33.14603806,11.10100937,30.19273376,97,21.35025024,62.7961998,-7.834365845,-31.62627602
98,-46.30899429,17.83979034,27.4492588,84.74601746,26.69107437,40.17539597,10.05597305,31.30250168,98,21.48241425,63.0952301,-5.444238663,-30.57014275
99,22.80072784,-16.33716393,81.00137329,-24.25420761,36.52267838,29.68059158,10.55011272,30.35476303,99,37.79146194,54.21421051,10.0869236,-43.42339706
100,-55.38972473,14.9981308,30.26354408,77.24465179,26.47702408,40.44280243,7.735165119,32.54715729,100,21.29486275,62.72211456,-24.73832321,-49.93938065
101,6.948316574,-52.60753632,-9.383333206,-0.626209259,34.14202118,9.108733177,29.33673477,-16.62214661,101,21.20441628,62.75225449,-24.60467148,-49.84672165
102,-0.086303882,-45.07087708,-39.33586121,45.65458679,34.12508774,8.493441582,31.95713615,-14.58326244,102,21.03475952,62.54229355,8.769557953,-44.64081955
103,-29.21619225,-35.65831375,-42.81673813,59.82659531,34.1238327,8.493427277,29.9488945,-13.92409801,103,21.03490257,62.54212952,11.37821198,-43.09515762
104,46.72341537,-7.266129971,89.20889282,12.71740437,34.08994293,8.352576256,6.526283264,33.01338196,104,21.53014755,61.97749329,-24.2598114,-50.00883484
105,-39.79417419,-61.5689888,-33.83608246,70.98874664,34.03629684,8.317724228,8.88988018,33.39482498,105,21.72790718,61.78734589,-24.40359688,-51.27349472
106,53.44952393,-59.10380554,-28.20355606,52.34196472,34.00508499,8.612578392,8.888669014,33.26579666,106,35.7232132,48.43517685,-13.12641048,-69.2445755
107,19.02120399,-37.56128311,-3.239901304,-27.76685524,33.88411331,8.540072441,9.504688263,31.79251671,107,27.29557991,58.55656815,4.380683899,-45.88042831
108,-52.42476273,-26.51264,24.65541267,40.02276993,23.62643623,18.00029755,8.84129715,32.32964325,108,17.02122879,69.02450562,-23.74168015,-35.26835251
109,-76.15782928,15.75765705,9.697943687,46.63495255,23.10381317,18.24811172,10.01021767,30.05223656,109,9.991621017,73.78816986,-26.81706047,-47.06243896
110,28.13306808,-16.43470192,80.52733612,-22.3674221,23.13563919,18.24096298,7.510713577,32.30820084,110,16.88670731,68.94291687,-25.62577438,-36.32654572
111,9.19002533,-48.02770996,-22.39629745,30.73361397,23.09353447,18.26313972,35.84989166,-13.06127453,111,16.93795776,69.4982605,-36.09225464,-50.38324356
112,59.80260468,-58.57238007,57.44708633,38.87931061,-44.75260162,6.158083916,22.18461418,-13.1120491,112,-2.609527349,64.50665283,-38.20567322,-53.90310669
113,-42.28909302,-25.78034401,-10.96789169,23.08615875,-44.75260162,6.158083916,22.18461418,-13.1120491,113,-2.609527349,64.50665283,-38.20567322,-53.90243912
114,-7.197216988,-36.72357941,-10.82574844,-7.330103874,-48.32126236,4.640138626,21.97682571,-22.77420425,114,-5.448475361,63.2072258,-35.92991257,-49.96813583
115,-39.04961777,-67.2259903,29.78528595,14.50694084,-48.70505142,4.666453362,22.08933449,-22.70665359,115,-5.944103241,63.16320801,-44.65569687,-49.80652237
116,-20.72260475,-36.44029999,-6.490364552,4.411446571,-47.80585861,4.666367054,26.6918087,-24.72760963,116,-5.999067783,64.15504456,-31.18913651,-62.31620026
117,-46.50363159,-57.41542816,-30.06734085,53.06021118,-47.65422821,4.66711998,17.47397423,-28.47625732,117,-5.1108284,64.66957092,-50.6458931,-50.25511169
118,3.692963123,-39.06105042,-19.26302147,28.18986511,-47.2563858,4.827466488,19.749506,-13.10270786,118,-2.954063892,65.1714859,-51.51625824,-49.03197861
119,-5.321551323,-62.5594635,19.52796364,11.19555187,-44.85842896,5.921506882,25.35890388,-12.63624477,119,-1.685877442,65.41802216,-69.63847351,-27.82874489
120,50.27306366,-75.00669861,30.44599342,77.78317261,-44.01622391,6.397068977,19.10561752,-28.05285454,120,-1.595897317,65.31668091,-68.02574921,-46.59899902
121,34.43719864,-73.88420105,18.08071518,82.54247284,-42.63304901,6.582211494,16.93118858,-30.94499016,121,-2.554471731,64.57698822,-54.81827164,-48.12634277
122,-18.06871605,-30.83190536,-4.167444229,41.84983063,-43.06539536,6.515576839,25.84844589,-22.8673439,122,-2.24389863,64.3501358,-55.43573761,-43.63599014
123,3.717772007,-51.68055344,-7.632303238,11.68154716,-44.08691406,5.065427303,17.03658867,-33.82478714,123,-2.692845345,64.15927124,-52.13129044,-48.020401
124,-79.99403381,0.826598406,35.96966553,41.5806427,-44.08909607,5.065442562,18.37826157,-31.28520203,124,-2.692845345,64.15927124,-55.38724518,-52.68814468
125,6.361392975,-52.40405655,-34.36668396,39.85617065,-44.76260757,4.862132549,29.29602432,-7.572291851,125,-4.839215755,62.61967087,-53.82243347,-38.09064102
126,-32.28775024,-22.51249886,-15.47684383,24.38007736,-47.58789444,4.051055908,22.65475464,-27.76534271,126,-4.102143288,64.10557556,-52.26664352,-48.95964813
127,-50.60906982,5.650816441,21.00537109,54.43947983,-47.88916779,4.05715704,-5.209011078,-30.64352036,127,16.31311417,54.50243759,-29.38723373,-62.57039642
128,46.23988342,-7.856480598,87.59450531,13.18462086,-43.70124435,2.663618803,9.536455154,-31.83395767,128,10.51016521,54.20569611,-26.65427017,-62.17347717
129,-13.00267029,-46.40174866,-36.79311752,66.86154175,24.41702843,13.00482941,6.964230537,-36.71901703,129,54.16685867,-1.878888369,6.280414104,-51.0483017
130,-18.57625198,-45.64271164,-31.39248657,39.00840759,32.27967453,6.995004654,-2.781382084,-33.93252182,130,53.14121246,-2.701840639,3.651077747,-53.54634094
131,22.17526054,-16.37707138,82.04116821,-19.63236618,25.36466599,12.79169846,-3.296844006,-33.29796982,131,10.69479656,55.06822586,3.271523237,-54.25850296
132,-63.11579514,-23.49611664,5.251197815,57.28828812,17.64125061,17.88822174,0.014953245,-31.6367588,132,11.22780991,56.49281693,3.741557598,-53.50482178
133,-52.54306793,1.50763905,44.10038757,42.2789917,26.20952225,11.81409359,-3.800156593,-32.57902145,133,54.90511703,-2.529231071,5.491832256,-51.45571136
134,-7.653922558,-35.83330917,-11.66920376,24.90533638,32.18655014,8.841063499,-3.800204754,-32.57900238,134,54.56267166,-2.535843849,5.491832256,-51.45571136
135,-2.126901627,-64.14162445,-45.48822403,49.8658638,32.18693924,8.841034889,-20.43312645,-27.0986824,135,54.56305695,-2.535936356,4.779454231,-52.12117767
136,-42.28097153,-22.25170326,0.112898864,52.32284164,34.05482101,4.91470623,-4.21737051,-32.67063141,136,53.51831055,-1.245975494,5.129384995,-51.79543686
137,61.22903442,-63.92329788,62.95042419,40.41817474,33.88161087,4.715192795,-2.849922657,-33.66555023,137,52.7647934,-1.689283967,3.118234634,-54.64974213
138,-68.29618073,12.56726456,29.61634445,76.33422852,26.24088097,11.7783556,-2.447146177,-34.07295609,138,10.79120922,54.98262405,-7.936017036,-64.78787994
139,16.80038071,-46.89075851,-9.439333916,-0.689968646,-35.99940491,0.183363825,-3.061064005,-33.53562164,139,11.49285316,57.05754471,2.988385677,-54.95438766
140,-19.10569382,-72.60765839,-19.89383698,64.1413269,-37.86054611,2.255167961,9.156979561,-32.19008636,140,10.5786581,55.27561951,5.678504467,-51.33841705
141,-78.2396698,5.710286617,25.33839226,60.860569,-37.73180389,1.149249077,17.78601646,-38.09178162,141,8.444987297,48.43990707,6.444514275,-50.96104431
142,60.52716064,-16.62572479,86.8338089,-11.95894909,-37.66049576,1.130509257,17.77686691,-38.25955963,142,10.18659401,51.50737381,-30.37062073,-61.11101913
143,1.030944824,-43.26701736,-20.7790699,0.775308967,18.02318192,19.04917336,17.93910027,-38.06674957,143,10.17888355,53.31523514,-26.68822289,-62.18717194
144,-53.71822357,-5.062698841,43.70650864,34.77882004,26.83819962,12.79367828,3.730909586,-41.08383179,144,52.59153366,-0.654107571,-25.11002541,-61.53290939
145,52.60755539,-5.290251255,86.68933868,14.8757534,33.71175003,3.926057816,-6.319351673,-39.95331955,145,49.02527237,1.797232866,3.72100091,-53.11597443
146,-77.41057587,9.682253838,27.86555672,57.80268478,44.1799736,-5.223651409,-6.319358826,-39.95332718,146,49.41088867,2.281621933,3.72100091,-53.11597443
147,-73.71491241,12.8329258,37.78505707,66.07167816,44.1799736,-5.223651409,16.21254349,-38.76198959,147,49.41072464,2.281647444,3.382767916,-53.51078415
148,-22.61102867,-32.81152725,-29.69087601,34.87971115,45.10649109,-5.819897175,-3.546143055,-39.30864716,148,49.92041397,-0.048430596,3.397302389,-51.91791534
149,-66.44252777,-14.52423954,20.36636353,55.54181671,45.33914185,-5.846632481,17.12569809,-39.42771912,149,46.04828262,-1.858465433,-28.21689606,-59.73324966
150,18.6248951,-13.67254734,-1.85948956,4.71274662,49.57411194,-4.340100765,-2.034952879,-40.33961868,150,43.8861351,-3.446365118,-30.05948639,-63.28591919
151,13.86135197,-28.84874535,-29.39727974,-9.960001945,49.3799324,-2.108094692,-44.17660904,-40.82107925,151,51.11619186,0.311270565,-51.34118271,-55.6032753
152,-39.76389313,12.83982944,31.14389992,78.72386169,46.21302795,-5.743477821,-26.09447289,-24.63710022,152,49.55904007,-2.685053349,-51.69839859,-54.91578674
153,55.9827652,-10.60388088,82.52029419,9.731041908,46.28289032,-5.902009487,-21.1789875,-27.05419922,153,49.45555878,-1.886904955,-28.38891792,-60.83092117
154,-52.84680939,-25.93398476,0.192603007,50.93929672,47.6202774,-4.800082684,-1.492794871,-40.68460464,154,51.49821091,-0.311978102,-51.37368011,-53.11941147
155,2.101020575,-39.67404175,-2.979332924,8.010724068,49.69949341,-4.614124298,-13.92204666,-42.57818222,155,52.41112137,-0.17400755,-56.9921608,-48.44448853
156,-32.96534348,-79.10371399,15.46755028,10.539608,49.73293686,-4.271681309,-33.75428009,-33.61389923,156,50.87809753,-1.620770812,-56.94284821,-45.68799591
157,-12.04893684,-69.62481689,-20.31441689,70.11920166,32.13700104,19.30208397,-33.75427246,-33.61389923,157,10.17200279,54.2848587,-56.9427948,-45.68811417
158,-8.770709991,-35.59065628,-62.64226151,26.46273041,32.13700104,19.30208397,-36.03956604,-28.96382141,158,10.17190838,54.28471756,-77.08097839,-30.45020866
159,40.3806076,-78.38270569,19.6203804,84.5009079,19.51822281,19.39127159,-49.34568405,-23.7050209,159,10.04882813,54.34526443,-77.68071747,-31.88091087
160,-13.23953342,-49.31179428,-25.17487144,30.47740173,19.28029251,19.39956665,-45.81369019,-23.61439133,160,9.935770988,53.17694092,-78.95821381,-39.5241394
161,-54.36960983,6.655417442,23.41299248,45.31328201,17.35406685,19.98034477,-50.09767151,-14.16329193,161,50.90491867,-0.657681823,-83.15396118,-33.02007294
162,-60.03340912,19.3555603,33.20429993,77.87928009,31.69944572,19.05730247,-51.01977539,-14.24712563,162,50.17881012,0.589446962,27.77649117,-49.44530106
163,23.73380661,-18.58016396,86.82107544,-21.34207153,47.6452446,-11.27173901,-52.55802917,-14.1764822,163,50.84391785,0.89235723,-83.15696716,-32.40607071
164,-79.74932098,2.340727329,24.09792328,52.30004501,47.02948761,-11.97999859,-52.68509674,-14.34526157,164,50.94026566,0.952309728,30.14381599,-46.28648376
165,21.8215065,-39.41649628,-0.618099689,-7.957474709,47.31638718,-11.58420086,-45.08041382,-20.8762188,165,42.44629288,-4.050886631,33.44437408,-43.23344421
166,36.3946991,-76.17028809,14.15535545,80.39201355,51.76705933,-6.959358215,-40.94953156,-30.91030312,166,51.68236923,1.128006458,27.2046566,-48.84866333
167,-8.864705086,-40.40895081,-8.801560402,16.47775269,6.856352329,-27.87431145,-50.53923798,-14.16809559,167,34.86376953,23.77298546,-87.05561829,-25.56826019
168,-26.39556122,-30.43899536,-11.38676548,24.69784355,6.856352329,-27.87431145,-52.82715607,-14.46953678,168,34.86344528,23.77300262,27.89734268,-50.16654968
169,-61.38903809,-32.54096222,5.130615711,29.89651871,27.15758324,13.58430862,-52.82715607,-14.46953678,169,19.79460907,29.25058937,27.89733887,-50.16654968
