HI24_MB21,x_source_embedded,,x_target_embedded,,F_source_embedded,,F_target_embedded,,MB21_HI24,F_source_embedded,,F_target_embedded,
37,-21.95279503,-60.02493286,24.92754745,-23.9522686,-20.32088089,-66.75852966,-5.982810497,-86.62111664,37,17.66810417,26.90461349,-43.98258209,-32.31306458
38,-71.55788422,10.42988873,25.3952198,-34.42513275,13.40544701,75.23938751,-5.091864586,-88.21994019,38,-28.07694054,33.37454605,85.38637543,9.975898743
39,-65.74498749,-47.9655838,9.896108627,3.176864386,-17.76368713,-66.70056152,20.01170921,5.071248531,39,55.14868164,-21.20751381,-31.77561951,-1.422240853
40,-67.86821747,-46.77693176,36.23795319,63.53960419,-16.89693832,-67.26402283,-64.79779053,21.56939507,40,53.33847427,-22.64113998,21.49361992,41.81076813
41,-68.86784363,-50.01674271,25.15018845,-21.42030334,-20.35902023,-69.99530792,-4.668466568,-86.61258698,41,-47.94268036,-58.8300209,-12.30646992,69.99961853
42,-62.28887177,-47.25828552,28.80504417,-29.24573898,-16.10690117,-66.24784088,9.61366272,-81.76869202,42,53.75788879,-42.35122299,-31.09165573,66.5959549
43,-73.64837646,44.10735321,31.50757599,-16.72821999,-8.331009865,84.95957947,4.577088833,-74.15623474,43,-75.62927246,-51.08763885,9.637512207,56.28610229
44,-20.04905701,11.22729111,25.37235641,-5.824363708,14.94975471,-3.437248945,3.291369438,-76.8836441,44,52.71517944,-28.3866539,77.83869171,31.48741913
45,-69.00854492,-47.32447052,25.6096611,-35.92409134,-16.55712318,-68.67034912,-4.264977455,-89.23226929,45,-48.17525101,-14.80949306,-22.70115089,-87.23697662
46,-71.42040253,10.46560383,26.85733223,-31.89936829,13.34130096,75.27635193,-4.023995399,-86.93300629,46,26.55909538,-80.34217834,-0.33901599,-52.76569366
47,19.60758018,-18.53576851,26.68930244,-34.24204636,-20.18176079,-66.52362823,-3.611913681,-86.22479248,47,35.11288452,-26.12478065,-19.11948967,-4.160237789
48,-65.91750336,-49.06568909,24.91651535,-22.55474663,-19.56614876,-69.03063202,-3.826989889,-86.98504639,48,-40.89163971,29.43655968,63.72953796,39.99084473
49,-61.40221405,-48.12745285,25.25935364,-22.1676712,-19.88816452,-67.00279999,-5.027714252,-87.12805939,49,-30.72816086,42.37672806,51.13599777,47.05355835
50,-68.05930328,-47.66492081,24.9271698,-22.49907112,-17.66149139,-68.19410706,-4.425525188,-86.7534256,50,-31.65467072,-42.8825798,-29.18538094,17.30298424
51,-65.04025269,-47.58898544,-41.16908646,58.76128387,-17.34856033,-67.41199493,20.2187252,-74.91518402,51,-18.20656776,-49.71544266,36.74430847,49.21695709
52,-64.92938995,-49.78659821,30.83937836,-15.70519638,-19.02724266,-66.83473969,3.994708776,-74.55138397,52,21.76136017,-74.47986603,-35.92353058,70.65562439
53,-49.83646774,-63.0566864,20.94482422,-17.74553299,-15.92969704,-61.53403854,-8.328716278,-82.16127777,53,30.02982521,-1.936534643,-11.76318169,73.35119629
54,-71.94739532,10.34994888,31.73092079,-17.78351402,13.19524097,75.42507172,4.722729206,-74.93179321,54,-58.76439285,-33.54119873,-2.598795414,72.74312592
55,-64.15441132,-46.95771027,18.34422684,-0.338026762,-16.0965519,-65.64437103,40.48013306,4.375535488,55,54.4938736,-3.376599312,-45.22446823,-37.48717499
56,-70.25177002,11.12912369,25.54748535,-34.59034729,-7.15679121,83.68287659,-4.879659653,-88.53772736,56,32.90385818,-72.87341309,22.94196701,43.24063492
57,-50.18312454,-62.81233597,29.62810516,-19.84638786,-16.97189713,-62.83038712,-4.307432652,-86.61951447,57,-44.53981018,58.66689682,91.89274597,-8.29344368
58,-66.16010284,-48.22736359,49.81229782,11.33877277,-17.84790611,-66.79747772,-48.301651,5.31540966,58,-67.24038696,19.22118187,-2.378387451,-55.38380814
59,-69.08376312,-45.22328568,23.67888832,-23.50022697,-14.32060909,-66.09571838,-6.943703175,-86.4289093,59,-16.59181213,18.34088707,51.29170227,35.07975769
60,-67.75714111,-43.06268311,56.83744049,0.179051384,-11.87055588,-64.00961304,65.84355164,-12.17150593,60,39.62251282,-50.11471939,-6.472745895,-59.35096359
61,19.76372337,-68.93012238,21.78808594,-18.85209465,16.47816467,-6.880241394,-6.23275423,-83.49703217,61,-11.83870506,30.731287,-20.2984848,-82.37905884
62,-64.09105682,-46.04684448,26.46670151,-34.70898056,-15.5972023,-65.73305511,6.671442509,-80.99262238,62,44.73544693,-45.46073532,-7.703586102,-47.89303207
63,-63.99284744,-45.63512802,31.12657547,-18.27624512,-14.90478802,-65.11452484,4.46546936,-75.53912354,63,-35.41936874,-27.81315231,-27.55447006,31.63797569
64,-63.50436783,-43.55699921,15.42699146,-4.047522545,-12.24394608,-63.07379532,-3.62127924,-77.77924347,64,-13.86206436,29.99666595,77.40828705,-0.132379994
65,-18.58185768,13.88133526,25.55742836,-22.11132622,17.19098854,2.855659246,-4.300423622,-87.61312866,65,34.69043732,-69.47477722,-19.86309814,64.36175537
66,-64.76222229,-45.81757355,21.73178291,14.44313812,-15.25122643,-65.4720993,52.26071548,-7.226922035,66,-54.94202805,-22.98866653,-30.0519886,-83.83020782
67,-68.12371826,-50.15994263,23.35552979,-4.527225018,-20.73366737,-69.95186615,2.61784029,-78.54746246,67,16.60553551,-4.893002033,-19.38797569,-16.41592789
68,-50.76628494,-0.178603873,19.84835815,-14.77357101,16.00877953,-0.200304836,-4.609498024,-80.03722382,68,-32.44641876,-16.49422455,37.44454575,42.14539719
69,-68.35673523,-45.59489441,23.40349388,-4.533719063,-14.82772541,-66.05635834,1.710050821,-77.97086334,69,50.54163361,-44.76673508,-38.5848465,61.76172638
70,-67.80084229,-50.02144241,-35.29601288,63.22283173,-20.56425667,-69.45600128,26.03587914,-63.78720093,70,-31.88366318,-39.77581406,-11.01214314,58.12587738
71,-67.278862,-43.23326492,9.04943943,4.595104218,-12.15298843,-63.45660782,38.77916336,65.59160614,71,-45.93031693,35.38734436,90.58686829,11.15464306
72,-67.85308075,-43.31996918,58.01240158,-24.35591507,-11.79318142,-63.22129822,66.01747131,-39.55022049,72,42.80384445,-66.26937866,-26.70778275,50.80784607
73,-69.44360352,-45.35049057,11.45954227,31.9908905,-14.09692478,-65.61746979,30.03501892,60.42615128,73,-77.93887329,-43.75045776,-4.694413185,53.09156418
74,-46.51337051,-61.51854706,25.01805305,-20.31190491,-12.44027042,-58.85183716,-3.072812557,-87.75127411,74,0.012557684,4.134523869,-30.12193871,-79.30834961
75,-49.76852036,-64.16786957,30.59729004,-17.43048096,-16.43314171,-61.84357452,4.328730583,-75.82157135,75,13.06460667,-4.744081497,-26.92952347,-10.55291557
76,-62.68473816,-45.22615433,74.71976471,21.46795845,-13.70432186,-61.66363525,43.43149948,27.36305237,76,-61.23410416,-50.24414825,6.229585648,-45.21572876
77,-50.76968002,-0.50170821,20.92527199,-17.07167244,15.67372608,-0.550299764,-8.245212555,-82.18093872,77,39.2957077,-41.9953537,-32.01443863,-31.1782074
78,-70.75784302,-48.77921295,50.51116943,49.02603149,-16.09440994,-68.81021118,38.39056778,63.80334091,78,-35.45832062,-9.559462547,-28.09194183,-18.02430153
79,-49.85480118,-62.10916138,17.38012314,-6.790635586,-14.91324425,-61.33325577,-2.814963818,-77.86313629,79,22.00312614,-83.01246643,70.19701385,22.09136963
80,-67.71770477,-43.06694412,38.44199753,62.60580826,-11.85519409,-63.26640701,-66.1167984,19.51029396,80,22.0028801,20.64567947,-5.915267467,71.3048172
81,-49.73189926,-64.17434692,23.18149185,-15.44939041,-16.068573,-61.2984848,4.3106637,-80.19956207,81,27.44028282,-17.43578911,-15.4025631,56.19441605
82,-57.44254303,33.72562027,67.56267548,29.66221809,12.27007484,76.26086426,1.147450447,34.44914627,82,-26.85484695,-40.17507172,-24.05696678,50.17427826
83,-50.0541153,-61.77449417,19.77724838,-15.41839504,-15.10298538,-61.10436249,-7.769129276,-81.32924652,83,-55.17250061,22.96039009,28.13467598,41.0616951
84,-49.98893356,-63.59804535,23.52508926,-23.91048813,-16.95285416,-62.58347321,-7.579720497,-85.7386322,84,18.17573166,11.69281769,-7.48348999,-40.22174835
