BE_BL,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,,F_target_embedded,,BL_BE,F_source_embedded,,F_target_embedded,
40,-39.86071014,-89.44125366,42.36626816,69.77857208,54.83105469,14.71907997,17.66067314,45.72743988,40,41.62377548,-85.91918182,34.22094727,-77.90058899
41,-39.13051224,-91.33829498,43.85016632,72.20558167,18.22784424,45.53312302,11.24594116,49.69037628,41,44.08831406,-87.872612,36.16712189,-79.0087738
42,-38.98620987,-91.6309433,43.97998047,72.42428589,19.91481972,44.47546768,9.968937874,51.00072098,42,44.25212479,-88.69870758,36.13071442,-78.60679626
43,-38.36745071,-93.22988129,45.02396011,73.35387421,14.81234455,47.78073502,9.2775774,51.25327682,43,45.22679901,-89.20142365,38.90974426,-81.14231873
44,-38.39214706,-93.1992569,45.01609802,73.30784607,13.67504501,48.56199265,9.319856644,51.24761963,44,45.19107819,-89.24633789,39.28318024,-81.45304108
45,-55.69431686,-70.52190399,38.82792664,54.86766434,-41.15205383,-12.60362339,22.92241096,-14.54198456,45,23.03775215,-81.77122498,4.167547226,-60.57881927
46,-40.06583405,-88.92119598,42.24495316,69.57260132,54.76812744,12.6049614,15.16246796,47.30198669,46,41.92346573,-86.27063751,34.00735474,-77.96879578
47,-40.92810059,-86.31187439,40.65976334,67.05131531,54.87350464,5.048997402,56.63306808,14.05194569,47,37.4122963,-83.27169037,30.04895401,-77.33827209
48,-38.92910767,-91.80019379,44.19324112,72.55080414,17.17137146,46.14456558,10.1506443,50.67218781,48,44.37012482,-88.61531067,38.15971375,-80.28534698
49,-39.38069153,-90.59075165,43.05017471,70.98144531,19.56054688,44.7458725,12.83418179,48.74416351,49,43.25834656,-87.49811554,35.61566162,-78.75008392
50,-38.64293671,-92.31848145,44.30214691,72.76874542,17.00576019,46.25102997,9.541751862,51.23838806,50,44.61421967,-89.11446381,38.16972351,-80.60424805
51,-39.30493546,-90.9104538,43.37957382,71.50258636,20.61635971,43.96801376,11.9239378,49.29549026,51,43.57075882,-87.7951355,35.85743332,-78.58509827
52,-39.43325424,-90.35523224,42.85424423,70.65128326,55.10947037,16.34193039,13.18972015,48.58207321,52,42.80436325,-87.11036682,34.70617676,-78.00531769
53,-38.35436249,-92.9261322,44.48830795,73.16009521,16.59345627,46.53635406,9.602032661,50.80303192,53,44.77267075,-89.01139832,38.23064804,-81.02742004
54,-39.27642822,-90.81020355,43.17882919,71.32130432,20.23664665,44.31583023,12.88790512,48.71286774,54,43.10212326,-87.16781616,35.44028854,-78.40457153
55,-47.58131409,-74.74513245,33.186409,63.91165543,18.88495445,-14.03905296,37.83824539,-3.935097456,55,26.54486084,-76.07962799,7.829739094,-71.3706665
56,-46.74208832,-72.57411194,31.67345238,63.7910614,20.28011894,-12.52422333,37.68851089,-3.646225214,56,24.71914291,-74.38314819,3.003946781,-82.23192596
57,-53.64519119,-71.41912842,39.07862473,55.57147217,-30.59237671,-2.895091772,35.23727417,-9.60885334,57,26.15998459,-81.91504669,5.442537785,-62.75893402
58,-43.59129715,-77.26396942,32.62755966,68.33927155,-27.61154747,-1.738945603,55.01461029,9.620072365,58,29.63512993,-75.01991272,8.314130783,-69.5557785
59,-54.21878433,-71.16768646,39.3807869,55.35629654,-29.43883705,-3.473523378,27.24551964,-12.95274925,59,23.61978531,-81.78559113,5.318832874,-62.51237869
60,-45.73303604,-73.43703461,31.72902489,63.87924957,18.68808556,-13.11861801,41.22407913,-2.97992897,60,24.22603989,-74.15535736,3.228060007,-81.68276978
61,-54.00934982,-71.23869324,38.21713257,57.33304214,-34.38563919,-2.989444494,25.97764397,-13.0963192,61,24.03666878,-80.89183044,5.197086811,-62.29322052
62,-54.94068909,-70.8549881,38.63394928,55.45155334,-40.69933319,-11.22913647,35.48255157,-9.548392296,62,25.20038795,-81.57193756,4.776728153,-61.59201813
63,-50.17653275,-73.48001099,36.97747803,60.30842209,19.75681686,-14.475564,34.52262115,-8.38201046,63,25.55692482,-78.34487152,7.735771656,-70.2797699
64,-47.69489288,-75.75552368,37.29890442,61.53689194,28.30112457,-11.50675678,44.7238121,-7.46559,64,29.42998123,-81.64810181,13.06424332,-68.52915192
65,-47.81503677,-69.12049103,31.84679222,52.11767197,-32.72673798,-0.919482768,37.37211227,-8.734786034,65,14.65348434,-68.74056244,3.378715277,-84.25115967
66,-46.50535965,-75.94752502,38.65967941,56.61237717,-26.74477196,-2.312131405,35.20058823,-9.42508316,66,23.89393425,-81.54482269,4.327144146,-70.42105865
67,-48.37344742,-72.37384796,33.83087158,63.55737686,22.09849358,-13.86587524,35.81889343,-6.096436501,67,26.6019516,-76.80327606,12.40526009,-68.25000763
68,-55.59586334,-70.56708527,38.78891754,54.98071289,-41.77548599,-13.43110561,23.06977844,-14.47123718,68,23.27346039,-81.69153595,4.256258965,-60.74833679
69,-53.36439514,-71.48778534,39.16970444,55.5734787,-31.25852776,-2.683015347,27.81716537,-12.7055788,69,24.1531868,-81.73323822,6.252783775,-63.90110779
70,-43.60147858,-79.99295044,32.93299866,69.87991333,33.05232239,-5.998738766,15.27493572,48.00556183,70,31.2600708,-73.77017975,12.07891941,-69.50627136
71,-44.50960159,-78.62902069,32.11959839,67.68596649,24.60434723,-9.980676651,54.50136185,13.19184589,71,29.4386673,-74.62760162,8.703790665,-72.03898621
72,-31.0746212,-71.33462524,28.43205261,66.20315552,-17.62246323,3.114478111,51.9875946,3.208185196,72,25.57209587,-67.53681183,-5.047316074,-82.03502655
73,-42.76908875,-79.43709564,38.20051956,62.95833206,54.756073,17.29095078,55.6757431,14.38844013,73,29.97851753,-78.24646759,5.656515121,-77.06239319
74,28.4476738,-80.24058533,-10.65304565,92.54845428,32.27120972,31.51749992,20.10143089,58.76446152,74,58.93452072,-54.58570099,57.24066544,-23.74762726
75,-41.36736298,-85.47311401,39.83699799,66.01804352,44.36470795,-2.595873356,56.84569168,13.48692417,75,36.09402847,-82.70272827,24.31307983,-74.24246216
76,-45.37329483,-77.87296295,36.57901764,63.11416245,23.06914711,-11.89165878,47.07121658,-4.640511036,76,30.35623169,-77.72138977,10.60150909,-69.17642212
77,-47.25230408,-74.98307037,32.84500504,64.40203857,24.53294182,-11.28751659,36.19445038,-3.962781668,77,27.01501274,-75.21051788,7.18652916,-72.41625977
78,-55.7531395,-70.49591064,38.82131195,55.22198105,-41.98867416,-13.95034695,19.40928841,-15.28178787,78,22.70650864,-81.74124908,4.111932278,-60.63341522
79,-41.21171188,-86.21139526,40.42313385,66.95106506,50.24362946,-0.161926135,56.10831451,14.73630428,79,37.08462143,-82.86785889,27.71839142,-74.80151367
80,-44.63361359,-78.31458282,32.81417847,66.10368347,34.60251236,-6.415091515,55.14904404,9.621305466,80,30.25429535,-77.8635025,10.20428085,-72.59597015
81,-46.01808548,-76.3536911,37.96810913,59.73919296,18.4557991,-13.78560638,42.35254669,-7.963513851,81,26.3055954,-79.7896347,7.56515646,-71.30984497
82,-44.57945251,-78.53379822,32.32260895,66.94340515,25.5497303,-9.170840263,54.53581619,5.942648411,82,29.47926903,-75.7038269,7.863934517,-72.74001312
83,26.28135681,-83.19650269,-11.17977428,91.79821014,33.20624924,33.48257828,20.33047485,58.57236099,83,59.07229996,-55.39018631,56.23980331,-26.24593353
84,25.79147148,-83.57667542,-10.46613789,92.10946655,33.33820724,34.81694794,15.23729706,59.57487106,84,57.06985092,-61.66270065,55.9213295,-26.58867645
85,-41.34875488,-86.00600433,40.13025665,66.65290833,50.90463638,0.697387218,55.82696152,14.17783928,85,36.09659958,-81.91073608,27.02015114,-74.11814117
86,-56.00097656,-70.38473511,39.24306107,54.7603035,-41.82065964,-13.74634933,34.66653061,-9.875666618,86,23.95416832,-81.70735168,3.673702955,-59.63132858
87,-41.29446793,-86.26706696,40.35651779,66.81542969,54.3693924,6.254240513,56.28337097,14.6815033,87,37.2399025,-83.09418488,27.68499184,-74.73270416
88,-48.60669327,-74.37128448,34.15601349,63.39226913,-28.24679947,-2.757139683,37.03861618,-5.259081841,88,26.41135597,-77.06723022,10.2101326,-68.27059174
89,-43.45011139,-80.29665375,37.95843124,61.48152161,33.62397766,-6.339904308,44.45978165,-7.509182453,89,29.71450424,-82.22695923,22.0868187,-73.22936249
90,-43.52629471,-80.1055603,37.969944,60.87897873,35.68291092,-5.978744984,44.93909073,-7.445830822,90,29.65188599,-82.10627747,21.796772,-73.1546936
91,-46.67970657,-73.3864212,32.4757843,64.24030304,23.28343964,-11.61228275,41.64241791,-3.053415298,91,26.18044853,-75.46006775,3.958438396,-80.80528259
92,-52.19193268,-71.87284851,37.6955986,58.21488953,-29.86582375,-2.719406128,22.33294868,-14.30756474,92,23.93718719,-80.69610596,7.332469463,-65.92946625
93,-46.50535965,-75.94752502,38.65967941,56.61237717,-26.74477196,-2.312131405,35.20058441,-9.42508316,93,23.89389229,-81.54480743,4.327144146,-70.42105865
94,-48.60669327,-74.37128448,34.15598679,63.39227295,-28.24679947,-2.757139683,37.03859711,-5.259095669,94,26.41135216,-77.0672226,10.21009636,-68.27062225
95,-52.3981781,-71.78234863,37.78306961,57.91465378,-29.09345055,-2.936779976,26.56891823,-12.92741585,95,24.45174408,-80.5359726,6.937664032,-65.8482666
96,-45.92020035,-75.82946777,38.42683411,57.54153824,23.56050682,-11.13551903,39.9070015,-8.500500679,96,23.28165054,-78.49349213,4.044690132,-80.47595978
97,-27.8608799,-74.13534546,28.76328659,63.81581879,9.43345356,3.406199217,49.72285843,-0.041565441,97,21.20427704,-71.85891724,-4.300143242,-80.45893097
98,-46.06294632,-76.64016724,38.8562851,56.74617767,23.758955,-11.85569954,44.10468674,-7.883141518,98,28.52245712,-81.79056549,11.53336334,-69.26016998
99,-47.71770096,-75.28955078,33.48902512,63.98060608,25.48651314,-12.16745949,38.80680847,-3.737953901,99,26.89171791,-76.20862579,9.854717255,-70.19432831
100,-44.4127655,-78.89110565,32.08697128,67.67579651,25.16864777,-8.748403549,46.89743805,-1.049474359,100,28.44553757,-73.00776672,7.662213802,-73.04949951
101,-48.0268898,-70.41531372,24.32094383,54.44910812,-28.29487419,-2.010680676,18.62708092,-13.98416519,101,21.89337921,-74.07745361,2.039110184,-84.42881012
102,-43.69166565,-78.23097992,38.56028748,58.14928818,33.53403473,-8.441484451,40.30815125,-8.735242844,102,28.76006508,-82.19677734,15.27816486,-69.33113861
103,-41.26708603,-86.16967773,40.26716995,66.88877106,44.50462341,-1.005436301,55.49871063,15.94100285,103,36.60017014,-82.2147522,27.34953308,-74.07345581
104,-46.32468414,-73.62052155,32.02101898,64.77495575,21.13461113,-12.00786304,38.30012131,-2.254602194,104,26.7207222,-74.09078217,4.08084774,-80.42347717
105,-49.98152161,-73.71439362,37.07101822,60.29457092,21.38789558,-14.31333637,34.53320694,-8.976061821,105,25.82818604,-80.13500214,11.47461891,-68.04399109
106,-56.54661179,-70.13168335,38.91373444,53.30886078,-43.9944458,-21.32805252,-29.41215706,-3.742354393,106,20.78715134,-81.58390808,3.07192111,-59.27863693
107,-53.1006012,-71.58808899,38.04413223,58.06021881,-32.39599228,-2.330457449,22.54252815,-14.14643097,107,23.96784019,-80.71212006,6.391902447,-64.26714325
108,-44.50959778,-78.62902069,32.11959839,67.68596649,24.60434723,-9.980676651,54.50136185,13.19184875,108,29.43867302,-74.62760925,8.703932762,-72.03865814
109,-52.24374771,-72.26978302,39.2154274,57.26318741,18.96192169,-15.19094944,39.3721199,-8.642145157,109,27.63404083,-81.7172699,6.663942337,-66.23571014
110,-53.06616974,-71.59561157,37.54981613,59.88441849,-33.40760422,-2.523390532,41.2688446,-8.131185532,110,26.23830032,-79.49681091,5.926026344,-63.58279037
111,-45.65473175,-73.11521912,30.58551025,63.74030685,23.45362091,-10.86687565,46.37516022,-1.785809875,111,22.16394043,-72.85951996,2.109031677,-82.28334045
112,-43.37287521,-80.4701767,37.94046402,62.00255585,33.23537827,-6.112259865,57.52479172,12.01140118,112,31.55916786,-82.57913208,23.13537788,-73.49199677
113,-45.5383873,-74.29850769,32.286129,64.92565918,19.92158699,-12.35049152,45.95204926,-1.922765851,113,27.08875084,-74.9683075,4.208173752,-79.996521
114,-47.03713608,-76.45034027,37.15052032,61.89876556,24.31154251,-12.34876633,44.92186737,-7.318179607,114,29.51491547,-81.56099701,11.88796425,-68.51216888
115,-45.2945137,-73.66666412,30.12160873,63.84560013,19.46722221,-12.22546196,46.71686172,-1.083478332,115,21.08422089,-72.21789551,2.082145214,-81.98960876
116,-46.34880066,-75.30334473,38.3638916,56.23522186,27.83408356,-10.88576984,36.46476364,-8.98854351,116,22.47542,-77.95646667,3.471416235,-82.7407074
117,-47.76192856,-74.06799316,38.38132858,55.95379639,23.79262352,-12.10821152,40.22377777,-8.740134239,117,22.72300911,-78.19863892,4.853490829,-69.88749695
118,-47.15507126,-73.08650208,33.13285065,63.73802185,18.59398079,-13.89183331,34.50062561,-6.223242283,118,26.38802719,-76.19133759,5.975197315,-71.32327271
