HI24_HI22,x_source_embedded,,x_target_embedded,,F_source_embedded,,F_target_embedded,,HI22_HI24,F_source_embedded,,F_target_embedded,
38,64.67520142,32.64794922,-5.269643307,7.781949997,29.43160248,-51.33957672,10.04550171,-91.32287598,38,-39.71268082,54.03479767,-38.40365219,53.20399475
39,-54.80014038,-35.33036041,-59.43402863,-32.03284454,19.84589577,-90.8256073,14.28416538,-95.44953156,39,-47.34754944,55.09451294,-50.69899368,45.79466248
40,-62.19698715,-42.26042557,-63.04455948,-34.77728271,17.85633278,-90.50373077,7.254037857,-96.43305206,40,-47.15313721,56.85141754,-50.52240753,46.81319809
41,-66.88419342,-35.47410583,-68.36865234,-32.33026886,12.08274841,-96.70791626,5.132473946,-99.35887146,41,-45.58617401,61.95095444,-48.79115677,52.45430374
42,-43.99262619,-33.84479141,-60.99819565,-32.59874344,19.2531662,-87.23066711,8.452388763,-94.55664063,42,-48.20801926,54.51383972,-47.56312943,40.35270691
43,79.51805115,52.76509857,53.1633873,71.87944794,33.31458664,57.44960785,33.9232254,-3.001081705,43,-36.46202087,52.7617836,-36.61172485,53.02154922
44,-4.130861759,7.807283878,-5.998281002,7.787381172,22.78435707,-84.35284424,15.82839775,-91.23920441,44,-40.31438446,54.43167114,-40.48583984,52.98613739
45,-63.67948151,-39.73887253,-66.24044037,-33.43766022,11.91555214,-93.4440155,7.926245689,-98.94165802,45,-46.03030014,61.34179306,-48.61160278,53.29196548
46,64.70742035,32.69290924,-5.313785076,7.853160858,29.5342598,-51.10725021,10.17938709,-91.16473389,46,-39.74191666,54.04969406,-38.13877106,53.08499908
47,-24.74539375,-49.34864044,-62.17609024,-30.92962837,23.77742958,-90.17630005,13.58026886,-94.07926178,47,-46.15090561,59.2782135,-48.61775208,53.76708221
48,-56.54482651,-33.90541458,-64.30991364,-32.78305054,14.27775764,-94.58948517,4.697284222,-97.62902069,48,-45.20557022,60.59818268,-48.41233063,51.90950012
49,-38.63367844,-29.78764725,-64.6985321,-31.51371574,21.89865875,-89.71233368,7.066213131,-97.62484741,49,-45.38020706,60.46773148,-49.5319519,46.19084167
50,-62.93312454,-38.96602249,-65.76101685,-33.48892212,13.34125519,-93.77125549,6.170394897,-98.43186188,50,-45.94545364,60.85249329,-48.16068649,53.01169968
51,-54.11310959,-35.28304291,-62.53200912,-32.90608597,15.93680668,-90.18112946,7.876383781,-97.1190567,51,-46.29693604,58.83281326,-50.19169617,46.00207138
52,-59.88761902,-30.95359421,-62.32413483,-30.33773232,20.27974701,-86.16105652,8.491031647,-93.45832825,52,-48.641716,54.94693756,-44.30994415,37.99603271
53,-46.13392639,-28.76531029,-42.53032303,-38.94132614,29.99609184,-77.96446991,19.41226959,-83.4132309,53,-47.9371376,41.83124542,-46.31502914,23.72551918
54,42.42821121,80.91188812,21.7183342,73.55463409,30.00014687,-50.03964996,19.64976501,-80.82616425,54,-38.94348145,53.41519165,-37.85820007,52.99991989
55,-52.3349762,-34.79527283,-59.08710098,-32.04201126,25.72924614,-86.44089508,16.05662537,-93.62260437,55,-49.90903854,48.50266647,-46.11516953,34.00495148
56,83.05042267,23.12876511,-3.609408617,4.61325264,58.62410355,53.10913086,29.55107689,-50.60572815,56,-35.42970276,37.30624008,42.93428421,5.716998577
57,-46.145298,-29.10639954,-59.97835159,-34.51388931,25.57432938,-88.9352417,15.52245903,-88.60882568,57,-48.91928482,45.06324768,-46.24837112,32.3451004
58,-57.24510574,-34.87119675,-64.19877625,-30.59890747,22.52176476,-89.19535828,15.02302361,-94.76821899,58,-48.65867233,51.57775497,-47.64676666,37.1983223
59,-62.58548737,-46.83639145,-65.17147827,-35.82720947,18.46478081,-88.08184052,13.01111221,-95.22944641,59,-48.0682373,52.96487808,-47.86009598,36.47628403
60,-59.81754684,-49.38467789,-63.3118515,-39.6037178,33.32530212,-80.69412231,16.23587608,-90.56667328,60,-50.02448273,46.59954453,-45.35000229,24.75092888
61,0.669170141,9.325603485,-23.66133308,-16.13661194,34.55275345,-50.75494385,20.85583687,-80.95097351,61,-43.62999344,38.06769943,-36.1180954,36.42189026
62,-50.95034409,-37.11233139,-62.87281799,-36.2689743,24.81559753,-87.39987183,11.55151367,-93.74872589,62,-48.94631195,52.32666016,-46.83921051,35.44834137
63,-50.74978638,-37.35176468,-62.45373917,-36.93300629,27.42153549,-85.75876617,12.75389957,-92.07129669,63,-49.23180771,49.9720459,-45.84349823,33.76369095
64,-47.06427383,-42.65897751,-61.15690231,-38.13411331,35.87789154,-79.56880188,15.91394997,-88.77681732,64,-49.12541962,44.03157425,-45.08123779,18.34714508
65,20.39719391,20.40269852,-22.22160149,-16.85625267,27.01737022,-27.18065071,23.92159081,-84.22616577,65,-46.15335083,39.43303299,-35.82135391,51.4783783
66,-51.72363663,-37.32677841,-60.08763123,-34.19339371,25.29115486,-87.22813416,12.70083904,-92.04620361,66,-49.0418396,50.85829163,-46.24293518,33.46458817
67,-66.33177948,-35.0222702,-67.1750412,-31.0038147,13.77881145,-95.98452759,4.455608368,-98.59394073,67,-44.22406006,61.78380966,-47.93384171,52.58427429
68,41.67148209,33.80163956,-3.938080072,5.371089458,56.89432526,-10.51072502,18.91377068,-81.23246002,68,-42.47747421,51.66553879,-35.66837692,51.18545914
69,-61.69713974,-46.439991,-62.9946785,-35.77079391,23.76027679,-87.03831482,12.13385201,-94.40203857,69,-47.87363434,54.30704498,-47.42026138,35.97484207
70,-66.02648926,-34.70934677,-67.79154968,-32.40131378,13.2372818,-95.84527588,8.345200539,-99.7565155,70,-45.73456573,62.94766998,-48.07806015,52.57230377
71,-60.09845352,-49.58247375,-63.54353333,-40.13171768,33.62704849,-80.68128967,16.70392609,-89.02736664,71,-49.55052567,43.63750839,-46.13297653,22.32195091
72,-60.71483994,-49.18650055,-61.86018372,-39.26610184,33.50523376,-78.86617279,17.39739418,-90.67123413,72,-49.69417191,46.16143036,-46.58624649,21.83341599
73,-62.97947693,-46.16150284,-62.20660782,-39.29037476,24.94061089,-86.75174713,15.77962399,-92.21451569,73,-49.37248611,49.91981888,-46.40800858,32.48203278
74,-73.06848145,-6.147681236,-28.60603142,-46.39783859,39.74120712,-56.02062225,21.23332405,-80.84871674,74,-43.01947403,36.69568634,-50.3489151,12.01960564
75,-45.80384827,-27.25226974,-55.41666031,-31.87770653,29.66069221,-77.64924622,13.84986591,-91.27871704,75,-50.3220787,45.57553101,-45.0377655,27.4447155
76,-44.9199791,-33.69971466,-59.21347427,-38.06172943,33.48691177,-78.5206604,16.34315109,-89.90516663,76,-49.31814194,45.44047928,-45.36229324,24.02506638
77,42.3780899,33.64790344,-4.859600067,5.29940176,45.12939453,-32.9770546,16.61017036,-88.06906891,77,-42.78143311,52.10438156,-35.84877014,51.38089371
78,-67.9929657,-39.23215485,-69.27169037,-37.3076973,7.38104248,-96.33123779,4.136185169,-98.97829437,78,-46.03801727,62.05759048,-48.25459671,55.73326111
79,-46.57623672,-30.1340847,-56.41833115,-32.65365982,33.8610611,-77.86647797,17.86645126,-89.78929901,79,-49.43484116,44.0945816,-46.20894623,24.59567642
80,-59.92967606,-49.49940872,-63.53678894,-40.14383698,34.40394592,-80.64624023,16.47605133,-89.1291275,80,-49.48857498,45.00881958,-46.32846069,21.75574303
81,-45.80624008,-27.2528553,-55.31332397,-31.66032028,31.33414078,-75.15552521,15.65280724,-90.00540161,81,-50.55786133,43.81211472,-45.63619232,23.13421059
82,66.26879883,40.96021271,37.50710678,-22.25705719,35.22184753,23.78027725,28.1333313,-68.39525604,82,-36.34267044,37.74775314,40.47170639,6.26194334
83,-47.10270309,-30.27379799,-66.36903381,-43.61982346,35.62701035,-77.26787567,21.50741768,-79.70836639,83,-43.12184143,34.76978302,-49.54813004,16.94347572
84,-46.03023148,-28.08852577,-55.51677704,-31.43143082,25.93234444,-89.23553467,13.59824848,-91.97161865,84,-49.93652344,46.92586517,-45.95962906,31.10500908
85,-52.28931427,-34.84770203,-59.08708572,-32.041996,25.39641762,-86.33861542,16.05661964,-93.622612,85,-49.90903854,48.50266647,-46.03350067,33.91518021
86,-55.69363785,-32.54511261,-62.83150482,-32.84191895,25.0528183,-88.70539093,7.855212212,-94.83625031,86,-47.98894882,55.31102371,-47.11791611,35.64216614
87,80.46207428,15.75953674,4.368112564,61.45760345,72.96568298,25.43300629,53.72659683,-11.66016197,87,40.65657425,9.086513519,43.18659592,5.719341755
88,-41.77264786,74.63635254,-2.450891972,5.953615189,35.91937256,-51.37442398,28.56776619,-74.0371933,88,-36.60514832,38.43737411,-37.23580551,35.55154419
89,-23.5832386,-29.78525543,-53.01173401,-30.82733154,37.9677887,-62.02655792,18.76598167,-82.81182098,89,-46.24667358,39.59909058,-42.95806885,18.5768795
90,-68.40335083,-42.17175674,-68.67717743,-40.00027466,28.48723602,-75.04007721,8.470412254,-93.29967499,90,-50.30085373,52.16582108,-45.0688591,29.39607811
91,-44.01681137,-30.61852074,-58.44721985,-33.33962631,25.79943085,-88.10906982,13.71206951,-93.70549774,91,-48.67256165,51.93529892,-46.78173065,35.68677521
92,-48.34384537,-41.91342926,-59.38902283,-44.28356171,44.24602127,-62.46437073,21.6956768,-78.98503113,92,-41.9748764,34.06519699,-56.72915649,8.231500626
93,-61.24606705,-48.59515762,-62.07918167,-38.98220825,28.90436363,-80.99771118,16.68321991,-89.84737396,93,-49.41623688,44.26756668,-46.21748734,25.13876915
94,-62.7616806,-42.89413071,-66.26873016,-34.69677734,19.13886642,-90.40048981,12.69404507,-96.56220245,94,-46.54483032,56.82713699,-51.50212479,44.55735397
95,-62.92442322,-46.60997391,-63.56021118,-38.01471329,21.95964622,-85.76773834,12.01914787,-94.26797485,95,-48.26949692,53.32839966,-46.94865799,34.66811371
96,-26.08388329,-48.90140915,-27.14051056,-50.36124039,19.79516792,-82.65384674,8.322149277,-92.23808289,96,-48.95250702,55.82589722,-47.68247604,45.42345047
97,-62.23036957,-42.45859909,-63.66288376,-35.29593658,19.14754105,-89.87246704,7.439316273,-97.16847229,97,-46.75899124,57.61527252,-50.78520966,44.53492355
98,0.747209549,9.431613922,-4.272313595,6.207874298,31.23412514,-50.14779282,18.47013283,-81.27613068,98,-40.22259521,52.95766449,-34.24385071,37.19603729
99,-60.00090408,-49.80869675,-42.93629837,-38.88714218,38.96216202,-74.67124939,23.79552078,-84.32491302,99,-44.23406982,38.21749878,-48.35229492,15.4382391
100,-61.53624344,-47.35961914,-60.29922867,-34.31217957,22.89836311,-86.52641296,12.13683605,-93.28417206,100,-48.43649292,53.60181427,-47.20418549,35.05775452
101,-53.41867828,-39.296978,-63.18434525,-34.94894409,18.22924042,-88.7842865,12.30586529,-94.34371948,101,-48.67470932,52.69702148,-50.28861618,43.7685318
102,-46.96899796,-30.38972855,-28.04204178,-46.72809982,33.76784515,-77.29314423,19.75283432,-81.58869171,102,-43.89310074,38.23182297,-47.10692215,21.43938255
103,77.52365112,52.01357269,22.03832436,73.22683716,32.57235718,57.62434387,28.60923958,-50.01296997,103,-36.85788727,52.60199738,-36.41035843,52.91069794
104,-46.34485245,72.36569214,-25.26911163,-13.81392097,37.81460953,-51.65140533,29.74012184,-81.17967987,104,-41.72238541,32.70536041,-45.429245,14.37052155
105,-62.69607925,-16.56458664,-52.47315216,-36.60430145,43.7583046,-53.59250641,29.44454956,-84.6736908,105,-45.92015457,26.13971329,-62.2320137,5.197255611
106,42.77957153,33.54331207,-2.632223845,6.455113888,61.98086166,-20.01540375,28.46356583,-73.9987793,106,-36.45079041,38.2826767,-35.6617775,51.12638855
107,-47.94624329,-35.68559647,-59.46549606,-41.68468475,39.95886993,-71.33537292,26.5786972,-85.56074524,107,-44.18378067,37.06567383,-49.10052872,15.1244173
108,-28.42473221,-45.73063278,-64.06906891,-36.23538208,31.13843727,-70.91905212,13.39729309,-92.23763275,108,-49.93247986,46.59210968,-40.63946915,24.09785271
109,-46.366642,72.551651,-25.58434105,-14.9434042,39.0093689,-55.41573715,23.01853371,-80.55976105,109,-42.84967041,33.32965088,-45.58505249,14.6640501
110,40.82085419,33.28069687,-5.474946022,-9.893300056,34.55346298,58.45180893,28.90501595,-50.33745193,110,-39.99460983,35.87754822,42.17346191,10.13886833
111,-39.18266296,-33.7151947,-57.83208847,-32.83847427,40.41539764,-75.17857361,24.23235893,-89.38910675,111,-46.93433762,37.3923912,-43.03327942,16.75636482
112,-0.096112289,-83.87193298,-5.665328979,-89.03057861,64.03598022,-40.03710556,21.04840279,-78.46016693,112,-41.9809494,34.83592224,-34.19820023,6.767601967
113,-61.38843536,-48.42421341,-61.55089951,-38.37221146,28.76217842,-81.21226501,15.9447794,-89.14529419,113,-49.22654724,43.73717117,-46.26013947,25.45158577
114,-41.55439758,74.5429306,-23.14769745,-11.77983665,47.88401031,-28.8686924,30.64042282,-71.63594818,114,-39.45185852,36.21956253,-34.19327164,32.15059662
115,-45.96895599,-29.67399216,-59.39574432,-43.5749321,33.16368103,-85.30119324,19.7600193,-83.01644135,115,-46.26932907,39.85935211,-46.23099136,24.69119835
116,-60.18320847,-49.86096191,-58.88748169,-38.92383575,39.23218155,-75.77655029,24.25609779,-86.95294189,116,-44.70005035,38.27375412,-49.92744446,14.39739418
117,-62.56853485,-16.41997147,-50.27975845,-38.17370605,42.2138443,-42.69613266,35.61648941,-82.41066742,117,-45.12992096,18.72274399,-69.96277618,0.139233291
118,-9.499556541,-53.90681458,-27.68809128,-47.88837433,35.64612579,-53.28956223,20.70534325,-79.02354431,118,-43.00003052,36.48952866,-41.86906815,15.22451115
119,-46.82365036,-30.3297081,-27.9050808,-46.93860245,40.17863464,-69.06523895,21.2038784,-79.5263443,119,-42.55496216,35.92121887,-49.56848526,14.78947544
120,-48.27040482,-42.96453857,-53.23503494,-44.07064056,46.69461823,-64.31889343,32.32159042,-80.21189117,120,-40.14543915,24.07784843,-56.37358475,7.465033054
121,-51.85427094,-40.37578201,-59.30116272,-38.64146042,33.49487686,-82.77857971,18.8920269,-89.38961792,121,-48.79159927,43.20970917,-46.13612366,22.61564827
122,-20.40949249,-9.879500389,-41.71807861,-38.93012238,37.73192215,-71.95701599,24.44350624,-83.8176651,122,-44.12304688,38.07176208,-40.57020187,35.93946838
123,-71.51548004,-11.12403202,-55.43463516,-36.76758575,36.13324356,-75.41177368,17.53649521,-88.92589569,123,-47.97993469,36.85886765,-49.80873108,16.9649868
124,-63.11843491,-46.37212372,-61.30320358,-39.98876572,33.81150055,-83.37477112,19.6808567,-90.20501709,124,-49.54657364,44.67179871,-46.81136322,22.50482941
125,-61.56331253,-46.91020584,-65.38226318,-35.67557144,27.37363052,-84.98513794,16.00128746,-93.65184784,125,-50.0909996,47.73188782,-45.60441971,30.7536087
126,-20.1339035,-9.031996727,-3.812241554,5.34230423,40.87807083,-37.88087463,19.04785919,-81.95838165,126,-42.59088516,51.76373291,-36.09267044,28.86369705
127,-47.49805832,-41.41559982,-56.74169922,-31.89983368,43.4016571,-63.89487839,23.93521118,-89.39735413,127,-47.18942642,39.18392181,-49.82276917,11.72715092
128,64.91125488,34.80273819,-2.189062119,7.014386177,33.76557922,57.72218704,31.27762604,-46.37623596,128,-32.34563828,37.63648987,42.48277664,6.133916378
129,-52.009758,-40.18881607,-61.9733963,-37.66167068,28.04006195,-85.1065979,12.79969692,-91.15853119,129,-49.3167305,46.90169525,-45.06332016,29.59846115
130,64.89412689,33.29347229,21.46290588,75.78800201,43.23513412,-19.35645485,30.42806435,-71.68654633,130,-37.2477684,52.569664,-36.31096649,52.65863419
131,-46.08293152,72.60681915,-25.02390099,-14.09969616,39.02038956,-55.74906158,29.92292404,-75.18145752,131,-41.18446732,32.75774002,-42.28419876,19.5567379
132,-50.02445984,-37.3531189,-58.63683701,-33.37766266,36.07072449,-82.2049408,19.81189919,-90.04236603,132,-48.63939285,42.63143921,-46.3289032,17.60361481
133,-34.52997208,-61.65625381,-9.056827545,-72.47669983,61.69567108,-17.1693573,39.83836746,-59.76054382,133,-42.20288086,-1.575658202,-68.27947235,-28.38566017
134,11.79415226,13.1026535,37.13406372,-23.09371376,27.10245132,-27.42147446,24.9793396,-83.2908783,134,-47.72147751,45.84585953,-32.48218918,38.35194778
135,10.92046928,12.45542908,-22.16806602,-16.98408699,26.97195244,-28.81366348,25.20459557,-83.45404816,135,-43.77402115,37.7307663,-33.673069,36.91133499
136,-42.76068878,73.59712982,-23.45550537,-12.21829128,39.42389679,-64.47868347,29.53569031,-73.94115448,136,-40.4974823,36.10545731,-40.31125259,32.73700333
137,9.462517738,13.05831718,37.31587219,-22.9809761,44.76835251,-15.8719511,28.02464867,-68.75167847,137,-37.56249237,37.51762009,-32.39286041,37.80064392
138,-67.75413513,-44.06222916,-64.1955719,-40.71126556,42.09530258,-70.2579422,23.54811668,-86.345047,138,-46.16074753,36.20848846,-54.24547577,7.236009121
139,-47.80542755,-40.57956314,-56.9227562,-30.67531013,39.18878555,-73.05539703,24.92286301,-88.66094971,139,-45.6978569,38.02846527,-47.1222229,15.97591209
140,-68.02124023,-43.7372818,-68.87680054,-41.62480164,42.31476974,-69.92156982,18.4919548,-82.46217346,140,-47.82335663,36.1071434,-54.77717972,7.77589035
141,-48.15849304,-40.07408524,-57.06376266,-30.59827423,33.7538147,-79.84130096,22.83454704,-89.89604187,141,-48.80854416,42.51638031,-45.14212036,24.18451881
142,-6.771555424,-42.57105637,30.24271393,-38.88751602,35.460186,-52.37730789,28.26945114,-50.90949631,142,-39.63560867,29.22115517,-42.09679794,13.742486
143,-42.58288574,73.6362915,-24.84770775,-15.08762455,38.41882706,-52.5803299,30.08116722,-73.68117523,143,-40.93187714,32.90291977,-36.3559761,29.34978867
144,-61.28968811,-48.10432053,-57.65185928,-32.80470276,28.68208122,-81.07230377,22.66817284,-89.4283371,144,-47.42439651,40.21843338,-45.84891129,26.36891937
145,-47.34508514,-42.21652985,-57.51219559,-42.77363586,40.34319687,-71.5944519,27.10735512,-84.92280579,145,-43.24596786,33.87374878,-48.19009399,13.50753975
146,-9.498835564,-53.88050461,31.4988327,-37.24068069,35.57775497,-53.5531311,19.36479378,-79.338974,146,-45.50415039,40.5418663,-41.9764595,14.61893082
147,-46.68332291,-42.58829117,-59.5310173,-39.22347641,35.63584137,-79.87675476,20.2972126,-89.88113403,147,-48.93119049,43.30443192,-45.33254623,21.51615334
148,-44.95139694,72.59439087,-23.74373817,-12.60206032,42.87135315,-62.04270172,22.39634705,-80.61663818,148,-42.67525101,38.04537201,-41.43413544,20.93550873
149,70.80175781,46.91986847,44.52613068,64.63372803,-4.598144531,-41.13407516,-49.44455719,32.11157227,149,-4.345514774,37.01822281,41.49869919,3.691573858
150,-56.71437073,-45.06784439,-64.06906891,-36.23538208,29.74568558,-74.63383484,13.39730167,-92.23761749,150,-49.93247986,46.59210968,-43.83727264,28.31888008
151,-71.82414246,-10.1667757,-45.44785309,-33.33831024,40.84864044,-54.61265945,30.83338928,-74.91427612,151,-44.02512741,20.16974449,-61.28313446,7.470558643
152,39.55332947,34.28281021,38.96261978,-21.24676132,66.11830902,18.95241356,28.53934479,-47.09239197,152,-32.56274033,37.61388016,40.65141296,8.11536026
153,-41.41238785,74.55019379,-24.44584656,-12.98221016,37.22095108,-53.1402092,23.06801987,-84.79936981,153,-45.92913437,39.01812744,-36.35355759,37.16382599
154,-29.95821953,-44.24072647,-6.232224464,-89.15310669,50.13222504,-49.44828033,21.45002747,-78.80056763,154,-38.15776825,26.6444416,-41.47512054,-18.79408455
155,-62.63257599,-43.58628845,-64.45943451,-35.95164871,26.51861382,-87.01728821,13.97861671,-92.92436981,155,-49.83610535,47.07165909,-46.17787933,32.09144211
156,-73.0664978,27.14513016,-24.6774044,-17.58409882,69.81507111,37.2653656,37.00255585,-59.13920212,156,-37.79181671,23.52834511,-33.10388947,-11.12214661
157,65.3108902,34.17054749,21.6448288,75.85842133,30.29270554,59.65332031,40.1764679,-23.46506882,157,40.86925507,7.358155727,43.28983307,5.935506344
158,-58.61224747,-54.63103485,-59.89221191,-40.18381119,51.82028961,-70.46160126,28.02326965,-87.36499023,158,-44.54511261,33.03419495,-63.49433517,5.025834084
159,-10.44037056,15.34510422,43.91556931,-32.57155228,29.23350716,80.3418808,57.04236221,0.977430403,159,-26.01612473,15.50574493,-16.99495506,0.099288434
160,-41.64890289,72.62287903,-25.44778824,-15.94518852,71.24170685,-14.8489666,38.34389877,-58.38766098,160,-38.05810547,22.67508698,-21.43948174,-7.647632599
161,80.32012939,15.99215412,2.425143957,5.093149662,30.20323944,59.89952087,68.11326599,6.428194523,161,-23.84141922,13.88960457,43.11446381,5.782632351
162,-37.33254242,-60.13362122,-39.08376694,-36.11944962,39.6430397,-40.8146553,34.46535492,-80.4859314,162,-40.11747742,23.92313766,-60.53142929,-11.57494164
163,-73.43801117,28.89718819,32.56336594,-31.93383598,47.65130997,-35.75619125,28.24793434,-50.99900436,163,-41.43185425,36.76001358,-35.50964737,30.64631462
164,-62.58628082,-16.30700111,-55.28866577,-47.91866302,41.15794754,-41.80717087,40.85519409,-74.49169922,164,-51.1115303,9.851238251,-73.36454773,-1.219286442
165,-73.12474823,-4.690962315,-6.009774685,-61.97075272,70.3081665,-15.57017231,36.19752502,-46.13018799,165,-40.06847763,-4.115822792,-62.26817322,-3.899996996
